,delta_x,integrais_muon,integrais_eletron,x_pico_muon,y_pico_muon,x_pico_eletron,y_pico_eletron
0,1017.0,547.1878594438343,496.1878594438331,94,-179.27678966421792,1111,-179.27678966421792
1,1017.0,547.1878594438343,496.1878594438331,94,-179.27678966421792,1111,-179.27678966421792
2,1017.0,547.1878594438343,496.1878594438331,94,-179.27678966421792,1111,-179.27678966421792
3,228.0,605.1878594438344,757.1878594438346,94,-179.27678966421792,322,-179.27678966421792
4,1721.0,617.1878594438344,157.18785944383063,94,-179.27678966421792,1815,-84.27678966421793
5,1721.0,617.1878594438344,157.18785944383063,94,-179.27678966421792,1815,-84.27678966421793
6,2397.0,334.1878594438306,662.0269002623202,94,-140.27678966421792,2491,-179.27678966421792
7,2397.0,334.1878594438306,662.0269002623202,94,-140.27678966421792,2491,-179.27678966421792
8,2397.0,334.1878594438306,662.0269002623202,94,-140.27678966421792,2491,-179.27678966421792
9,2397.0,334.1878594438306,662.0269002623202,94,-140.27678966421792,2491,-179.27678966421792
10,222.0,768.1878594438344,801.1878594438346,94,-179.27678966421792,316,-179.27678966421792
11,254.0,738.1878594438344,730.1878594438346,94,-179.27678966421792,348,-179.27678966421792
12,150.0,460.18785944383086,272.1878594438306,94,-160.27678966421792,244,-109.27678966421793
13,150.0,460.18785944383086,272.1878594438306,94,-160.27678966421792,244,-109.27678966421793
14,541.0,643.1878594438344,533.1878594438343,94,-179.27678966421792,635,-179.27678966421792
15,282.0,652.1878594438344,341.1878594438306,94,-179.27678966421792,376,-118.27678966421793
16,209.0,833.1878594438344,585.1878594438343,94,-179.27678966421792,303,-179.27678966421792
17,209.0,833.1878594438344,585.1878594438343,94,-179.27678966421792,303,-179.27678966421792
18,730.0,728.1878594438346,670.1878594438344,95,-179.27678966421792,825,-179.27678966421792
19,242.0,391.1878594438306,180.18785944383063,94,-139.27678966421792,336,-76.27678966421793
20,944.0,798.1878594438344,297.1878594438306,94,-179.27678966421792,1038,-130.27678966421792
21,944.0,798.1878594438344,297.1878594438306,94,-179.27678966421792,1038,-130.27678966421792
22,944.0,798.1878594438344,297.1878594438306,94,-179.27678966421792,1038,-130.27678966421792
23,944.0,798.1878594438344,297.1878594438306,94,-179.27678966421792,1038,-130.27678966421792
24,606.0,801.1878594438346,417.1878594438306,95,-179.27678966421792,701,-124.27678966421793
25,1027.0,661.1878594438346,600.1878594438344,94,-179.27678966421792,1121,-179.27678966421792
26,179.0,630.1878594438344,292.1878594438306,94,-179.27678966421792,273,-100.27678966421793
27,1469.0,683.1878594438346,329.1878594438306,94,-179.27678966421792,1563,-131.27678966421792
28,1821.0,564.1878594438344,324.1878594438306,94,-179.27678966421792,1915,-114.27678966421793
29,1426.0,571.1878594438344,524.1878594438343,94,-179.27678966421792,1520,-179.27678966421792
30,1732.0,221.18785944383058,195.18785944383058,94,-97.27678966421793,1826,-94.27678966421793
31,1732.0,221.18785944383058,195.18785944383058,94,-97.27678966421793,1826,-94.27678966421793
32,1469.0,517.1878594438343,245.18785944383058,94,-179.27678966421792,1563,-115.27678966421793
33,1338.0,691.1878594438346,260.1878594438306,94,-179.27678966421792,1432,-103.27678966421793
34,1338.0,691.1878594438346,260.1878594438306,94,-179.27678966421792,1432,-103.27678966421793
35,617.0,352.1878594438306,492.18785944383336,94,-142.27678966421792,711,-179.27678966421792
36,328.0,679.1878594438344,132.18785944383058,94,-179.27678966421792,422,-74.27678966421793
37,238.0,609.1878594438343,114.18785944383107,94,-179.27678966421792,332,-55.27678966421793
38,476.0,233.18785944383058,132.18785944383063,94,-104.27678966421793,570,-56.27678966421793
39,1540.0,226.18785944383058,148.18785944383063,94,-113.27678966421793,1634,-77.27678966421793
40,1166.0,764.1878594438344,221.18785944383063,94,-179.27678966421792,1260,-93.27678966421793
41,1166.0,764.1878594438344,221.18785944383063,94,-179.27678966421792,1260,-93.27678966421793
42,422.0,754.1878594438344,479.18785944383205,94,-179.27678966421792,516,-179.27678966421792
43,155.0,839.1878594438346,772.1878594438346,94,-179.27678966421792,249,-179.27678966421792
44,1598.0,720.1878594438344,469.1878594438306,94,-179.27678966421792,1692,-161.27678966421792
45,468.0,737.1878594438344,556.1878594438343,94,-179.27678966421792,562,-179.27678966421792
46,1512.0,791.1878594438346,623.1878594438344,94,-179.27678966421792,1606,-179.27678966421792
47,1512.0,791.1878594438346,623.1878594438344,94,-179.27678966421792,1606,-179.27678966421792
48,247.0,717.1878594438344,387.1878594438306,94,-179.27678966421792,341,-138.27678966421792
49,191.0,853.1878594438346,834.1878594438346,94,-179.27678966421792,285,-179.27678966421792
50,191.0,853.1878594438346,834.1878594438346,94,-179.27678966421792,285,-179.27678966421792
51,191.0,853.1878594438346,834.1878594438346,94,-179.27678966421792,285,-179.27678966421792
52,374.0,781.1878594438344,109.18785944383083,94,-179.27678966421792,468,-62.27678966421793
53,374.0,781.1878594438344,109.18785944383083,94,-179.27678966421792,468,-62.27678966421793
54,950.0,732.1878594438344,299.1878594438306,94,-179.27678966421792,1044,-105.27678966421793
55,950.0,732.1878594438344,299.1878594438306,94,-179.27678966421792,1044,-105.27678966421793
56,1459.0,681.1878594438344,110.18785944383077,94,-179.27678966421792,1553,-59.27678966421793
57,703.0,841.1878594438346,166.18785944383063,94,-179.27678966421792,797,-63.27678966421793
58,792.0,247.18785944383058,143.18785944383063,94,-104.27678966421793,886,-55.27678966421793
59,792.0,247.18785944383058,143.18785944383063,94,-104.27678966421793,886,-55.27678966421793
60,390.0,559.1878594438343,299.1878594438306,94,-168.27678966421792,484,-104.27678966421793
61,435.0,841.1878594438344,628.1878594438344,94,-179.27678966421792,529,-179.27678966421792
62,435.0,841.1878594438344,628.1878594438344,94,-179.27678966421792,529,-179.27678966421792
63,358.0,656.1878594438344,125.18785944383066,94,-179.27678966421792,452,-65.27678966421793
64,1855.0,683.1878594438344,402.1878594438306,94,-179.27678966421792,1949,-139.27678966421792
65,326.0,591.1878594438343,358.1878594438306,94,-171.27678966421792,420,-140.27678966421792
66,326.0,591.1878594438343,358.1878594438306,94,-171.27678966421792,420,-140.27678966421792
67,221.0,628.1878594438344,440.1878594438306,94,-179.27678966421792,315,-143.27678966421792
68,805.0,474.1878594438306,627.1878594438344,94,-153.27678966421792,899,-179.27678966421792
69,805.0,474.1878594438306,627.1878594438344,94,-153.27678966421792,899,-179.27678966421792
70,1081.0,745.1878594438346,271.18785944383063,94,-179.27678966421792,1175,-85.27678966421793
71,521.0,227.18785944383058,80.18785944383119,94,-98.27678966421793,615,-55.27678966421793
72,521.0,227.18785944383058,80.18785944383119,94,-98.27678966421793,615,-55.27678966421793
73,164.0,333.1878594438306,144.18785944383063,94,-126.27678966421793,258,-57.27678966421793
74,939.0,689.1878594438346,328.1878594438306,94,-179.27678966421792,1033,-103.27678966421793
75,939.0,689.1878594438346,328.1878594438306,94,-179.27678966421792,1033,-103.27678966421793
76,939.0,689.1878594438346,328.1878594438306,94,-179.27678966421792,1033,-103.27678966421793
77,939.0,689.1878594438346,328.1878594438306,94,-179.27678966421792,1033,-103.27678966421793
78,939.0,689.1878594438346,328.1878594438306,94,-179.27678966421792,1033,-103.27678966421793
79,584.0,265.1878594438306,251.18785944383058,94,-100.27678966421793,678,-90.27678966421793
80,584.0,265.1878594438306,251.18785944383058,94,-100.27678966421793,678,-90.27678966421793
81,316.0,659.1878594438344,290.1878594438306,94,-179.27678966421792,410,-105.27678966421793
82,316.0,659.1878594438344,290.1878594438306,94,-179.27678966421792,410,-105.27678966421793
83,601.0,689.1878594438344,661.1878594438344,94,-179.27678966421792,695,-179.27678966421792
84,601.0,689.1878594438344,661.1878594438344,94,-179.27678966421792,695,-179.27678966421792
85,601.0,689.1878594438344,661.1878594438344,94,-179.27678966421792,695,-179.27678966421792
86,1052.0,748.1878594438344,662.1878594438344,94,-179.27678966421792,1146,-179.27678966421792
87,1052.0,748.1878594438344,662.1878594438344,94,-179.27678966421792,1146,-179.27678966421792
88,464.0,225.18785944383063,598.1878594438344,93,-100.27678966421793,557,-179.27678966421792
89,464.0,225.18785944383063,598.1878594438344,93,-100.27678966421793,557,-179.27678966421792
90,803.0,530.1878594438343,300.1878594438306,94,-179.27678966421792,897,-128.27678966421792
91,803.0,530.1878594438343,300.1878594438306,94,-179.27678966421792,897,-128.27678966421792
92,164.0,489.1878594438306,507.1878594438332,94,-160.27678966421792,258,-163.27678966421792
93,456.0,757.1878594438346,666.1878594438344,94,-179.27678966421792,550,-179.27678966421792
94,132.0,703.1878594438344,287.1878594438306,94,-179.27678966421792,226,-97.27678966421793
95,687.0,699.1878594438344,214.18785944383058,94,-179.27678966421792,781,-79.27678966421793
96,1253.0,607.1878594438344,381.1878594438306,94,-179.27678966421792,1347,-136.27678966421792
97,1253.0,607.1878594438344,381.1878594438306,94,-179.27678966421792,1347,-136.27678966421792
98,1115.0,285.1878594438306,652.1878594438344,93,-108.27678966421793,1208,-179.27678966421792
99,187.0,660.1878594438344,121.18785944383075,93,-179.27678966421792,280,-65.27678966421793
100,271.0,527.1878594438343,527.1878594438343,94,-179.27678966421792,365,-179.27678966421792
101,330.0,628.1878594438344,111.18785944383077,94,-179.27678966421792,424,-68.27678966421793
102,324.0,694.1878594438344,620.1878594438344,93,-179.27678966421792,417,-179.27678966421792
103,201.0,473.1878594438306,365.1878594438306,94,-143.27678966421792,295,-111.27678966421793
104,201.0,473.1878594438306,365.1878594438306,94,-143.27678966421792,295,-111.27678966421793
105,472.0,448.1878594438306,133.18785944383063,94,-146.27678966421792,566,-59.27678966421793
106,472.0,448.1878594438306,133.18785944383063,94,-146.27678966421792,566,-59.27678966421793
107,472.0,448.1878594438306,133.18785944383063,94,-146.27678966421792,566,-59.27678966421793
