,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
time_epoch,1616964435.9746711,1616964438.1847975,1616964440.3369205,1616964442.4900436,1616964444.6421669,1616964446.8032904,1616964448.9564135,1616964451.109537,1616964453.2616599,1616964455.4117827,1616964457.5639057,1616964459.717029,1616964461.8681521,1616964464.0292757,1616964466.1813989,1616964468.3345218,1616964470.487645,1616964472.6467683,1616964474.7978916,1616964476.9510148,1616964479.1031377,1616964481.256261,1616964483.4093843,1616964485.5645075,1616964487.7176304,1616964489.8697536,1616964492.0228767,1616964494.1749997,1616964496.3281229,1616964498.5332491,1616964500.6873722,1616964502.8404956,1616964504.9926186,1616964507.1447415,1616964509.3038652,1616964511.4569883,1616964513.6091113,1616964515.7612345,1616964517.9133575,1616964520.0644808,1616964522.216604,1616964524.3757274,1616964526.5268502,1616964528.6799734,1616964530.8310966,1616964532.98622,1616964535.1413429,1616964537.2944663,1616964539.4485893,1616964541.6017125,1616964543.7518353,1616964545.9049587,1616964548.0560818,1616964550.2082047,1616964552.361328,1616964554.5154512,1616964556.668574,1616964558.8727005,1616964561.0238233,1616964563.1769466,1616964565.3380702,1616964567.4901934,1616964569.6433165,1616964571.7964396,1616964573.9505627,1616964576.1126864,1616964578.2648094,1616964580.4169326,1616964582.5670557,1616964584.7181785,1616964586.871302,1616964589.024425,1616964591.177548,1616964593.3306713,1616964595.4857945,1616964597.6379178,1616964599.7910407,1616964601.9431639,1616964604.0972872,1616964606.2494104,1616964608.399533,1616964610.5506563,1616964612.7037792,1616964614.8549023,1616964617.0610287,1616964619.219152,1616964621.3762755,1616964623.5283985,1616964625.6805217,1616964627.8326447,1616964629.9877677,1616964632.138891,1616964634.291014,1616964636.443137,1616964638.6012607,1616964640.7533836,1616964642.9045067,1616964645.0556297,1616964647.2077527,1616964649.3618762
0,51.0,51.0,53.0,52.0,51.0,51.0,52.0,53.0,53.0,52.0,51.0,52.0,51.0,52.0,52.0,55.0,54.0,52.0,51.0,53.0,53.0,52.0,53.0,52.0,54.0,55.0,53.0,50.0,54.0,54.0,53.0,53.0,53.0,52.0,53.0,51.0,53.0,51.0,53.0,53.0,54.0,54.0,55.0,52.0,51.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,55.0,52.0,52.0,52.0,51.0,52.0,53.0,54.0,53.0,53.0,55.0,53.0,53.0,54.0,51.0,54.0,51.0,53.0,53.0,53.0,53.0,52.0,51.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,51.0,51.0,54.0,52.0,54.0,51.0,54.0,53.0,52.0,52.0,51.0
1,50.0,54.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,50.0,52.0,52.0,50.0,54.0,53.0,53.0,54.0,51.0,52.0,54.0,52.0,52.0,53.0,53.0,52.0,51.0,50.0,53.0,53.0,54.0,53.0,53.0,53.0,52.0,54.0,51.0,53.0,52.0,53.0,55.0,54.0,53.0,53.0,51.0,51.0,51.0,52.0,54.0,51.0,52.0,54.0,53.0,51.0,55.0,50.0,53.0,54.0,54.0,55.0,51.0,52.0,53.0,52.0,54.0,54.0,53.0,52.0,52.0,54.0,52.0,54.0,54.0,52.0,52.0,54.0,51.0,53.0,54.0,55.0,51.0,52.0,53.0,53.0,50.0,54.0,53.0,54.0,52.0,55.0,52.0,52.0,51.0,52.0,51.0,52.0,52.0,54.0,52.0,52.0,53.0
2,54.0,51.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,54.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,53.0,52.0,54.0,52.0,53.0,55.0,53.0,51.0,52.0,53.0,54.0,55.0,54.0,52.0,53.0,53.0,54.0,53.0,52.0,51.0,54.0,52.0,52.0,54.0,53.0,52.0,54.0,53.0,53.0,53.0,54.0,52.0,53.0,53.0,55.0,53.0,53.0,51.0,53.0,54.0,53.0,52.0,55.0,54.0,54.0,52.0,53.0,56.0,55.0,55.0,52.0,54.0,53.0,53.0,54.0,51.0,52.0,53.0,53.0,54.0,52.0,54.0,53.0,53.0,55.0,54.0,53.0,55.0,52.0,53.0,52.0,53.0,54.0,51.0,51.0,51.0,53.0,52.0,54.0,52.0,53.0,52.0
3,52.0,54.0,54.0,54.0,53.0,54.0,52.0,54.0,53.0,53.0,52.0,53.0,51.0,53.0,51.0,50.0,53.0,53.0,53.0,52.0,50.0,53.0,51.0,51.0,51.0,51.0,52.0,51.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,51.0,54.0,53.0,55.0,55.0,53.0,53.0,53.0,53.0,54.0,52.0,54.0,54.0,52.0,56.0,53.0,53.0,51.0,56.0,52.0,52.0,52.0,53.0,52.0,54.0,53.0,52.0,52.0,54.0,54.0,51.0,53.0,53.0,54.0,55.0,55.0,50.0,52.0,53.0,54.0,52.0,53.0,50.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,52.0,52.0,50.0,53.0,55.0,52.0,50.0,53.0,52.0,50.0,53.0,53.0
4,52.0,54.0,51.0,53.0,52.0,54.0,52.0,52.0,53.0,54.0,51.0,54.0,53.0,53.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,54.0,50.0,52.0,53.0,53.0,51.0,53.0,51.0,54.0,54.0,51.0,53.0,51.0,53.0,52.0,54.0,54.0,52.0,53.0,52.0,51.0,53.0,49.0,52.0,54.0,52.0,47.0,52.0,51.0,52.0,54.0,53.0,52.0,52.0,51.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,55.0,53.0,53.0,52.0,52.0,54.0,53.0,54.0,52.0,54.0,54.0,52.0,50.0,53.0,52.0,52.0,52.0,52.0,54.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,53.0,52.0,52.0,53.0
5,53.0,54.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,54.0,55.0,54.0,51.0,54.0,54.0,53.0,53.0,53.0,53.0,51.0,53.0,54.0,50.0,54.0,53.0,51.0,51.0,55.0,55.0,54.0,54.0,52.0,54.0,53.0,53.0,52.0,54.0,52.0,54.0,53.0,51.0,55.0,53.0,54.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,51.0,55.0,53.0,53.0,52.0,50.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,50.0,53.0,53.0,53.0,53.0,57.0,55.0,52.0,54.0,52.0,51.0,55.0,53.0,52.0,53.0,54.0,50.0,53.0,55.0,52.0,54.0,55.0,54.0,53.0,53.0,51.0,51.0
6,52.0,52.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,51.0,54.0,52.0,51.0,52.0,54.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,50.0,53.0,55.0,51.0,52.0,52.0,54.0,50.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,54.0,55.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,58.0,53.0,53.0,51.0,55.0,54.0,52.0,54.0,51.0,52.0,53.0,53.0,51.0,53.0,52.0,52.0,54.0,51.0,51.0,51.0,52.0,54.0,54.0,52.0,51.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,55.0,52.0,51.0,51.0,54.0,50.0,53.0,52.0,55.0,54.0,53.0,54.0,55.0,54.0,53.0,53.0
7,52.0,52.0,51.0,53.0,54.0,51.0,53.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0,54.0,52.0,53.0,50.0,54.0,52.0,53.0,52.0,54.0,55.0,52.0,52.0,51.0,51.0,53.0,51.0,54.0,52.0,53.0,53.0,54.0,51.0,52.0,53.0,54.0,53.0,51.0,53.0,51.0,54.0,52.0,51.0,53.0,53.0,53.0,51.0,53.0,53.0,52.0,55.0,52.0,52.0,54.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,53.0,55.0,53.0,51.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,52.0,53.0,52.0,52.0,51.0,55.0,52.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,51.0,53.0,55.0,52.0
8,51.0,55.0,52.0,54.0,52.0,55.0,53.0,54.0,53.0,51.0,52.0,54.0,51.0,52.0,53.0,53.0,54.0,52.0,52.0,53.0,51.0,52.0,53.0,54.0,54.0,52.0,52.0,53.0,52.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,54.0,54.0,50.0,53.0,53.0,53.0,55.0,54.0,53.0,52.0,55.0,53.0,50.0,53.0,51.0,54.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,53.0,51.0,55.0,51.0,53.0,55.0,54.0,54.0,51.0,50.0,53.0,52.0,53.0,51.0,55.0,54.0,53.0,52.0,54.0,50.0,52.0,52.0,53.0,52.0,54.0,52.0,51.0,53.0,52.0,52.0,53.0,52.0,52.0,50.0,52.0,54.0
