,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22
time_epoch,1617120735.2442703,1617120845.8344254,1617121064.4347312,1617121410.2052155,1617121455.615279,1617121570.2654395,1617121647.8755481,1617121697.7556179,1617121784.0257387,1617122029.6260827,1617122169.6262786,1617122251.5663934,1617122619.966909,1617122717.0070448,1617122822.5771928,1617123348.3779287,1617123451.7780735,1617123568.1682365,1617123643.548342,1617123710.3684356,1617123736.1984718,1617123861.1886466,1617123863.3486497
0,53.0,54.0,52.0,52.0,53.0,52.0,51.0,51.0,54.0,53.0,56.0,52.0,55.0,50.0,51.0,54.0,52.0,54.0,53.0,53.0,50.0,53.0,55.0
1,51.0,52.0,51.0,53.0,52.0,54.0,54.0,51.0,52.0,55.0,51.0,51.0,51.0,53.0,51.0,54.0,53.0,53.0,53.0,52.0,54.0,53.0,55.0
2,51.0,55.0,51.0,52.0,53.0,53.0,54.0,52.0,54.0,52.0,47.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,55.0
3,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,50.0,51.0,53.0,51.0,52.0,52.0,51.0,52.0,53.0,51.0,51.0,53.0,54.0,52.0
4,52.0,50.0,52.0,53.0,54.0,55.0,52.0,53.0,50.0,54.0,54.0,51.0,51.0,52.0,52.0,54.0,53.0,54.0,52.0,49.0,52.0,51.0,53.0
5,51.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,54.0,54.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,52.0,54.0,52.0,52.0,50.0,52.0
6,51.0,51.0,54.0,52.0,50.0,53.0,53.0,53.0,52.0,50.0,50.0,52.0,54.0,53.0,53.0,52.0,53.0,56.0,54.0,51.0,54.0,52.0,53.0
7,52.0,53.0,55.0,53.0,53.0,53.0,54.0,53.0,52.0,54.0,55.0,51.0,53.0,52.0,53.0,54.0,53.0,53.0,50.0,52.0,52.0,52.0,54.0
8,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,53.0,50.0,51.0,51.0,52.0,51.0,53.0,51.0,51.0,55.0,54.0,52.0
