,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20
0,time_epoch,1617214019.5799825,1617214021.7991097,1617214023.9522326,1617214026.1053555,1617214028.256479,1617214030.4166026,1617214032.5717258,1617214034.726849,1617214036.8959732,1617214039.047096,1617214041.1992192,1617214043.3623428,1617214045.5184662,1617214047.6745896,1617214049.8267126,1617214051.9908364,1617214054.1949625,1617214056.3480856,1617214058.5002086,1617214060.6613324
1,0,53.0,53.0,53.0,54.0,53.0,51.0,52.0,51.0,52.0,51.0,53.0,53.0,53.0,52.0,53.0,51.0,53.0,52.0,54.0,52.0
2,1,55.0,52.0,50.0,54.0,53.0,52.0,52.0,53.0,52.0,50.0,51.0,53.0,51.0,53.0,52.0,52.0,51.0,51.0,51.0,53.0
3,2,51.0,52.0,52.0,55.0,52.0,51.0,54.0,50.0,52.0,51.0,53.0,51.0,52.0,51.0,52.0,53.0,52.0,53.0,53.0,51.0
4,3,52.0,53.0,54.0,53.0,51.0,54.0,52.0,53.0,53.0,52.0,51.0,52.0,54.0,53.0,53.0,51.0,53.0,52.0,51.0,53.0
5,4,52.0,52.0,52.0,53.0,52.0,52.0,53.0,51.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,53.0,54.0
6,5,52.0,55.0,53.0,55.0,51.0,49.0,53.0,50.0,52.0,51.0,52.0,50.0,52.0,52.0,54.0,52.0,51.0,53.0,52.0,53.0
7,6,53.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,50.0,52.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0
8,7,50.0,53.0,53.0,54.0,52.0,51.0,53.0,52.0,53.0,51.0,52.0,51.0,53.0,53.0,53.0,53.0,56.0,54.0,52.0,53.0
9,8,53.0,53.0,53.0,50.0,53.0,52.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,50.0,52.0,54.0,51.0,53.0
10,9,53.0,52.0,53.0,52.0,50.0,54.0,52.0,51.0,52.0,52.0,53.0,54.0,52.0,53.0,53.0,54.0,51.0,54.0,53.0,52.0
11,10,52.0,53.0,54.0,52.0,53.0,53.0,52.0,54.0,52.0,54.0,53.0,50.0,52.0,50.0,53.0,54.0,53.0,52.0,53.0,55.0
12,11,53.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,50.0,52.0,54.0,52.0,54.0,56.0,54.0,55.0,53.0,53.0,51.0,54.0
13,12,53.0,53.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,53.0,53.0,50.0,54.0,53.0,53.0,51.0,51.0,52.0,51.0,51.0
14,13,53.0,53.0,52.0,52.0,54.0,53.0,53.0,54.0,52.0,54.0,51.0,53.0,53.0,54.0,54.0,52.0,50.0,52.0,52.0,53.0
15,14,53.0,54.0,53.0,53.0,51.0,53.0,55.0,53.0,50.0,53.0,53.0,54.0,53.0,52.0,51.0,56.0,52.0,54.0,52.0,52.0
16,15,52.0,54.0,53.0,53.0,53.0,54.0,53.0,51.0,53.0,51.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,53.0,52.0,52.0
17,16,52.0,52.0,53.0,54.0,54.0,52.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,53.0,54.0,50.0,53.0,54.0,53.0,52.0
18,17,53.0,51.0,53.0,54.0,53.0,51.0,51.0,53.0,52.0,53.0,52.0,55.0,53.0,55.0,53.0,54.0,53.0,52.0,53.0,52.0
19,18,53.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,52.0,51.0,52.0,53.0,52.0,54.0,58.0,51.0,52.0,51.0,52.0
20,19,52.0,51.0,53.0,54.0,52.0,54.0,53.0,51.0,50.0,52.0,56.0,52.0,52.0,52.0,51.0,49.0,54.0,55.0,54.0,53.0
21,20,53.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,54.0,52.0,55.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,51.0
22,21,53.0,54.0,53.0,54.0,55.0,52.0,52.0,52.0,52.0,54.0,54.0,54.0,52.0,52.0,51.0,56.0,52.0,53.0,52.0,53.0
23,22,51.0,55.0,52.0,54.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,53.0,53.0,55.0,51.0,51.0
24,23,52.0,53.0,51.0,53.0,51.0,53.0,51.0,53.0,52.0,52.0,51.0,50.0,54.0,52.0,53.0,48.0,52.0,52.0,52.0,51.0
25,24,52.0,52.0,53.0,53.0,52.0,50.0,53.0,51.0,50.0,53.0,54.0,52.0,53.0,53.0,53.0,56.0,52.0,52.0,53.0,51.0
26,25,52.0,53.0,53.0,54.0,52.0,53.0,52.0,53.0,51.0,53.0,53.0,51.0,52.0,52.0,56.0,58.0,52.0,51.0,52.0,52.0
27,26,53.0,52.0,53.0,53.0,55.0,53.0,50.0,51.0,50.0,53.0,53.0,55.0,54.0,51.0,53.0,53.0,54.0,54.0,51.0,53.0
28,27,54.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,48.0,52.0,54.0,52.0,51.0
29,28,53.0,53.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0,52.0,52.0,52.0,53.0,51.0,54.0,54.0,52.0,53.0,54.0,54.0
30,29,52.0,51.0,53.0,52.0,54.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0,54.0,51.0,52.0,55.0,52.0,53.0,53.0,53.0
31,30,54.0,54.0,52.0,53.0,53.0,52.0,51.0,53.0,54.0,54.0,51.0,53.0,53.0,52.0,53.0,50.0,53.0,52.0,51.0,53.0
32,31,51.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,55.0,52.0,53.0,52.0,53.0,53.0,50.0,53.0,53.0,51.0,52.0
