,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102
time_epoch,1617802808.4350433,1617802991.5665178,1617803013.1507523,1617803051.956972,1617803220.0145843,1617803284.6962838,1617803383.8359542,1617803385.9870775,1617803875.3410668,1617803909.9050436,1617804112.5026317,1617804228.830285,1617804269.7826276,1617804291.3028586,1617804328.0079577,1617804332.3222044,1617804937.9518447,1617805295.744309,1617805343.2180245,1617805537.2001195,1617805660.078148,1617805819.6722763,1617805836.9562647,1617805920.9290679,1617806033.001478,1617806080.486194,1617806149.4261367,1617806222.755331,1617806440.4157805,1617806479.2980044,1617806606.4122753,1617806727.186183,1617807274.735501,1617807473.0118418,1617807651.9030738,1617807669.1170583,1617807699.3087852,1617807703.6120312,1617807845.8481667,1617807934.2132208,1617808087.2799757,1617808393.3044796,1617808471.049926,1617808537.8287458,1617808680.0928826,1617808686.5462518,1617808835.2137551,1617809292.278898,1617809430.2317884,1617809438.8452811,1617809606.9608965,1617809619.8736353,1617809650.0183592,1617809820.3030992,1617810197.5076742,1617810475.4395707,1617810516.3869128,1617810779.3719547,1617810790.13257,1617811014.2823908,1617811050.945488,1617811098.3641999,1617811320.349897,1617811361.3082397,1617811404.4727085,1617811514.3789947,1617811559.6325831,1617811589.8163095,1617811591.9684327,1617811766.5524182,1617811846.240976,1617811863.5339653,1617811882.9630766,1617811986.3289888,1617812001.4448533,1617812152.2594793,1617812406.5130217,1617812550.9322822,1617812581.087007,1617812637.1012106,1617812650.0159492,1617812662.985691,1617812671.5991838,1617813249.2342227,1617813333.2750294,1617813622.1085498,1617813643.6377811,1617813844.0602448,1617814031.6619751,1617814072.6053169,1617814238.613812,1617814807.6213572,1617814954.2437437,1617815187.0170574,1617815234.3917673,1617815299.094468,1617815516.7249157,1617815536.2120304,1617815915.4987245,1617815980.201425,1617816001.719656,1617816021.1437669,1617816083.6263406
0,52.0,53.0,55.0,53.0,51.0,53.0,55.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,54.0,54.0,51.0,52.0,55.0,53.0,53.0,52.0,53.0,52.0,54.0,52.0,54.0,54.0,55.0,53.0,51.0,51.0,54.0,50.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,54.0,54.0,51.0,51.0,53.0,53.0,54.0,51.0,55.0,53.0,53.0,53.0,52.0,53.0,53.0,54.0,53.0,52.0,53.0,51.0,53.0,53.0,51.0,51.0,54.0,50.0,56.0,53.0,54.0,53.0,51.0,48.0,52.0,53.0,50.0,53.0,51.0,52.0,53.0,54.0,52.0,54.0,50.0,54.0,52.0,54.0,52.0,53.0,54.0,53.0,54.0,53.0,53.0,52.0,52.0,51.0,52.0
1,53.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,52.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,55.0,53.0,53.0,53.0,52.0,53.0,53.0,54.0,51.0,54.0,51.0,54.0,53.0,53.0,52.0,50.0,53.0,54.0,53.0,52.0,54.0,51.0,51.0,52.0,53.0,54.0,50.0,51.0,53.0,52.0,53.0,54.0,53.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,54.0,51.0,52.0,52.0,53.0,52.0,54.0,51.0,51.0,52.0,53.0,55.0,52.0,51.0,53.0,54.0,50.0,51.0,52.0,53.0,52.0,51.0,53.0,54.0,53.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0,53.0,53.0,55.0,54.0,53.0
2,51.0,53.0,54.0,53.0,53.0,51.0,51.0,53.0,52.0,53.0,53.0,52.0,55.0,54.0,52.0,54.0,52.0,52.0,51.0,54.0,51.0,52.0,54.0,51.0,52.0,53.0,53.0,52.0,55.0,54.0,53.0,53.0,54.0,52.0,51.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,55.0,53.0,53.0,52.0,54.0,51.0,52.0,51.0,53.0,53.0,53.0,50.0,51.0,53.0,51.0,51.0,51.0,52.0,51.0,50.0,52.0,54.0,51.0,52.0,52.0,51.0,54.0,53.0,51.0,55.0,50.0,52.0,54.0,53.0,52.0,56.0,52.0,52.0,53.0,52.0,53.0,50.0,53.0,52.0,52.0,53.0,51.0,53.0,51.0,53.0,56.0,52.0,53.0,52.0,55.0,53.0,53.0,54.0,53.0,52.0,52.0
3,53.0,52.0,53.0,51.0,53.0,53.0,55.0,52.0,54.0,53.0,52.0,53.0,53.0,52.0,53.0,53.0,51.0,51.0,54.0,54.0,52.0,54.0,53.0,53.0,51.0,53.0,52.0,51.0,54.0,54.0,54.0,53.0,55.0,54.0,51.0,53.0,53.0,53.0,51.0,53.0,52.0,55.0,52.0,53.0,53.0,53.0,54.0,53.0,54.0,52.0,51.0,53.0,54.0,52.0,50.0,53.0,52.0,51.0,52.0,53.0,52.0,53.0,52.0,50.0,53.0,52.0,52.0,54.0,49.0,50.0,51.0,50.0,56.0,52.0,53.0,54.0,53.0,53.0,54.0,51.0,51.0,52.0,53.0,51.0,55.0,52.0,54.0,53.0,52.0,54.0,52.0,54.0,53.0,53.0,53.0,52.0,55.0,51.0,53.0,52.0,50.0,54.0,53.0
4,52.0,53.0,54.0,55.0,54.0,51.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0,50.0,52.0,52.0,52.0,54.0,53.0,52.0,54.0,54.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0,53.0,51.0,54.0,53.0,54.0,51.0,55.0,50.0,52.0,51.0,53.0,54.0,54.0,53.0,53.0,50.0,53.0,53.0,52.0,55.0,51.0,53.0,52.0,52.0,53.0,51.0,50.0,53.0,50.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,49.0,52.0,53.0,54.0,53.0,53.0,54.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0,50.0,52.0,53.0,53.0,52.0,52.0,54.0,51.0,54.0,52.0,52.0,52.0
5,52.0,52.0,52.0,53.0,53.0,52.0,51.0,51.0,53.0,53.0,54.0,50.0,51.0,54.0,52.0,51.0,52.0,51.0,54.0,53.0,51.0,52.0,54.0,53.0,53.0,51.0,54.0,52.0,51.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,53.0,52.0,51.0,52.0,53.0,51.0,53.0,52.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,51.0,52.0,49.0,51.0,53.0,52.0,52.0,52.0,51.0,53.0,54.0,52.0,56.0,49.0,50.0,52.0,52.0,54.0,54.0,53.0,53.0,55.0,53.0,51.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0,51.0,51.0,52.0,54.0,52.0,53.0,55.0
6,52.0,50.0,55.0,52.0,53.0,52.0,51.0,50.0,52.0,51.0,54.0,53.0,52.0,53.0,54.0,51.0,50.0,54.0,51.0,52.0,53.0,51.0,51.0,54.0,53.0,50.0,52.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,53.0,54.0,53.0,53.0,53.0,55.0,52.0,53.0,52.0,53.0,52.0,52.0,51.0,55.0,54.0,52.0,55.0,52.0,53.0,49.0,53.0,52.0,53.0,52.0,54.0,55.0,52.0,55.0,53.0,54.0,52.0,51.0,52.0,54.0,53.0,53.0,53.0,52.0,54.0,51.0,51.0,55.0,51.0,55.0,55.0,54.0,53.0,53.0,54.0,53.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0
7,52.0,50.0,55.0,51.0,52.0,51.0,53.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,51.0,50.0,54.0,54.0,51.0,52.0,53.0,54.0,53.0,51.0,52.0,53.0,54.0,52.0,52.0,52.0,55.0,52.0,50.0,51.0,52.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,54.0,51.0,52.0,52.0,52.0,51.0,49.0,52.0,51.0,52.0,51.0,54.0,55.0,53.0,53.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,49.0,54.0,54.0,54.0,51.0,54.0,51.0,53.0,52.0,52.0,54.0,53.0,50.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,54.0,53.0,52.0,52.0,49.0,54.0,50.0,52.0,54.0,53.0,52.0,53.0
8,52.0,52.0,50.0,51.0,52.0,53.0,55.0,50.0,53.0,54.0,54.0,54.0,52.0,53.0,52.0,50.0,53.0,53.0,52.0,52.0,54.0,55.0,53.0,55.0,53.0,51.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,54.0,52.0,51.0,53.0,51.0,53.0,54.0,53.0,53.0,55.0,56.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,52.0,53.0,53.0,54.0,53.0,52.0,52.0,54.0,52.0,52.0,54.0,53.0,53.0,53.0,51.0,53.0,51.0,53.0,52.0,54.0,53.0,54.0
