,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100
time_epoch,1617505335.3622923,1617505337.5164156,1617505406.4533587,1617505410.7576046,1617505559.5361142,1617505714.71399,1617505839.6731372,1617506109.058545,1617506111.2116683,1617506206.0340917,1617506311.706136,1617506384.9923277,1617506490.5733666,1617506568.1258023,1617506893.6704226,1617507089.7406368,1617507106.964622,1617507397.8942623,1617507527.2896636,1617507682.5585444,1617507824.7256758,1617507878.65176,1617507902.3821173,1617508010.0632763,1617508115.7193196,1617508124.345813,1617508165.307156,1617508201.956252,1617508318.3549097,1617508600.6870582,1617508615.8079233,1617508702.0128539,1617509113.517655,1617509350.5932148,1617509357.050584,1617509406.6924233,1617509490.7522314,1617509648.134233,1617509697.6990678,1617509714.934054,1617509827.0424662,1617509835.6519585,1617509844.261451,1617510033.9132984,1617510048.97716,1617510299.0264618,1617510368.0044074,1617510501.610049,1617510514.5237877,1617510587.8289804,1617510594.2843497,1617510794.7418153,1617510818.4171693,1617511305.6080353,1617511600.9649286,1617511816.540259,1617512322.969225,1617512396.3174202,1617512422.1578982,1617512857.6448066,1617512945.9828594,1617512950.297106,1617512952.451229,1617513090.4001193,1617513217.5293908,1617513295.13983,1617513443.838335,1617513687.4092665,1617513814.5535388,1617513853.370759,1617514224.093963,1617514383.6350884,1617514506.4401124,1617514512.9074821,1617514525.8292215,1617514870.6999466,1617514913.7454088,1617515336.3835824,1617515377.3099234,1617515586.407883,1617515745.8900046,1617515771.7804856,1617515832.0949352,1617516336.5517888,1617516377.4961305,1617516444.3459544,1617516733.2684796,1617516791.4388068,1617517127.6290357,1617517259.1755598,1617517274.2464218,1617517317.3538876,1617517664.257729,1617517789.3398836,1617518149.7044952,1617518360.9145756,1617518382.4368067,1617518483.7796032,1617518639.0364833,1617518798.5936096,1617518822.3219666
0,51.0,50.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,53.0,54.0,53.0,51.0,50.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,51.0,51.0,52.0,51.0,50.0,52.0,59.0,52.0,52.0,53.0,51.0,54.0,53.0,50.0,52.0,50.0,55.0,52.0,53.0,53.0,53.0,53.0,51.0,49.0,54.0,53.0,54.0,54.0,53.0,51.0,54.0,52.0,53.0,50.0,51.0,50.0,54.0,53.0,53.0,53.0,53.0,55.0,53.0,50.0,53.0,52.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,53.0,53.0,54.0,52.0,53.0,52.0,53.0,53.0,51.0,51.0,54.0,52.0,53.0
1,54.0,51.0,51.0,54.0,54.0,52.0,52.0,53.0,55.0,51.0,53.0,54.0,53.0,54.0,52.0,56.0,53.0,53.0,52.0,51.0,55.0,52.0,51.0,51.0,52.0,51.0,50.0,52.0,53.0,52.0,50.0,57.0,53.0,52.0,50.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,51.0,50.0,54.0,52.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,54.0,49.0,52.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,54.0,51.0,50.0,50.0,53.0,52.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,54.0,52.0,52.0,51.0,50.0,53.0,52.0,52.0,50.0,53.0,52.0,53.0,54.0,52.0,52.0,52.0
2,54.0,54.0,51.0,54.0,53.0,54.0,54.0,50.0,53.0,51.0,52.0,54.0,53.0,52.0,53.0,52.0,52.0,55.0,51.0,56.0,52.0,51.0,54.0,53.0,52.0,51.0,50.0,53.0,51.0,54.0,51.0,51.0,52.0,52.0,53.0,52.0,52.0,54.0,52.0,51.0,53.0,52.0,51.0,51.0,53.0,53.0,54.0,53.0,55.0,53.0,52.0,51.0,51.0,52.0,53.0,53.0,52.0,52.0,57.0,53.0,52.0,50.0,51.0,52.0,53.0,51.0,54.0,53.0,51.0,52.0,51.0,53.0,51.0,52.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,54.0,52.0,53.0,53.0,54.0,53.0,52.0,54.0,51.0,52.0,50.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0
3,53.0,52.0,50.0,53.0,55.0,53.0,52.0,53.0,54.0,52.0,53.0,51.0,53.0,52.0,51.0,53.0,53.0,53.0,54.0,52.0,51.0,54.0,52.0,53.0,53.0,54.0,53.0,54.0,53.0,52.0,53.0,51.0,52.0,52.0,54.0,53.0,54.0,51.0,53.0,53.0,51.0,53.0,52.0,52.0,52.0,50.0,55.0,54.0,52.0,52.0,53.0,53.0,52.0,52.0,55.0,53.0,55.0,53.0,49.0,50.0,52.0,54.0,51.0,52.0,53.0,53.0,53.0,53.0,52.0,50.0,51.0,52.0,53.0,50.0,53.0,53.0,52.0,54.0,53.0,54.0,52.0,52.0,51.0,54.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,54.0,54.0,52.0,52.0,51.0,51.0,51.0,53.0,53.0,52.0
4,54.0,51.0,52.0,55.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,51.0,54.0,52.0,51.0,52.0,53.0,54.0,52.0,53.0,50.0,53.0,53.0,52.0,53.0,54.0,56.0,52.0,51.0,51.0,52.0,52.0,51.0,52.0,53.0,52.0,53.0,50.0,53.0,50.0,52.0,54.0,52.0,51.0,53.0,51.0,51.0,54.0,53.0,53.0,53.0,52.0,51.0,53.0,53.0,52.0,53.0,51.0,52.0,53.0,52.0,53.0,52.0,54.0,54.0,52.0,53.0,53.0,52.0,52.0,51.0,52.0,53.0,53.0,54.0,52.0,52.0,53.0,53.0,51.0,53.0,53.0,51.0,52.0,53.0,51.0,52.0,53.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,51.0
5,52.0,55.0,53.0,55.0,53.0,51.0,54.0,53.0,53.0,51.0,50.0,51.0,52.0,53.0,52.0,52.0,51.0,53.0,52.0,53.0,50.0,51.0,53.0,53.0,51.0,49.0,51.0,54.0,51.0,52.0,53.0,55.0,52.0,51.0,52.0,52.0,55.0,54.0,52.0,53.0,54.0,54.0,52.0,54.0,53.0,54.0,51.0,52.0,54.0,52.0,53.0,53.0,53.0,50.0,54.0,54.0,51.0,53.0,58.0,52.0,52.0,50.0,51.0,52.0,54.0,53.0,53.0,51.0,52.0,55.0,53.0,51.0,53.0,51.0,53.0,51.0,51.0,51.0,51.0,53.0,52.0,51.0,52.0,55.0,53.0,54.0,52.0,53.0,53.0,53.0,54.0,50.0,53.0,52.0,52.0,53.0,54.0,50.0,54.0,53.0,53.0
6,53.0,54.0,52.0,54.0,53.0,53.0,53.0,51.0,52.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,51.0,53.0,56.0,53.0,53.0,52.0,52.0,53.0,51.0,54.0,53.0,51.0,52.0,55.0,51.0,50.0,51.0,52.0,54.0,55.0,53.0,53.0,53.0,53.0,52.0,51.0,52.0,52.0,52.0,54.0,52.0,57.0,53.0,50.0,54.0,52.0,51.0,56.0,52.0,50.0,51.0,54.0,52.0,52.0,52.0,51.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,51.0,52.0,56.0,53.0,51.0,54.0,53.0,51.0,52.0,51.0,52.0,52.0,53.0,54.0,52.0,53.0,52.0,52.0,54.0,52.0
7,51.0,52.0,52.0,53.0,53.0,55.0,51.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,55.0,52.0,52.0,53.0,54.0,52.0,53.0,52.0,54.0,53.0,51.0,51.0,52.0,54.0,51.0,53.0,54.0,54.0,52.0,53.0,51.0,53.0,53.0,54.0,51.0,52.0,53.0,52.0,52.0,54.0,53.0,50.0,53.0,54.0,50.0,52.0,51.0,51.0,53.0,52.0,54.0,53.0,52.0,51.0,49.0,54.0,53.0,55.0,50.0,54.0,53.0,52.0,52.0,52.0,54.0,49.0,52.0,53.0,52.0,54.0,54.0,53.0,52.0,53.0,54.0,54.0,52.0,52.0,54.0,54.0,53.0,52.0,54.0,54.0,53.0,53.0,52.0,50.0,54.0,53.0,53.0,53.0,53.0,51.0,53.0,54.0,52.0
8,53.0,51.0,51.0,50.0,54.0,53.0,50.0,53.0,55.0,51.0,53.0,51.0,55.0,55.0,53.0,49.0,53.0,53.0,52.0,51.0,51.0,54.0,54.0,52.0,50.0,51.0,51.0,54.0,53.0,53.0,53.0,57.0,54.0,52.0,52.0,51.0,53.0,53.0,54.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0,54.0,53.0,49.0,55.0,51.0,55.0,52.0,52.0,54.0,52.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,54.0,52.0,52.0,50.0,52.0,52.0,54.0,50.0,52.0,52.0,49.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0,54.0,52.0,54.0,54.0,51.0,51.0,53.0,52.0,51.0,53.0,52.0,51.0,53.0,52.0,52.0,54.0,53.0,49.0
