,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102,event_103,event_104,event_105,event_106,event_107,event_108,event_109,event_110,event_111,event_112,event_113,event_114,event_115,event_116,event_117,event_118,event_119,event_120,event_121,event_122,event_123,event_124,event_125,event_126,event_127,event_128,event_129,event_130,event_131,event_132,event_133,event_134,event_135,event_136,event_137,event_138,event_139,event_140,event_141,event_142,event_143,event_144,event_145,event_146,event_147,event_148,event_149,event_150,event_151,event_152,event_153,event_154,event_155,event_156,event_157,event_158,event_159,event_160,event_161,event_162,event_163,event_164,event_165,event_166,event_167,event_168,event_169,event_170,event_171,event_172,event_173,event_174,event_175,event_176,event_177,event_178,event_179,event_180,event_181,event_182,event_183,event_184,event_185,event_186,event_187,event_188,event_189,event_190,event_191,event_192,event_193,event_194,event_195,event_196
0,1.2000000000000002,2.0,2.0,0.4,0.8,0.8,1.2000000000000002,-0.4,0.8,1.6,0.8,0.8,0.0,1.2000000000000002,0.8,1.2000000000000002,-0.4,0.8,0.8,0.8,0.4,1.2000000000000002,1.6,0.4,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,2.0,0.4,0.4,1.2000000000000002,0.8,0.8,1.6,1.2000000000000002,0.8,0.8,1.6,0.8,0.8,0.4,1.6,0.8,0.8,0.8,0.4,0.4,0.4,1.2000000000000002,1.2000000000000002,1.6,0.8,1.2000000000000002,0.8,0.0,1.2000000000000002,0.4,0.8,0.4,1.2000000000000002,1.2000000000000002,1.6,0.8,0.8,0.8,0.4,2.0,1.2000000000000002,0.8,0.4,0.0,2.0,1.2000000000000002,0.8,0.4,1.2000000000000002,2.0,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,1.6,0.4,1.2000000000000002,1.6,0.8,0.4,1.2000000000000002,0.8,0.8,1.6,0.0,0.8,1.6,0.8,0.8,-0.4,0.4,1.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.8,2.0,1.2000000000000002,0.8,0.8,1.2000000000000002,0.8,0.8,0.8,1.6,0.8,0.8,0.8,1.2000000000000002,-0.4,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,0.8,0.8,1.2000000000000002,0.0,1.6,1.2000000000000002,0.8,0.8,1.6,0.8,1.2000000000000002,0.8,0.4,1.2000000000000002,0.8,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,0.4,1.2000000000000002,1.6,1.2000000000000002,0.8,1.2000000000000002,0.4,1.2000000000000002,1.6,0.8,0.8,1.2000000000000002,1.2000000000000002,0.8,0.0,1.6,1.6,0.4,0.8,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,2.0,1.6,1.2000000000000002,1.2000000000000002,0.8,0.8,0.8,0.8,0.8,1.2000000000000002,1.6,0.4,0.8,1.2000000000000002,0.8,1.2000000000000002,0.4,0.4
1,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,2.4000000000000004,0.4,1.2000000000000002,1.6,0.4,1.6,0.4,2.0,0.0,0.4,0.4,0.4,2.0,0.8,1.2000000000000002,1.2000000000000002,0.4,0.8,1.2000000000000002,0.8,1.6,0.4,1.2000000000000002,1.6,0.4,0.8,1.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,0.4,0.4,0.8,0.8,1.6,2.0,1.2000000000000002,0.8,0.8,0.8,0.8,1.6,0.8,0.4,0.8,2.0,0.0,1.6,1.2000000000000002,1.6,0.8,0.4,0.8,0.8,1.2000000000000002,0.0,0.4,1.6,1.6,1.6,1.6,1.6,1.2000000000000002,0.4,2.0,1.6,0.8,0.0,0.4,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,0.4,1.6,1.6,0.8,1.2000000000000002,1.2000000000000002,0.8,0.4,0.4,1.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,0.8,1.6,1.6,0.8,0.8,1.2000000000000002,0.8,0.8,0.0,1.2000000000000002,1.6,1.6,1.2000000000000002,0.4,0.8,1.2000000000000002,1.6,-0.4,1.6,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,0.4,1.6,1.6,0.4,1.6,1.2000000000000002,0.8,0.4,0.8,0.4,1.2000000000000002,0.8,0.8,1.2000000000000002,0.4,1.2000000000000002,0.0,2.0,2.0,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,0.0,1.6,0.8,1.2000000000000002,0.8,0.4,1.6,0.4,1.6,0.8,0.4,1.6,0.8,1.2000000000000002,0.4,0.8,0.4,1.2000000000000002,1.2000000000000002,0.8,0.0,1.2000000000000002,1.6,0.0,1.2000000000000002,0.8,1.6,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,0.8,0.4,1.2000000000000002,0.8,2.0,1.2000000000000002,0.8,0.4,0.8,1.2000000000000002,1.2000000000000002,0.8,2.0,1.2000000000000002,1.2000000000000002,0.8,0.8,0.8,0.8,0.4,1.6
2,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,2.0,0.8,2.4000000000000004,0.8,0.8,2.4000000000000004,0.8,0.8,0.8,1.2000000000000002,0.8,0.4,2.0,1.2000000000000002,1.2000000000000002,1.6,1.6,0.4,0.4,1.2000000000000002,0.0,0.8,0.4,1.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.6,0.0,0.8,1.2000000000000002,0.8,0.8,1.2000000000000002,0.4,0.8,1.6,0.4,0.4,1.2000000000000002,0.8,0.4,1.2000000000000002,1.2000000000000002,0.8,0.4,1.2000000000000002,0.4,2.0,0.8,-0.4,1.2000000000000002,0.4,0.4,1.6,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,-0.4,0.4,0.8,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,0.8,1.6,1.6,1.2000000000000002,0.4,1.6,0.8,0.8,0.8,1.2000000000000002,0.8,0.8,1.2000000000000002,1.2000000000000002,0.4,1.6,0.8,0.8,0.8,0.4,0.4,-0.4,0.8,1.2000000000000002,1.2000000000000002,0.8,1.6,0.8,0.8,1.6,0.4,0.4,1.2000000000000002,1.2000000000000002,0.8,0.8,1.6,1.6,1.6,1.2000000000000002,0.8,0.0,0.8,0.8,0.8,0.4,0.4,1.2000000000000002,0.8,1.2000000000000002,0.8,1.6,0.8,1.6,0.4,1.2000000000000002,0.8,1.2000000000000002,0.8,0.4,1.6,1.2000000000000002,0.8,0.8,0.8,1.6,0.0,2.0,0.8,1.2000000000000002,0.8,1.2000000000000002,0.8,0.8,0.8,0.8,0.4,0.8,0.0,1.6,1.6,0.4,0.4,0.8,1.2000000000000002,1.6,1.6,0.8,0.0,1.6,0.8,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,0.8,0.8,0.0,0.0,1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.4,1.2000000000000002,0.8,1.6,1.2000000000000002,1.6,2.0,1.2000000000000002,1.2000000000000002,0.8,0.8,1.2000000000000002,0.4,1.6,1.6,0.4,1.2000000000000002,0.4
3,0.8,1.6,0.4,1.6,-0.4,1.6,2.0,1.2000000000000002,1.2000000000000002,1.6,1.2000000000000002,0.4,0.4,1.6,0.8,0.8,0.4,0.8,1.2000000000000002,1.2000000000000002,0.8,0.4,0.8,1.2000000000000002,1.2000000000000002,1.6,0.8,1.6,1.2000000000000002,1.6,0.4,0.4,0.4,0.4,0.4,1.2000000000000002,0.8,0.8,1.2000000000000002,1.6,1.6,1.2000000000000002,0.4,0.4,1.6,0.4,0.0,0.4,0.4,0.4,1.2000000000000002,0.8,-2.0,0.8,1.2000000000000002,1.2000000000000002,0.8,0.4,0.4,0.4,0.8,0.8,1.6,-10.0,0.0,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,0.0,1.2000000000000002,1.6,1.6,1.2000000000000002,1.6,1.2000000000000002,0.8,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002,2.0,1.2000000000000002,0.8,0.4,0.4,0.8,0.8,1.6,0.8,1.2000000000000002,-6.800000000000001,0.8,0.8,1.2000000000000002,0.8,1.6,2.4000000000000004,1.2000000000000002,1.6,1.2000000000000002,0.4,0.4,1.2000000000000002,0.8,1.6,1.2000000000000002,1.6,1.2000000000000002,0.8,1.6,0.8,1.6,0.4,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,2.0,0.8,1.6,0.4,0.8,0.8,0.4,1.2000000000000002,0.4,0.8,0.4,0.8,1.2000000000000002,-0.4,0.4,0.4,2.4000000000000004,0.4,0.0,1.2000000000000002,1.6,0.0,1.6,0.8,0.8,0.8,0.4,0.4,1.2000000000000002,0.8,0.4,0.8,0.0,1.2000000000000002,0.8,0.4,0.4,0.8,0.8,1.2000000000000002,1.6,1.6,0.8,1.6,1.2000000000000002,1.2000000000000002,0.8,0.4,2.0,0.8,0.0,0.4,0.4,2.0,0.8,-0.4,1.6,0.8,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,-0.4,0.4,0.4,0.8,1.6,1.6,0.8,0.8,1.2000000000000002,0.0,0.4,0.0
4,1.2000000000000002,0.4,0.8,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.0,0.8,2.0,0.4,0.8,0.0,0.8,0.0,0.4,2.0,0.8,1.2000000000000002,0.4,0.8,0.8,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.6,1.2000000000000002,1.6,2.0,0.4,1.6,0.4,0.4,0.4,1.2000000000000002,0.8,0.4,1.6,1.2000000000000002,1.2000000000000002,0.4,0.8,0.0,1.6,0.4,0.8,-2.8,0.8,1.2000000000000002,1.2000000000000002,0.4,0.8,0.8,1.2000000000000002,0.4,1.2000000000000002,0.4,8.8,0.8,0.4,1.2000000000000002,1.6,0.0,2.0,0.8,1.2000000000000002,0.8,0.8,1.6,1.2000000000000002,0.8,0.8,0.8,0.8,2.0,0.4,0.4,1.2000000000000002,1.2000000000000002,0.8,0.4,1.6,2.4000000000000004,0.4,0.4,1.6,0.0,0.8,1.6,0.4,0.8,0.4,2.0,0.0,0.8,0.8,1.6,1.6,0.8,1.6,1.6,1.6,1.6,0.8,0.0,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,0.8,0.8,0.4,0.8,0.8,1.6,0.8,0.8,0.8,1.2000000000000002,0.0,0.8,0.8,1.2000000000000002,1.6,0.0,0.8,0.4,1.2000000000000002,1.6,1.6,1.2000000000000002,1.6,1.6,0.8,1.2000000000000002,0.8,0.0,0.4,0.8,0.4,0.8,0.8,-0.8,1.2000000000000002,0.8,0.4,1.6,1.6,0.8,0.8,1.6,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.4,0.8,2.0,0.8,1.6,1.2000000000000002,0.8,0.8,0.0,0.4,1.6,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.8,0.8,0.4,0.8,0.8,1.2000000000000002,0.8,0.8,0.4,0.8,0.4,0.8,1.2000000000000002,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002
5,1.6,0.4,1.6,1.2000000000000002,2.4000000000000004,0.4,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,0.8,0.8,0.8,2.0,1.2000000000000002,1.6,0.8,1.2000000000000002,0.8,1.6,1.6,0.8,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4,1.6,0.8,1.2000000000000002,0.8,0.8,0.4,1.6,0.8,1.2000000000000002,1.6,1.6,1.2000000000000002,1.2000000000000002,0.8,0.4,0.0,0.0,0.8,0.0,-0.4,12.400000000000002,1.2000000000000002,1.6,1.2000000000000002,1.2000000000000002,0.8,1.6,0.8,1.6,1.2000000000000002,1.2000000000000002,2.4000000000000004,0.4,0.4,0.8,1.6,1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002,1.6,1.2000000000000002,1.6,0.8,1.6,1.6,1.2000000000000002,0.8,0.8,0.8,2.4000000000000004,0.4,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,6.0,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.4,0.4,1.2000000000000002,1.6,2.0,0.8,1.2000000000000002,0.8,0.8,2.0,0.0,1.6,0.0,0.8,0.4,1.6,0.4,0.8,0.4,1.2000000000000002,0.4,0.4,0.4,1.2000000000000002,0.8,0.8,1.6,0.8,0.0,1.6,0.4,0.8,1.6,1.6,0.8,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,0.8,0.8,1.2000000000000002,0.8,1.2000000000000002,0.4,0.8,0.0,0.8,1.6,0.8,1.2000000000000002,0.8,1.2000000000000002,0.8,0.8,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.0,0.4,1.2000000000000002,0.4,0.8,0.8,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.6,1.6,1.2000000000000002,1.6,0.0,0.4,0.8,0.8,1.2000000000000002,1.6,0.8,1.2000000000000002,0.0,1.2000000000000002,1.6,1.6,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.4
6,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.6,2.8,0.4,1.2000000000000002,0.4,0.4,0.8,1.2000000000000002,0.8,0.8,1.6,1.6,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.4,-0.4,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,0.4,0.8,0.8,0.8,0.4,1.6,1.6,1.6,1.6,0.8,0.4,0.8,0.4,-8.0,0.4,1.6,1.6,0.0,0.0,0.0,1.2000000000000002,0.8,0.4,0.8,-7.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.6,0.4,-0.8,0.4,2.0,0.8,1.6,1.2000000000000002,1.6,1.6,0.4,2.0,1.2000000000000002,1.2000000000000002,0.8,0.4,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,1.6,1.2000000000000002,1.6,0.8,0.8,0.4,0.4,-6.4,0.4,0.0,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.8,0.8,1.6,0.4,2.0,0.8,0.4,0.8,1.2000000000000002,0.8,0.8,1.2000000000000002,0.8,0.4,1.2000000000000002,0.8,0.4,1.6,0.8,1.6,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002,0.8,0.8,0.4,2.4000000000000004,0.4,0.8,0.8,0.4,1.2000000000000002,1.2000000000000002,0.8,1.6,0.8,0.8,1.2000000000000002,0.4,0.4,0.8,1.2000000000000002,0.8,0.4,1.2000000000000002,0.8,0.8,0.8,0.4,1.2000000000000002,0.4,0.8,0.4,1.2000000000000002,0.4,1.6,1.2000000000000002,1.6,1.2000000000000002,0.0,1.2000000000000002,1.2000000000000002,2.0,-0.4,0.8,1.2000000000000002,0.8,0.8,0.0,0.4,0.4,1.2000000000000002,0.8,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.4,0.8,1.2000000000000002,0.0,0.8,0.8,1.2000000000000002,1.2000000000000002,0.4
7,0.4,0.8,0.8,1.2000000000000002,0.8,1.2000000000000002,1.6,1.2000000000000002,0.4,0.8,1.6,1.6,0.4,1.2000000000000002,0.4,0.8,0.0,0.8,0.8,-0.4,0.8,-0.4,-0.4,0.4,-0.8,0.8,1.2000000000000002,0.4,0.8,1.2000000000000002,1.2000000000000002,0.4,0.4,0.4,1.2000000000000002,0.8,0.4,0.8,0.4,-0.4,0.8,1.2000000000000002,0.8,0.8,1.2000000000000002,0.4,0.0,0.0,0.0,0.8,1.6,1.2000000000000002,-5.200000000000001,0.4,0.8,0.0,0.4,0.0,0.8,1.2000000000000002,0.0,0.0,0.8,-4.4,0.4,0.4,0.8,0.4,0.8,1.2000000000000002,1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4,0.8,1.6,0.8,0.0,1.2000000000000002,1.2000000000000002,0.0,-0.4,0.8,1.2000000000000002,0.8,0.4,0.4,1.6,0.4,2.0,0.8,0.8,-6.800000000000001,-0.4,0.8,1.2000000000000002,0.0,1.2000000000000002,1.6,1.2000000000000002,0.8,2.0,0.4,0.4,0.4,1.6,1.2000000000000002,0.8,0.0,0.8,1.2000000000000002,0.4,0.8,0.8,1.2000000000000002,1.2000000000000002,0.8,1.6,1.2000000000000002,0.8,0.8,1.2000000000000002,1.6,0.8,0.8,1.2000000000000002,1.2000000000000002,1.6,0.0,0.8,0.8,0.8,1.2000000000000002,0.0,1.6,1.6,2.0,1.2000000000000002,1.6,0.0,0.8,0.8,1.2000000000000002,0.8,2.0,0.4,0.0,0.8,0.0,0.8,1.2000000000000002,0.8,1.2000000000000002,1.2000000000000002,0.8,1.2000000000000002,0.8,0.8,1.6,0.8,0.8,0.4,1.2000000000000002,0.8,1.6,0.4,0.8,0.8,0.8,0.0,0.8,0.8,1.2000000000000002,0.4,0.4,0.8,0.0,0.0,0.8,0.4,1.6,1.2000000000000002,0.8,0.4,0.8,1.6,0.4,1.6,0.8,1.2000000000000002,0.8,1.2000000000000002,0.8,2.0,0.8
8,0.0,-17.6,1.2000000000000002,-3.6000000000000005,-6.4,-6.0,-1.2000000000000002,-6.4,-2.8,-0.4,-3.2,-8.0,-4.800000000000001,-8.0,-7.200000000000001,-6.4,-2.0,-8.0,-1.6,-17.2,-4.4,-18.000000000000004,-16.8,-7.6,-19.599999999999998,-16.0,-17.6,0.4,-5.6,0.8,-5.6,0.4,-1.6,-12.400000000000002,-4.0,-2.4000000000000004,-38.800000000000004,-4.800000000000001,-6.800000000000001,-14.8,-8.4,-0.4,-2.8,-6.0,-2.4000000000000004,0.0,-7.6,-15.600000000000001,-7.6,0.0,-7.200000000000001,-1.2000000000000002,15.600000000000001,-8.0,-9.600000000000001,-15.600000000000001,-10.0,-1.2000000000000002,0.0,-1.6,-8.0,-9.2,-8.0,26.000000000000004,-2.0,-7.6,-1.2000000000000002,-15.2,-1.2000000000000002,0.8,0.4,0.4,-3.2,-1.2000000000000002,-6.0,-2.8,-19.200000000000003,0.8,-2.0,-6.0,-10.400000000000002,0.0,-7.200000000000001,-9.600000000000001,-3.6000000000000005,-0.8,-5.6,-7.200000000000001,-1.6,0.0,-5.200000000000001,-4.0,-9.2,-16.400000000000002,22.4,-44.00000000000001,0.8,-11.600000000000001,-37.2,-2.0,0.0,-7.200000000000001,0.0,-2.4000000000000004,-4.0,-1.2000000000000002,-16.0,-2.4000000000000004,0.0,-3.6000000000000005,-20.800000000000004,-8.4,0.0,-9.2,-2.4000000000000004,-10.0,-1.6,-0.8,-8.0,0.8,-23.200000000000003,0.0,0.0,0.8,-12.8,0.8,0.4,-3.6000000000000005,-5.6,1.2000000000000002,-18.000000000000004,-1.2000000000000002,-11.2,-1.2000000000000002,-2.8,-2.4000000000000004,0.4,-0.4,-2.0,-5.200000000000001,1.2000000000000002,-15.600000000000001,-18.4,-1.6,-8.8,-6.4,-0.8,-0.4,0.0,-3.2,0.8,-18.4,-10.0,-4.800000000000001,-0.8,0.0,-19.200000000000003,-0.8,-1.6,0.0,-0.8,-4.0,0.4,-2.8,0.4,-2.4000000000000004,-3.2,-2.0,-12.0,-0.8,0.4,-8.0,-0.8,-6.800000000000001,-10.8,-10.0,-2.0,0.4,-32.800000000000004,-0.8,-5.6,0.0,-2.4000000000000004,-2.4000000000000004,-3.6000000000000005,-10.400000000000002,-1.2000000000000002,-3.6000000000000005,-5.200000000000001,-2.0,0.4,-3.2,-3.2,1.6,-2.0,-5.6,-1.6
9,-10.8,-69.2,-15.2,-33.6,-47.199999999999996,-31.6,-22.8,-55.2,-27.6,-29.2,-18.4,-67.60000000000001,-34.800000000000004,-61.6,-32.4,-57.60000000000001,-16.8,-42.0,-26.8,-54.0,-59.6,-52.8,-66.0,-25.2,-67.60000000000001,-70.8,-70.8,-19.200000000000003,-32.800000000000004,-20.400000000000002,-28.400000000000002,-16.400000000000002,-45.6,-54.0,-60.400000000000006,-33.2,-70.8,-50.4,-58.800000000000004,-66.0,-52.400000000000006,-31.6,-40.800000000000004,-70.8,-33.2,-15.600000000000001,-28.0,-68.8,-30.8,-10.400000000000002,-70.8,-19.200000000000003,6.4,-48.800000000000004,-63.6,-58.0,-51.6,-25.2,-14.400000000000002,-20.0,-38.400000000000006,-70.8,-42.800000000000004,-10.400000000000002,-24.0,-44.8,-18.000000000000004,-56.0,-32.800000000000004,-14.0,-18.4,-10.400000000000002,-37.2,-46.0,-61.6,-18.4,-66.4,-19.200000000000003,-30.4,-26.000000000000004,-64.4,-25.2,-66.4,-61.2,-17.6,-16.8,-52.00000000000001,-32.0,-15.600000000000001,-11.600000000000001,-31.200000000000003,-50.800000000000004,-58.4,-50.800000000000004,-3.6000000000000005,-70.8,-11.600000000000001,-70.8,-70.8,-27.200000000000003,-8.4,-57.60000000000001,-7.6,-24.800000000000004,-32.800000000000004,-18.8,-65.2,-31.6,-37.2,-48.800000000000004,-68.0,-46.0,-25.6,-42.4,-25.6,-46.0,-44.00000000000001,-43.2,-61.6,-17.2,-70.8,-18.4,-18.8,-16.400000000000002,-61.2,-9.2,-13.2,-48.800000000000004,-44.00000000000001,-16.0,-70.4,-23.599999999999998,-70.8,-14.8,-15.600000000000001,-18.000000000000004,-12.8,-22.000000000000004,-22.000000000000004,-26.4,-11.600000000000001,-48.400000000000006,-70.8,-15.2,-61.2,-30.000000000000004,-20.400000000000002,-14.0,-13.2,-34.800000000000004,-14.0,-70.8,-70.8,-61.2,-14.400000000000002,-11.600000000000001,-65.2,-27.6,-19.599999999999998,-24.800000000000004,-26.000000000000004,-39.6,-14.0,-50.0,-19.599999999999998,-51.6,-49.2,-45.6,-70.8,-22.8,-14.0,-30.000000000000004,-31.6,-59.2,-70.8,-54.400000000000006,-64.0,-22.8,-70.8,-33.6,-39.199999999999996,-35.6,-21.6,-26.4,-30.000000000000004,-41.60000000000001,-42.4,-25.2,-56.400000000000006,-33.6,-20.0,-33.6,-37.6,-13.2,-23.200000000000003,-52.8,-36.00000000000001
