,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40
0,1.6,-0.8,0.8,0.8,0.0,0.0,0.0,0.8,0.8,-0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,-0.8,0.8,0.0,0.8,-1.6,0.8,-0.8,0.8,-0.8,0.8,0.0,0.8,-0.8,0.8,0.0,-0.8,-0.8,-0.8,0.0,-0.8,-0.8,0.8,0.0
1,0.8,0.8,2.4000000000000004,0.8,0.8,-0.8,0.8,0.8,1.6,-0.8,1.6,0.8,0.8,0.0,0.8,0.0,0.8,-0.8,-0.8,-0.8,0.8,0.0,0.0,-0.8,0.8,0.0,0.0,0.0,1.6,-0.8,0.0,0.8,-0.8,0.8,0.0,0.8,0.0,1.6,0.8,0.8,-0.8
2,1.6,0.8,0.0,0.8,0.0,0.0,0.0,0.8,-0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.8,1.6,0.8,0.8,0.0,0.8,1.6,0.0,0.8,0.0,0.8,-0.8,0.0,1.6,0.0,0.0,0.0,0.0,0.8,0.8,0.0,-0.8,0.8
3,0.8,0.0,-0.8,0.0,0.0,-0.8,0.0,0.8,-0.8,0.0,0.0,0.0,0.0,0.0,0.8,-0.8,0.8,0.8,0.8,-0.8,0.8,1.6,-0.8,0.0,0.0,2.4000000000000004,0.8,1.6,0.8,-1.6,0.8,0.0,0.0,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8
4,-0.8,-0.8,1.6,-0.8,0.8,0.8,-0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.0,1.6,0.0,-0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.0,0.0,0.8,0.8,0.8,-0.8,-1.6,0.0,-0.8,-0.8,0.0,0.0
5,0.8,0.8,1.6,0.8,0.0,2.4000000000000004,0.8,2.4000000000000004,0.8,2.4000000000000004,-0.8,0.0,0.0,-1.6,1.6,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.0,-0.8,0.8,-0.8,0.0,0.0,0.0,0.0,0.0,1.6,-0.8,0.0,0.0,-1.6,0.0,0.8,-2.4000000000000004,1.6,0.8
6,-0.8,0.0,-0.8,0.0,1.6,0.0,0.8,0.8,0.0,0.0,-0.8,0.0,-0.8,0.0,0.0,-0.8,0.0,-1.6,0.8,-2.4000000000000004,0.0,0.8,0.8,0.0,-0.8,0.0,0.8,0.0,-0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,-0.8,0.8,0.0,0.0,0.8
7,0.8,0.0,0.0,0.0,1.6,0.0,0.0,0.8,0.0,0.8,-0.8,-0.8,-0.8,0.0,0.8,0.8,1.6,0.0,-0.8,0.0,0.0,0.0,0.0,-0.8,0.8,1.6,1.6,0.8,0.0,0.8,0.8,-0.8,0.0,0.8,-0.8,0.0,0.0,0.0,0.8,1.6,0.0
8,-0.8,0.0,-1.6,-4.800000000000001,-0.8,-2.4000000000000004,-9.600000000000001,0.0,-4.0,-7.200000000000001,-8.8,-8.8,-10.400000000000002,-2.4000000000000004,-0.8,-0.8,-16.8,1.6,-8.8,-7.200000000000001,-1.6,-1.6,-13.600000000000001,-14.400000000000002,-0.8,0.8,-1.6,-1.6,-1.6,-2.4000000000000004,-4.0,-4.0,-3.2,0.0,-8.0,-3.2,-2.4000000000000004,-4.800000000000001,-2.4000000000000004,-1.6,-2.4000000000000004
9,-5.6,-20.800000000000004,-28.0,-44.00000000000001,-7.200000000000001,-15.2,-33.6,-12.0,-58.4,-62.400000000000006,-35.2,-33.6,-52.8,-13.600000000000001,-20.800000000000004,-24.800000000000004,-79.2,-5.6,-71.2,-67.2,-16.0,-14.400000000000002,-83.20000000000002,-55.2,-5.6,-21.6,-8.0,-11.2,-10.400000000000002,-21.6,-12.8,-36.00000000000001,-31.200000000000003,-11.2,-40.800000000000004,-12.8,-14.400000000000002,-27.200000000000003,-9.600000000000001,-13.600000000000001,-29.6
10,-13.600000000000001,-68.8,-64.8,-68.8,-17.6,-22.4,-36.00000000000001,-21.6,-117.60000000000001,-104.00000000000001,-40.800000000000004,-40.0,-69.60000000000001,-20.0,-64.0,-81.60000000000001,-96.80000000000001,-13.600000000000001,-121.6,-112.80000000000001,-32.800000000000004,-20.0,-124.0,-61.6,-17.6,-56.800000000000004,-17.6,-14.400000000000002,-24.800000000000004,-36.00000000000001,-13.600000000000001,-64.8,-64.0,-24.0,-50.4,-15.2,-31.200000000000003,-40.800000000000004,-17.6,-16.8,-67.2
11,-11.2,-65.60000000000001,-58.4,-42.4,-15.2,-14.400000000000002,-21.6,-18.4,-88.00000000000001,-67.2,-20.0,-21.6,-40.0,-15.2,-64.0,-81.60000000000001,-52.8,-12.0,-84.0,-75.2,-27.200000000000003,-9.600000000000001,-76.0,-37.6,-12.8,-52.00000000000001,-14.400000000000002,-6.4,-16.8,-23.200000000000003,-7.200000000000001,-46.400000000000006,-53.6,-17.6,-29.6,-7.200000000000001,-27.200000000000003,-28.800000000000004,-10.400000000000002,-8.0,-54.400000000000006
12,-4.0,-31.200000000000003,-32.800000000000004,-18.4,-5.6,-5.6,-9.600000000000001,-10.400000000000002,-36.00000000000001,-22.4,-8.0,-8.8,-16.0,-7.200000000000001,-34.4,-39.199999999999996,-19.200000000000003,-3.2,-34.4,-28.0,-12.8,-2.4000000000000004,-29.6,-15.2,-8.0,-29.6,-6.4,-2.4000000000000004,-8.0,-9.600000000000001,-1.6,-18.4,-28.0,-8.8,-12.0,0.0,-12.8,-12.8,-6.4,-1.6,-24.800000000000004
13,0.8,-12.0,-12.0,-11.2,-2.4000000000000004,-1.6,-3.2,-5.6,-15.2,-6.4,-4.0,-4.0,-10.400000000000002,-4.800000000000001,-15.2,-12.0,-9.600000000000001,-1.6,-12.0,-9.600000000000001,-4.800000000000001,0.0,-12.0,-7.200000000000001,-4.0,-12.0,-3.2,-1.6,-4.0,-4.800000000000001,-2.4000000000000004,-8.0,-9.600000000000001,-2.4000000000000004,-8.0,-0.8,-5.6,-4.0,-3.2,0.0,-10.400000000000002
14,-0.8,-9.600000000000001,-8.0,-6.4,-0.8,-2.4000000000000004,-3.2,0.0,-12.8,-4.800000000000001,-1.6,-2.4000000000000004,-7.200000000000001,-2.4000000000000004,-8.8,-8.0,-4.800000000000001,-1.6,-6.4,-6.4,-3.2,-0.8,-7.200000000000001,-3.2,-2.4000000000000004,-5.6,-3.2,-0.8,-2.4000000000000004,-3.2,-1.6,-5.6,-5.6,-1.6,-4.0,-1.6,-3.2,-2.4000000000000004,-1.6,-3.2,-7.200000000000001
15,-0.8,-2.4000000000000004,-1.6,-1.6,0.0,0.8,-0.8,-0.8,-3.2,0.0,0.0,-1.6,-0.8,-2.4000000000000004,-2.4000000000000004,-4.800000000000001,1.6,0.0,-2.4000000000000004,0.0,0.0,0.8,-0.8,0.8,-1.6,-3.2,-0.8,0.8,0.0,-0.8,0.8,-1.6,-1.6,0.8,-0.8,-0.8,-0.8,0.0,-0.8,0.0,-2.4000000000000004
16,0.0,0.8,-0.8,-0.8,0.0,-0.8,-1.6,-0.8,-0.8,-2.4000000000000004,-1.6,-1.6,-0.8,0.0,-0.8,0.0,-1.6,1.6,-1.6,0.8,0.0,0.0,-2.4000000000000004,-1.6,-0.8,1.6,0.0,-0.8,-0.8,0.8,0.8,0.0,0.0,0.0,-2.4000000000000004,0.0,-0.8,-2.4000000000000004,-0.8,0.0,0.0
17,-0.8,-1.6,-4.0,-5.6,-1.6,-2.4000000000000004,-3.2,-1.6,-7.200000000000001,-8.0,-3.2,-2.4000000000000004,-4.0,-1.6,-3.2,-3.2,-7.200000000000001,-0.8,-8.0,-7.200000000000001,-3.2,0.8,-9.600000000000001,-4.0,0.8,-1.6,-0.8,-0.8,-1.6,-1.6,-0.8,-4.800000000000001,-4.0,1.6,-4.800000000000001,-0.8,-1.6,-4.800000000000001,-0.8,0.0,-2.4000000000000004
18,-0.8,-6.4,-5.6,-3.2,-3.2,-1.6,-2.4000000000000004,0.8,-8.8,-7.200000000000001,-2.4000000000000004,-1.6,-4.0,-1.6,-4.800000000000001,-9.600000000000001,-4.0,0.0,-8.8,-8.0,-4.0,-0.8,-8.0,-2.4000000000000004,-0.8,-4.800000000000001,-0.8,-1.6,-0.8,-1.6,0.8,-4.800000000000001,-4.800000000000001,0.0,-1.6,-0.8,-2.4000000000000004,-3.2,-1.6,-0.8,-4.800000000000001
19,0.8,-1.6,-1.6,-2.4000000000000004,0.0,0.0,-2.4000000000000004,-0.8,-2.4000000000000004,-2.4000000000000004,0.0,-0.8,-1.6,-0.8,-3.2,-5.6,-1.6,0.8,-3.2,-4.0,-1.6,0.8,-4.0,-2.4000000000000004,0.8,-1.6,-0.8,0.0,0.8,0.0,-0.8,-0.8,-1.6,0.0,0.0,-1.6,-2.4000000000000004,-1.6,0.0,-1.6,-0.8
20,0.8,-2.4000000000000004,-0.8,-3.2,-0.8,0.0,-0.8,0.0,-4.800000000000001,-1.6,-0.8,0.0,-3.2,-0.8,-2.4000000000000004,-4.0,-0.8,0.8,-4.0,-4.0,-0.8,1.6,-3.2,-2.4000000000000004,0.0,-0.8,0.8,0.0,0.0,0.8,0.0,-1.6,-0.8,0.8,0.0,1.6,-2.4000000000000004,-1.6,-0.8,0.0,-2.4000000000000004
21,1.6,-3.2,-0.8,-0.8,-0.8,-0.8,0.8,0.0,-4.0,-1.6,0.0,-0.8,-2.4000000000000004,0.0,-4.0,-4.0,-0.8,-0.8,-1.6,-1.6,-0.8,1.6,-0.8,0.8,-0.8,0.0,0.0,0.8,-0.8,0.8,0.0,-0.8,-1.6,0.0,0.0,0.8,-2.4000000000000004,-0.8,0.0,0.8,-0.8
22,-0.8,0.0,0.8,0.8,-0.8,0.8,0.0,0.0,0.8,-0.8,0.0,-0.8,0.0,0.8,-1.6,-1.6,0.0,-0.8,0.0,0.8,0.8,0.0,-1.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,-0.8,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.8
23,0.8,0.0,-0.8,0.0,-0.8,0.0,0.0,-0.8,0.0,-1.6,0.0,0.0,0.8,0.8,0.0,-0.8,0.0,0.0,-0.8,0.0,0.8,0.8,-0.8,-1.6,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.8,-0.8,0.0,0.0,0.8,0.0
24,0.0,-0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,-0.8,0.0,0.8,0.0,-0.8,-0.8,-1.6,0.0,0.0,-1.6,0.8,0.0,-0.8,0.8,0.0,1.6,0.0,0.8,0.0,0.8,0.0,-1.6,0.0,0.8,1.6,0.8,0.0,-1.6,0.0,0.0,0.0
