,0
event_0,-33.16114443867844
event_1,-225.16114443867846
event_2,-218.76114443867843
event_3,-216.89447777201178
event_4,-57.42781110534511
event_5,-71.29447777201179
event_6,-130.76114443867843
event_7,-71.8278111053451
event_8,-363.5611444386785
event_9,-301.6944777720118
event_10,-131.56114443867847
event_11,-134.22781110534513
event_12,-227.56114443867844
event_13,-80.09447777201177
event_14,-228.09447777201177
event_15,-283.5611444386784
event_16,-297.1611444386785
event_17,-41.961144438678446
event_18,-372.6278111053451
event_19,-337.42781110534503
event_20,-107.56114443867844
event_21,-41.96114443867844
event_22,-382.22781110534515
event_23,-216.09447777201177
event_24,-52.62781110534511
event_25,-185.4278111053451
event_26,-56.361144438678444
event_27,-40.094477772011786
event_28,-69.96114443867847
event_29,-108.36114443867845
event_30,-46.22781110534512
event_31,-198.76114443867846
event_32,-216.09447777201177
event_33,-64.09447777201179
event_34,-169.4278111053451
event_35,-49.69447777201178
event_36,-115.82781110534512
event_37,-137.42781110534514
event_38,-61.161144438678456
event_39,-45.16114443867845
event_40,-209.6944777720118
