,peak_X0,peak_Y0
event_0,104.0,-61.6
event_1,104.0,-32.0
event_2,105.0,-93.60000000000001
event_3,105.0,-107.2
event_4,104.0,-56.800000000000004
event_5,105.0,-89.6
event_6,104.0,-72.00000000000001
event_7,105.0,-80.80000000000001
event_8,104.0,-32.800000000000004
event_9,105.0,-115.20000000000002
event_10,104.0,-38.400000000000006
event_11,103.0,-23.200000000000003
event_12,104.0,-24.0
event_13,104.0,-40.800000000000004
event_14,104.0,-70.4
event_15,105.0,-82.4
event_16,104.0,-89.6
event_17,104.0,-80.80000000000001
event_18,104.0,-55.2
event_19,103.0,-12.8
event_20,102.0,-13.600000000000001
event_21,104.0,-127.2
event_22,104.0,-76.80000000000001
event_23,105.0,-82.4
event_24,104.0,-20.0
event_25,104.0,-111.2
event_26,103.0,-14.400000000000002
event_27,104.0,-40.0
event_28,104.0,-137.6
event_29,104.0,-82.4
event_30,104.0,-73.6
event_31,104.0,-94.39999999999999
event_32,104.0,-54.400000000000006
event_33,104.0,-35.2
event_34,104.0,-24.0
event_35,104.0,-45.6
event_36,104.0,-42.4
event_37,104.0,-57.60000000000001
event_38,103.0,-13.600000000000001
event_39,104.0,-71.2
event_40,104.0,-115.20000000000002
event_41,104.0,-77.60000000000001
event_42,104.0,-51.2
event_43,105.0,-112.0
event_44,104.0,-30.4
event_45,104.0,-56.0
event_46,104.0,-41.60000000000001
event_47,103.0,-15.2
event_48,104.0,-44.8
event_49,104.0,-75.2
event_50,104.0,-32.800000000000004
event_51,103.0,-28.800000000000004
event_52,105.0,-76.80000000000001
event_53,104.0,-35.2
event_54,103.0,-36.8
event_55,104.0,-60.8
event_56,103.0,-16.8
event_57,104.0,-38.400000000000006
event_58,105.0,-86.4
event_59,104.0,-63.2
event_60,102.0,-12.8
event_61,104.0,-32.0
event_62,103.0,-20.0
event_63,104.0,-102.4
event_64,104.0,-48.0
event_65,102.0,-13.600000000000001
event_66,104.0,-64.8
event_67,104.0,-83.20000000000002
event_68,104.0,-78.39999999999999
event_69,104.0,-45.6
event_70,103.0,-13.600000000000001
event_71,105.0,-75.2
event_72,105.0,-80.80000000000001
event_73,105.0,-99.20000000000002
event_74,104.0,-43.2
event_75,105.0,-75.2
event_76,104.0,-56.800000000000004
event_77,104.0,-88.8
event_78,103.0,-15.2
event_79,104.0,-95.2
event_80,104.0,-128.0
event_81,104.0,-40.800000000000004
event_82,105.0,-77.60000000000001
event_83,103.0,-15.2
event_84,104.0,-102.4
event_85,104.0,-27.200000000000003
event_86,104.0,-88.00000000000001
event_87,104.0,-95.2
event_88,104.0,-39.199999999999996
event_89,104.0,-41.60000000000001
event_90,103.0,-18.4
event_91,104.0,-74.4
event_92,104.0,-47.199999999999996
event_93,104.0,-34.4
event_94,104.0,-32.800000000000004
event_95,104.0,-57.60000000000001
event_96,104.0,-28.800000000000004
event_97,105.0,-91.2
event_98,103.0,-23.200000000000003
event_99,104.0,-36.8
event_100,104.0,-66.4
event_101,101.0,-13.600000000000001
event_102,103.0,-16.8
event_103,104.0,-65.60000000000001
event_104,104.0,-48.0
event_105,103.0,-15.2
event_106,104.0,-64.0
event_107,104.0,-40.800000000000004
event_108,103.0,-15.2
event_109,104.0,-88.8
event_110,104.0,-80.0
event_111,103.0,-20.800000000000004
event_112,104.0,-71.2
event_113,104.0,-63.2
event_114,103.0,-21.6
event_115,104.0,-69.60000000000001
event_116,105.0,-59.2
event_117,104.0,-28.800000000000004
event_118,104.0,-59.2
event_119,104.0,-28.0
event_120,104.0,-93.60000000000001
event_121,104.0,-81.60000000000001
event_122,105.0,-62.400000000000006
event_123,104.0,-46.400000000000006
event_124,104.0,-55.2
event_125,104.0,-64.0
event_126,104.0,-29.6
event_127,104.0,-94.39999999999999
event_128,104.0,-50.4
event_129,104.0,-58.4
event_130,104.0,-106.4
event_131,103.0,-14.400000000000002
event_132,103.0,-14.400000000000002
event_133,104.0,-20.0
event_134,105.0,-82.4
event_135,104.0,-66.4
event_136,104.0,-28.0
event_137,104.0,-80.80000000000001
event_138,103.0,-21.6
event_139,105.0,-98.4
event_140,103.0,-21.6
event_141,103.0,-16.8
event_142,103.0,-16.8
event_143,103.0,-20.0
event_144,104.0,-55.2
event_145,104.0,-18.4
event_146,105.0,-82.4
event_147,103.0,-20.0
event_148,104.0,-78.39999999999999
event_149,104.0,-32.800000000000004
event_150,104.0,-50.4
event_151,103.0,-13.600000000000001
event_152,104.0,-42.4
event_153,104.0,-59.2
event_154,104.0,-70.4
event_155,104.0,-111.2
event_156,104.0,-72.00000000000001
event_157,103.0,-16.0
event_158,104.0,-20.800000000000004
event_159,104.0,-66.4
event_160,104.0,-41.60000000000001
event_161,105.0,-111.2
event_162,104.0,-37.6
event_163,104.0,-100.8
event_164,103.0,-18.4
event_165,104.0,-24.800000000000004
event_166,105.0,-47.199999999999996
event_167,105.0,-79.2
event_168,105.0,-64.8
event_169,104.0,-89.6
event_170,104.0,-40.800000000000004
event_171,104.0,-23.200000000000003
event_172,105.0,-64.8
event_173,103.0,-16.0
event_174,104.0,-88.8
event_175,104.0,-53.6
event_176,104.0,-116.0
event_177,104.0,-48.0
event_178,104.0,-76.80000000000001
event_179,102.0,-14.400000000000002
event_180,104.0,-67.2
event_181,104.0,-36.00000000000001
event_182,105.0,-56.800000000000004
event_183,103.0,-17.6
event_184,105.0,-64.8
event_185,103.0,-14.400000000000002
event_186,104.0,-86.4
event_187,102.0,-14.400000000000002
event_188,104.0,-56.800000000000004
event_189,104.0,-66.4
event_190,104.0,-27.200000000000003
event_191,103.0,-24.0
event_192,103.0,-16.8
event_193,104.0,-89.6
event_194,104.0,-36.8
event_195,103.0,-16.8
event_196,105.0,-108.0
event_197,105.0,-83.20000000000002
event_198,104.0,-38.400000000000006
event_199,103.0,-18.4
event_200,105.0,-60.00000000000001
event_201,104.0,-81.60000000000001
event_202,105.0,-112.80000000000001
event_203,104.0,-45.6
event_204,103.0,-17.6
event_205,104.0,-39.199999999999996
event_206,103.0,-22.4
event_207,104.0,-64.8
event_208,105.0,-93.60000000000001
event_209,105.0,-68.8
event_210,104.0,-49.60000000000001
event_211,103.0,-16.0
event_212,103.0,-14.400000000000002
event_213,104.0,-87.2
event_214,104.0,-23.200000000000003
event_215,104.0,-48.800000000000004
event_216,104.0,-31.200000000000003
event_217,104.0,-67.2
event_218,104.0,-71.2
event_219,104.0,-41.60000000000001
event_220,103.0,-19.200000000000003
event_221,103.0,-16.0
event_222,105.0,-67.2
event_223,103.0,-20.0
event_224,104.0,-47.199999999999996
event_225,105.0,-60.8
event_226,104.0,-18.4
event_227,105.0,-128.0
event_228,102.0,-14.400000000000002
event_229,104.0,-88.00000000000001
event_230,104.0,-37.6
event_231,104.0,-91.2
event_232,104.0,-114.4
event_233,103.0,-12.8
event_234,104.0,-74.4
event_235,103.0,-24.800000000000004
event_236,104.0,-43.2
event_237,104.0,-81.60000000000001
event_238,104.0,-29.6
event_239,104.0,-43.2
event_240,104.0,-56.800000000000004
event_241,104.0,-95.2
event_242,104.0,-103.2
event_243,104.0,-104.80000000000001
event_244,103.0,-20.800000000000004
event_245,105.0,-118.4
event_246,104.0,-25.6
event_247,105.0,-122.4
event_248,104.0,-89.6
event_249,104.0,-56.0
event_250,105.0,-62.400000000000006
event_251,104.0,-21.6
event_252,104.0,-60.8
event_253,103.0,-15.2
event_254,103.0,-13.600000000000001
event_255,104.0,-56.800000000000004
event_256,105.0,-138.4
event_257,104.0,-65.60000000000001
event_258,105.0,-62.400000000000006
event_259,105.0,-68.0
event_260,104.0,-24.0
event_261,104.0,-26.4
event_262,105.0,-126.4
event_263,103.0,-19.200000000000003
event_264,105.0,-93.60000000000001
event_265,104.0,-98.4
event_266,104.0,-80.0
event_267,105.0,-67.2
event_268,103.0,-16.8
event_269,105.0,-51.2
event_270,104.0,-32.800000000000004
event_271,104.0,-101.60000000000001
event_272,104.0,-52.8
event_273,104.0,-23.200000000000003
event_274,105.0,-99.20000000000002
event_275,105.0,-69.60000000000001
event_276,103.0,-13.600000000000001
event_277,104.0,-121.6
event_278,104.0,-45.6
event_279,105.0,-92.80000000000001
