,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
0,4.8,3.6,2.4,0.0,2.4,3.6,-2.4,0.0,3.6,0.0
1,-1.2,1.2,2.4,1.2,2.4,2.4,0.0,2.4,1.2,2.4
2,3.6,2.4,0.0,1.2,2.4,2.4,1.2,1.2,1.2,1.2
3,3.6,2.4,0.0,2.4,1.2,1.2,3.6,2.4,0.0,2.4
4,0.0,0.0,2.4,1.2,2.4,1.2,2.4,0.0,1.2,-1.2
5,1.2,3.6,2.4,-1.2,1.2,1.2,2.4,2.4,1.2,0.0
6,3.6,2.4,-2.4,1.2,-1.2,3.6,3.6,2.4,0.0,1.2
7,3.6,2.4,0.0,1.2,2.4,1.2,3.6,2.4,-1.2,1.2
8,1.2,-2.4,1.2,1.2,0.0,-8.4,-5.999999999999999,-4.8,-5.999999999999999,-2.4
9,-5.999999999999999,-21.6,-15.6,-16.8,-15.6,-28.8,-69.6,-46.8,-15.6,-49.2
10,-22.8,-37.2,-24.0,-49.2,-40.8,-36.0,-115.2,-80.4,-16.8,-81.6
11,-22.8,-22.8,-18.0,-36.0,-31.2,-13.199999999999998,-73.19999999999999,-51.6,-5.999999999999999,-50.39999999999999
12,-10.8,-4.8,-8.4,-10.8,-14.4,-4.8,-28.8,-18.0,1.2,-20.4
13,-4.8,-1.2,-2.4,-3.6,-5.999999999999999,-2.4,-11.999999999999998,-3.6,1.2,-7.2
14,0.0,-1.2,-1.2,0.0,-1.2,2.4,-5.999999999999999,-2.4,2.4,-2.4
15,1.2,0.0,1.2,-1.2,1.2,1.2,0.0,3.6,2.4,2.4
16,1.2,0.0,-2.4,-1.2,0.0,1.2,-2.4,1.2,0.0,0.0
17,-3.6,-1.2,1.2,-3.6,1.2,-2.4,-7.2,-3.6,-3.6,-3.6
18,-1.2,0.0,2.4,-2.4,-1.2,2.4,-3.6,-2.4,-1.2,-2.4
19,2.4,-2.4,0.0,0.0,-1.2,1.2,-1.2,-1.2,1.2,0.0
20,0.0,-1.2,0.0,-1.2,0.0,0.0,-2.4,0.0,1.2,-3.6
21,1.2,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,3.6,1.2
22,0.0,3.6,2.4,0.0,2.4,2.4,3.6,2.4,0.0,1.2
23,0.0,0.0,2.4,0.0,2.4,3.6,2.4,1.2,1.2,1.2
24,3.6,-1.2,0.0,1.2,1.2,3.6,0.0,-2.4,1.2,-1.2
