,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
0,0.0,2.4,2.4,2.4,1.2,2.4,0.0,0.0,3.6,3.6,1.2,1.2,1.2,0.0,1.2,1.2,1.2,0.0,3.6,2.4,2.4,3.6,2.4,1.2,5.999999999999999,3.6,-1.2,0.0,1.2,-1.2,0.0,3.6,2.4,1.2,2.4,-1.2,1.2,3.6,-1.2,2.4,2.4,2.4,1.2,3.6,1.2,1.2,0.0,3.6,-1.2,2.4,1.2,2.4,0.0,0.0,2.4,1.2,1.2,2.4,1.2,2.4,-1.2,2.4,1.2,2.4,1.2,2.4,2.4,1.2,-1.2,2.4,0.0,3.6,2.4,1.2,2.4,1.2,2.4,3.6,-1.2,2.4,2.4,0.0,1.2,0.0,2.4,1.2,4.8,0.0,1.2,0.0,0.0,1.2,2.4,0.0,1.2,2.4,0.0,1.2,0.0,1.2
1,0.0,0.0,1.2,0.0,1.2,3.6,-1.2,2.4,-1.2,-1.2,3.6,1.2,1.2,1.2,2.4,1.2,1.2,3.6,0.0,2.4,1.2,2.4,1.2,-1.2,2.4,0.0,1.2,1.2,2.4,1.2,1.2,1.2,1.2,2.4,2.4,2.4,0.0,0.0,3.6,2.4,3.6,2.4,3.6,3.6,0.0,-1.2,1.2,0.0,1.2,2.4,0.0,1.2,2.4,0.0,3.6,0.0,0.0,3.6,0.0,3.6,2.4,2.4,0.0,1.2,2.4,0.0,3.6,0.0,0.0,1.2,3.6,2.4,1.2,0.0,3.6,1.2,4.8,1.2,1.2,2.4,3.6,-1.2,1.2,1.2,0.0,1.2,2.4,0.0,2.4,2.4,2.4,2.4,1.2,1.2,3.6,2.4,3.6,1.2,2.4,0.0
2,1.2,3.6,1.2,2.4,1.2,0.0,0.0,-1.2,1.2,2.4,0.0,1.2,2.4,2.4,0.0,2.4,-2.4,3.6,-1.2,-1.2,0.0,2.4,1.2,3.6,1.2,0.0,2.4,2.4,4.8,2.4,2.4,2.4,1.2,1.2,2.4,1.2,2.4,2.4,2.4,4.8,2.4,-1.2,3.6,2.4,3.6,-1.2,0.0,-1.2,0.0,0.0,3.6,1.2,1.2,3.6,4.8,3.6,1.2,-1.2,0.0,2.4,1.2,1.2,1.2,2.4,2.4,1.2,3.6,-1.2,3.6,1.2,3.6,2.4,2.4,1.2,1.2,1.2,1.2,0.0,2.4,0.0,2.4,3.6,1.2,1.2,3.6,1.2,3.6,2.4,2.4,0.0,-1.2,4.8,1.2,3.6,3.6,3.6,-1.2,3.6,2.4,2.4
3,4.8,2.4,1.2,0.0,0.0,1.2,0.0,2.4,1.2,1.2,3.6,-2.4,0.0,2.4,2.4,2.4,1.2,1.2,2.4,1.2,1.2,0.0,3.6,2.4,0.0,0.0,1.2,0.0,1.2,-1.2,3.6,3.6,0.0,1.2,0.0,2.4,1.2,2.4,2.4,-1.2,1.2,0.0,-1.2,1.2,0.0,5.999999999999999,2.4,-1.2,1.2,2.4,0.0,1.2,0.0,0.0,2.4,1.2,2.4,1.2,2.4,0.0,2.4,0.0,3.6,0.0,2.4,1.2,2.4,1.2,0.0,3.6,3.6,3.6,1.2,3.6,1.2,1.2,3.6,3.6,2.4,2.4,1.2,0.0,2.4,-1.2,2.4,1.2,2.4,3.6,1.2,2.4,0.0,2.4,1.2,0.0,2.4,-1.2,1.2,1.2,3.6,2.4
4,1.2,2.4,0.0,2.4,3.6,-2.4,-1.2,2.4,1.2,-1.2,1.2,2.4,1.2,-1.2,1.2,1.2,1.2,1.2,-1.2,1.2,1.2,1.2,0.0,2.4,1.2,3.6,0.0,0.0,0.0,1.2,0.0,0.0,3.6,3.6,1.2,3.6,0.0,1.2,0.0,2.4,1.2,2.4,0.0,3.6,0.0,-1.2,0.0,2.4,-1.2,2.4,1.2,1.2,1.2,1.2,1.2,2.4,0.0,1.2,2.4,0.0,1.2,3.6,1.2,0.0,-3.6,0.0,1.2,1.2,2.4,1.2,1.2,0.0,1.2,4.8,-1.2,2.4,-1.2,4.8,4.8,3.6,1.2,1.2,1.2,0.0,0.0,2.4,1.2,3.6,1.2,1.2,1.2,1.2,0.0,3.6,0.0,1.2,1.2,0.0,3.6,3.6
5,1.2,2.4,1.2,2.4,4.8,-1.2,0.0,1.2,2.4,2.4,1.2,3.6,1.2,1.2,2.4,0.0,2.4,0.0,2.4,0.0,2.4,2.4,0.0,1.2,3.6,0.0,2.4,0.0,3.6,1.2,0.0,2.4,0.0,0.0,4.8,2.4,1.2,2.4,1.2,2.4,-1.2,2.4,3.6,1.2,1.2,2.4,1.2,1.2,1.2,2.4,1.2,2.4,1.2,3.6,4.8,3.6,3.6,0.0,2.4,1.2,1.2,0.0,1.2,1.2,0.0,1.2,0.0,2.4,0.0,2.4,2.4,-1.2,3.6,1.2,3.6,2.4,1.2,0.0,0.0,3.6,2.4,1.2,0.0,2.4,0.0,1.2,1.2,0.0,1.2,3.6,0.0,2.4,3.6,2.4,0.0,2.4,1.2,-1.2,-1.2,2.4
6,1.2,3.6,2.4,0.0,-3.6,1.2,0.0,3.6,-1.2,1.2,1.2,1.2,0.0,1.2,-1.2,1.2,3.6,0.0,3.6,1.2,1.2,1.2,0.0,0.0,2.4,3.6,1.2,1.2,0.0,2.4,1.2,1.2,1.2,2.4,2.4,1.2,1.2,1.2,0.0,4.8,1.2,1.2,2.4,1.2,0.0,3.6,1.2,0.0,2.4,1.2,2.4,0.0,-3.6,0.0,1.2,2.4,2.4,2.4,3.6,0.0,3.6,2.4,2.4,2.4,1.2,3.6,-1.2,3.6,0.0,1.2,0.0,1.2,-1.2,0.0,-1.2,1.2,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,0.0,2.4,2.4,2.4,1.2,1.2,3.6,-1.2,-2.4,1.2,1.2,1.2,2.4,1.2
7,1.2,3.6,1.2,0.0,1.2,1.2,2.4,1.2,-1.2,1.2,3.6,3.6,0.0,-1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,-1.2,-1.2,2.4,1.2,1.2,2.4,0.0,3.6,3.6,2.4,3.6,1.2,2.4,-1.2,0.0,2.4,4.8,2.4,-1.2,1.2,1.2,0.0,3.6,3.6,3.6,0.0,1.2,2.4,3.6,2.4,0.0,1.2,1.2,1.2,2.4,0.0,2.4,1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,2.4,3.6,3.6,1.2,3.6,2.4,1.2,-1.2,1.2,1.2,2.4,0.0,2.4,2.4,3.6,2.4,0.0,3.6,1.2,1.2,1.2,0.0,3.6,1.2,1.2,1.2,0.0,0.0,-1.2,0.0,0.0,2.4,2.4,4.8
8,2.4,-11.999999999999998,1.2,0.0,0.0,-1.2,2.4,1.2,-1.2,-1.2,-9.6,-1.2,-3.6,2.4,-7.2,-1.2,1.2,2.4,-1.2,-1.2,0.0,-3.6,-1.2,-1.2,-10.8,-1.2,-2.4,-3.6,1.2,-8.4,-9.6,3.6,0.0,0.0,-1.2,1.2,-13.199999999999998,-1.2,-3.6,-2.4,0.0,1.2,-9.6,-3.6,-1.2,-4.8,0.0,-16.8,0.0,-3.6,2.4,-1.2,-3.6,-4.8,-2.4,3.6,2.4,2.4,-7.2,1.2,-4.8,0.0,-10.8,2.4,-5.999999999999999,-1.2,-2.4,-1.2,0.0,0.0,1.2,-1.2,-4.8,-1.2,-2.4,1.2,-3.6,3.6,-3.6,-4.8,-4.8,-2.4,-2.4,0.0,-13.199999999999998,1.2,-3.6,-3.6,-1.2,-2.4,-3.6,-3.6,1.2,-7.2,-1.2,-3.6,-5.999999999999999,-2.4,-15.6,-2.4
9,-4.8,-50.39999999999999,-13.199999999999998,-38.4,-26.399999999999995,-9.6,-9.6,-5.999999999999999,-25.2,-31.2,-53.99999999999999,-7.2,-14.4,-8.4,-32.4,-19.2,-3.6,-7.2,-11.999999999999998,-26.399999999999995,-7.2,-24.0,-3.6,-38.4,-43.2,-16.8,-13.199999999999998,-44.39999999999999,-7.2,-34.8,-40.8,-14.4,-14.4,-9.6,-8.4,-9.6,-67.2,-14.4,-52.79999999999999,-18.0,-3.6,-13.199999999999998,-68.39999999999999,-30.0,-40.8,-28.8,-39.6,-97.2,-3.6,-16.8,-2.4,-22.8,-47.99999999999999,-32.4,-31.2,-10.8,-4.8,-5.999999999999999,-44.39999999999999,-11.999999999999998,-44.39999999999999,-22.8,-67.2,-16.8,-44.39999999999999,-14.4,-7.2,-22.8,-14.4,-28.8,-4.8,-14.4,-47.99999999999999,-9.6,-10.8,-25.2,-33.6,-4.8,-9.6,-72.0,-19.2,-7.2,-53.99999999999999,-5.999999999999999,-49.2,-16.8,-15.6,-41.99999999999999,-5.999999999999999,-16.8,-32.4,-56.39999999999999,-4.8,-31.2,-7.2,-15.6,-38.4,-53.99999999999999,-63.59999999999999,-50.39999999999999
