,0
event_0,-185.15271455656193
event_1,-34.75271455656199
event_2,-87.55271455656197
event_3,-308.352714556562
event_4,-262.352714556562
event_5,-221.55271455656197
event_6,-170.35271455656195
event_7,-88.75271455656198
event_8,-205.15271455656193
event_9,-207.95271455656197
event_10,-208.35271455656192
event_11,-92.75271455656198
event_12,-179.95271455656197
event_13,-35.15271455656199
event_14,-157.15271455656196
event_15,-199.15271455656196
event_16,-23.15271455656199
event_17,-281.5527145565619
event_18,-257.95271455656194
event_19,-275.95271455656194
event_20,-62.35271455656198
event_21,-235.552714556562
event_22,-76.35271455656198
event_23,-175.15271455656196
event_24,-233.55271455656197
event_25,-35.15271455656199
event_26,-318.352714556562
event_27,-103.55271455656198
event_28,-217.95271455656197
event_29,-51.552714556561995
event_30,-107.95271455656197
event_31,-227.9527145565619
event_32,-157.15271455656193
event_33,-119.55271455656198
event_34,-107.55271455656197
event_35,-417.95271455656206
event_36,-197.95271455656197
event_37,-105.95271455656199
event_38,-47.55271455656198
event_39,-440.7527145565619
event_40,-114.75271455656197
event_41,-103.55271455656198
event_42,-270.752714556562
event_43,-259.952714556562
event_44,-31.152714556561982
event_45,-54.352714556562
event_46,-42.352714556562
event_47,-362.7527145565619
event_48,-92.75271455656197
event_49,-254.75271455656195
event_50,-79.552714556562
event_51,-122.75271455656198
event_52,-63.15271455656199
event_53,-43.152714556561996
event_54,-114.75271455656198
event_55,-157.55271455656197
event_56,-293.55271455656185
event_57,-28.752714556561987
event_58,-187.15271455656202
event_59,-224.75271455656198
event_60,-185.5527145565619
event_61,-54.35271455656199
event_62,-80.35271455656199
event_63,-169.952714556562
event_64,-69.95271455656199
event_65,-81.55271455656198
event_66,-98.75271455656197
event_67,-206.75271455656193
event_68,-240.75271455656195
event_69,-259.552714556562
event_70,-160.75271455656195
event_71,-260.75271455656195
event_72,-145.55271455656194
event_73,-233.95271455656194
event_74,-129.95271455656197
event_75,-187.95271455656197
event_76,-52.352714556561985
event_77,-189.15271455656193
event_78,-126.75271455656197
event_79,-59.55271455656199
event_80,-111.95271455656197
event_81,-149.5527145565619
event_82,-244.35271455656192
event_83,-123.55271455656198
event_84,-268.35271455656203
event_85,-495.152714556562
event_86,-191.95271455656194
event_87,-305.95271455656194
event_88,-106.35271455656199
event_89,-249.55271455656194
event_90,-101.152714556562
event_91,-244.75271455656193
event_92,-349.5527145565619
event_93,-87.952714556562
event_94,-183.55271455656197
event_95,-47.952714556561986
event_96,-36.75271455656198
event_97,-29.952714556561986
event_98,-320.75271455656195
event_99,-198.352714556562
event_100,-472.3527145565619
