,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,103.0,281.0,-41.99999999999999,-22.8
event_1,104.0,399.0,-108.0,-41.99999999999999
event_2,104.0,388.0,-120.0,-30.0
event_3,105.0,599.0,-124.8,-26.399999999999995
event_4,104.0,325.0,-60.0,-24.0
event_5,103.0,268.0,-22.8,-25.2
event_6,104.0,2216.0,-97.2,-58.8
event_7,104.0,715.0,-128.39999999999998,-74.39999999999999
event_8,104.0,1139.0,-111.6,-15.6
event_9,103.0,2173.0,-34.8,-30.0
event_10,104.0,306.0,-56.39999999999999,-52.79999999999999
event_11,104.0,586.0,-64.8,-18.0
event_12,104.0,432.0,-64.8,-9.6
event_13,104.0,1701.0,-103.2,-37.2
event_14,104.0,1266.0,-100.79999999999998,-9.6
event_15,104.0,390.0,-90.0,-26.399999999999995
event_16,103.0,2328.0,-31.2,-63.59999999999999
event_17,105.0,730.0,-76.8,-78.0
event_18,104.0,585.0,-82.8,-90.0
event_19,105.0,859.0,-90.0,-16.8
event_20,103.0,2182.0,-50.39999999999999,-37.2
event_21,104.0,779.0,-144.0,-122.4
event_22,104.0,278.0,-112.79999999999998,-11.999999999999998
event_23,104.0,371.0,-97.2,-34.8
event_24,104.0,698.0,-76.8,-24.0
event_25,105.0,544.0,-126.0,-16.8
event_26,104.0,1433.0,-75.59999999999998,-18.0
event_27,104.0,751.0,-100.79999999999998,-39.6
event_28,105.0,266.0,-115.2,-69.6
event_29,105.0,820.0,-68.39999999999999,-21.6
event_30,103.0,258.0,-62.4,-9.6
event_31,103.0,577.0,-39.6,-18.0
event_32,104.0,587.0,-36.0,-144.0
event_33,104.0,833.0,-70.79999999999998,-51.6
event_34,104.0,328.0,-64.8,-47.99999999999999
event_35,104.0,1068.0,-56.39999999999999,-16.8
event_36,103.0,533.0,-28.8,-31.2
event_37,104.0,482.0,-153.6,-41.99999999999999
event_38,104.0,1032.0,-104.4,-90.0
event_39,103.0,374.0,-65.99999999999999,-19.2
event_40,105.0,676.0,-139.2,-79.19999999999999
event_41,104.0,824.0,-52.79999999999999,-87.6
event_42,103.0,866.0,-40.8,-10.8
event_43,105.0,1516.0,-148.79999999999998,-82.8
event_44,103.0,286.0,-31.2,-63.59999999999999
event_45,104.0,481.0,-117.6,-11.999999999999998
event_46,104.0,2411.0,-47.99999999999999,-14.4
event_47,103.0,749.0,-32.4,-26.399999999999995
event_48,104.0,744.0,-120.0,-94.8
event_49,104.0,280.0,-123.6,-25.2
event_50,104.0,278.0,-74.39999999999999,-19.2
event_51,104.0,1823.0,-55.19999999999999,-9.6
event_52,104.0,414.0,-96.0,-28.8
event_53,104.0,508.0,-40.8,-16.8
event_54,104.0,599.0,-105.59999999999998,-32.4
event_55,103.0,542.0,-28.8,-13.199999999999998
event_56,104.0,736.0,-105.59999999999998,-33.6
event_57,105.0,452.0,-82.8,-25.2
event_58,105.0,264.0,-133.2,-28.8
event_59,104.0,1842.0,-50.39999999999999,-18.0
event_60,104.0,587.0,-30.0,-56.39999999999999
event_61,104.0,256.0,-108.0,-14.4
event_62,104.0,1446.0,-99.6,-27.599999999999994
event_63,104.0,1210.0,-82.8,-37.2
event_64,104.0,990.0,-146.39999999999998,-127.19999999999996
event_65,104.0,979.0,-36.0,-21.6
event_66,104.0,1594.0,-135.6,-106.8
event_67,104.0,1153.0,-61.2,-81.6
event_68,104.0,401.0,-130.8,-44.39999999999999
event_69,104.0,549.0,-94.8,-18.0
event_70,105.0,1492.0,-99.6,-46.8
event_71,104.0,447.0,-105.59999999999998,-39.6
event_72,104.0,577.0,-79.19999999999999,-14.4
event_73,103.0,560.0,-40.8,-51.6
event_74,104.0,549.0,-33.6,-44.39999999999999
event_75,103.0,1151.0,-24.0,-73.19999999999999
event_76,104.0,2019.0,-97.2,-39.6
event_77,104.0,1785.0,-45.6,-10.8
event_78,103.0,780.0,-65.99999999999999,-26.399999999999995
event_79,104.0,654.0,-93.6,-139.2
event_80,105.0,722.0,-147.6,-15.6
event_81,104.0,1762.0,-109.2,-62.4
event_82,103.0,652.0,-41.99999999999999,-10.8
event_83,105.0,839.0,-126.0,-52.79999999999999
event_84,104.0,283.0,-97.2,-114.0
event_85,104.0,739.0,-93.6,-41.99999999999999
event_86,104.0,828.0,-115.2,-18.0
event_87,104.0,488.0,-92.4,-36.0
event_88,103.0,1075.0,-28.8,-87.6
event_89,104.0,1727.0,-80.4,-25.2
event_90,104.0,2411.0,-127.19999999999996,-19.2
event_91,104.0,293.0,-57.6,-36.0
event_92,104.0,479.0,-61.2,-10.8
event_93,104.0,403.0,-146.39999999999998,-37.2
event_94,104.0,833.0,-109.2,-57.6
event_95,104.0,477.0,-65.99999999999999,-40.8
event_96,104.0,482.0,-96.0,-31.2
event_97,104.0,292.0,-144.0,-10.8
event_98,104.0,328.0,-81.6,-24.0
event_99,104.0,277.0,-87.6,-78.0
event_100,104.0,441.0,-137.99999999999997,-25.2
event_101,104.0,286.0,-87.6,-34.8
