,energy (MeV)
event_0,-45.00292606697025
event_1,-45.00744981517708
event_2,-45.004009217949346
event_3,-45.01388500628823
event_4,-45.00955240237182
event_5,-45.00592066085365
event_6,-45.04389465988573
event_7,-45.02605452611226
event_8,-44.999931473086846
event_9,-45.028284542833944
event_10,-44.99752402372248
event_11,-45.00969354354651
event_12,-45.006189231555304
event_13,-45.00994840260042
event_14,-45.028871687352975
event_15,-45.06741911925635
event_16,-45.00306720814494
event_17,-45.03517944893717
event_18,-45.0026212048006
event_19,-45.005998087264864
event_20,-44.99924432233634
event_21,-44.99637715797989
event_22,-45.016574738001985
event_23,-45.0239019358018
event_24,-45.00172919811193
event_25,-45.02931769069731
event_26,-45.00351321148927
event_27,-45.00013632902502
event_28,-45.00351321148927
event_29,-45.01084040928909
event_30,-45.034096297958065
event_31,-45.002493775273656
event_32,-44.998543459938105
event_33,-45.02676910015825
event_34,-45.01307042601077
event_35,-45.01345271459164
event_36,-44.99841603041114
event_37,-44.999053178045905
event_38,-44.994019711731255
event_39,-44.996440872743364
event_40,-45.028871687352975
event_41,-45.02893540211646
event_42,-45.00848296304045
event_43,-45.0026212048006
event_44,-45.03683603278756
event_45,-44.99529400700079
event_46,-45.02071619762797
event_47,-45.05907248524092
event_48,-45.0023663457467
event_49,-45.017594174217614
event_50,-45.03517944893717
event_51,-45.031356563128575
event_52,-45.0007097618963
event_53,-45.017211885636755
event_54,-45.00217520145627
event_55,-44.99975404044416
event_56,-45.01772160374457
event_57,-45.005998087264864
event_58,-45.003322067198845
event_59,-44.99873460422852
event_60,-45.03575288180845
event_61,-45.01275185219339
event_62,-45.00663523489964
event_63,-45.005870657737916
event_64,-44.999053178045905
event_65,-45.03218485505376
event_66,-44.99325513456954
event_67,-44.99975404044416
event_68,-45.01459958033422
event_69,-45.02001533522973
event_70,-45.00446893294142
event_71,-45.019123328541056
event_72,-45.00020004378849
event_73,-45.0034494967258
event_74,-45.00867410733088
event_75,-44.998352315647665
event_76,-44.99631344321642
event_77,-44.99631344321642
event_78,-45.02428422438266
event_79,-45.01472700986116
event_80,-45.0253036605983
event_81,-45.01638359371156
event_82,-45.0007097618963
event_83,-45.00128319476759
event_84,-45.03721832136842
event_85,-45.00580694297444
event_86,-45.012433278376
event_87,-44.99981775520764
event_88,-44.99841603041114
event_89,-45.03294943221549
event_90,-45.00408664436057
event_91,-45.03180256647291
event_92,-45.0143447212803
event_93,-45.017594174217614
event_94,-44.99949918139025
event_95,-45.050725851225465
event_96,-44.998224886120724
event_97,-45.035816596571934
event_98,-45.0017929128754
event_99,-45.0064440906092
event_100,-45.03161142218247
event_101,-44.999053178045905
event_102,-45.04722153923425
event_103,-45.03237599934419
event_104,-44.996950590851185
event_105,-44.99930803709982
event_106,-45.051362998860235
event_107,-45.04346236818913
event_108,-45.00313092290842
event_109,-45.00708123824397
event_110,-45.00478750675881
event_111,-45.04250664673699
event_112,-44.99816141814384
event_113,-45.020334155833694
event_114,-45.00618947834188
event_115,-45.03358682663684
event_116,-45.011222944656545
event_117,-45.006571766922754
event_118,-45.004915183072356
event_119,-45.004851468308885
event_120,-45.02855336032219
event_121,-45.03543455477767
event_122,-45.02562248120226
event_123,-45.004278035437586
event_124,-45.002876310641106
event_125,-45.0113503741835
event_126,-45.01593783715382
event_127,-45.004851468308885
event_128,-44.9990534248325
event_129,-44.998607421488174
event_130,-45.00083743820985
event_131,-45.00682662597666
event_132,-44.99841627719774
event_133,-45.01402639424952
event_134,-45.000582579155946
event_135,-45.039066296295836
event_136,-45.01740327671378
event_137,-45.00841949506357
event_138,-45.0050426125993
event_139,-45.0260684845466
event_140,-45.00408689114716
event_141,-45.01109551512959
event_142,-45.01638384049816
event_143,-45.00848320982705
event_144,-45.00440546496454
event_145,-45.004978897835834
event_146,-44.99612254571258
event_147,-44.99949942817685
event_148,-45.03065594751692
event_149,-45.00676291121319
event_150,-45.04416347737397
event_151,-45.00211173347939
event_152,-45.001347156317664
event_153,-45.002366592533285
event_154,-45.04206089017924
event_155,-45.020334155833694
event_156,-45.03059223275344
event_157,-45.006954055503606
event_158,-45.01963329343546
event_159,-45.047795218892134
event_160,-44.999563142940325
event_161,-45.00338602874892
event_162,-44.9990534248325
event_163,-45.02020672630675
event_164,-45.04588377598784
event_165,-45.0102672232044
event_166,-45.01498211570166
event_167,-45.00580718976103
event_168,-44.997396840982105
event_169,-45.001665730135045
event_170,-45.022819031609295
event_171,-45.01007607891396
event_172,-45.03365054140033
event_173,-45.012242380872166
event_174,-45.03307710852903
event_175,-45.007208914557516
event_176,-45.031101950861256
event_177,-45.007846062192286
event_178,-44.99465710615262
event_179,-45.020143011543276
event_180,-45.00854692459052
event_181,-45.030783377043875
event_182,-44.99637740476649
event_183,-45.009566360806154
event_184,-45.0367088500472
event_185,-45.004278035437586
event_186,-44.998033988616875
event_187,-45.03498855143333
event_188,-45.0162564109712
event_189,-44.997396840982105
event_190,-44.996249975239536
event_191,-45.04110516872709
event_192,-45.00255773682372
event_193,-44.99969057246727
event_194,-45.035816843358525
event_195,-45.00007286104813
event_196,-45.02409332687883
event_197,-45.00689034074013
event_198,-45.000582579155946
event_199,-45.0560781381441
event_200,-44.99465710615262
event_201,-45.00740005884794
event_202,-45.02186331015714
event_203,-45.04499176929917
event_204,-44.99790655908993
event_205,-45.015236974755574
event_206,-44.99841627719774
event_207,-45.003959461620205
event_208,-45.01657498478858
event_209,-45.05155438993725
event_210,-45.027151635525705
event_211,-45.03683627957416
event_212,-45.020048377504544
event_213,-44.99609162643732
event_214,-45.004501975216236
event_215,-45.03967252465535
event_216,-45.03234532685554
event_217,-45.02584642098091
event_218,-45.017690931255906
event_219,-45.00469311950666
event_220,-45.02323411567838
event_221,-45.02368011902271
event_222,-45.02374383378619
event_223,-45.00533026714143
event_224,-45.01922008557934
event_225,-44.996155341200804
event_226,-45.01558834406117
event_227,-45.02227839422622
event_228,-44.9942438982965
event_229,-45.035403635502405
event_230,-45.031644464457294
event_231,-45.03451162881374
event_232,-45.000487945117214
event_233,-45.028076437702595
event_234,-45.0027179618389
event_235,-45.018455508417624
event_236,-45.02775786388521
event_237,-44.996155341200804
event_238,-45.04126539374227
event_239,-45.00705056575531
event_240,-45.02527298810963
event_241,-44.99876764650334
event_242,-45.00775142815355
event_243,-45.02686585719654
event_244,-45.01558834406117
event_245,-45.00959915629437
event_246,-45.00768771339006
event_247,-45.05713036984795
event_248,-45.022087249935794
event_249,-45.007432854336166
event_250,-44.99813049886857
event_251,-45.06076211136611
event_252,-45.008834579132646
event_253,-45.00705056575531
event_254,-45.03368333688854
event_255,-45.03196303827467
event_256,-44.995518193566035
event_257,-44.99921364984769
event_258,-44.99730220694338
event_259,-45.048337732488164
event_260,-45.00533026714143
event_261,-45.03113474634947
event_262,-45.003227679946704
event_263,-45.01010887440218
event_264,-45.00061537464416
event_265,-44.99742963647033
event_266,-45.008834579132646
event_267,-45.01565205882465
event_268,-45.03731507840671
event_269,-44.99513590498517
event_270,-45.02036695132192
event_271,-45.026356139088726
event_272,-45.02011209226801
event_273,-44.99921364984769
event_274,-45.00335510947366
event_275,-45.01762721649242
event_276,-45.00169852562326
event_277,-45.003546253764085
event_278,-45.00628598859358
event_279,-45.02348897473228
event_280,-45.0289047296278
event_281,-45.0318993235112
event_282,-45.016161776932464
event_283,-45.03209046780162
event_284,-45.01374061592034
event_285,-45.02782157864869
event_286,-45.01125574014476
event_287,-45.02049438084888
event_288,-44.9988950760303
event_289,-45.02068552513931
event_290,-45.01074602203695
event_291,-45.00004194177287
event_292,-45.00838857578832
event_293,-45.01437776355512
event_294,-45.02947816249908
event_295,-45.01023630392913
event_296,-45.033301048307685
event_297,-45.069427319198944
event_298,-45.021131528483636
event_299,-45.039290236074486
event_300,-45.007496569099644
event_301,-45.03030645442428
event_302,-45.00666827717445
event_303,-45.02954187726256
event_304,-45.04623514529343
event_305,-45.004565689979714
event_306,-45.01979351845063
event_307,-44.99819421363205
event_308,-44.99641020025471
event_309,-44.99532704927561
event_310,-45.041647682323116
event_311,-45.02215096469928
event_312,-45.065795577680774
event_313,-45.00509276101931
event_314,-45.01401282790604
event_315,-45.00553876436365
event_316,-45.00840592872009
event_317,-45.00318131811501
event_318,-45.00592105294451
event_319,-45.018536576112886
event_320,-45.03325468647598
event_321,-45.00063272757594
event_322,-45.007705066321854
event_323,-45.01713485131639
event_324,-45.00095130139333
event_325,-44.99489839886304
event_326,-45.00904307635486
event_327,-44.994579825045655
event_328,-45.00445561338455
event_329,-45.02006573043632
event_330,-45.033700689820314
event_331,-45.03790586420977
event_332,-44.99974072088727
event_333,-45.01057223067831
event_334,-45.05166825312073
event_335,-44.998147851800354
event_336,-45.011782811184354
event_337,-45.004646757674976
event_338,-44.999549576596834
event_339,-44.9991035732525
event_340,-45.01191024071131
event_341,-45.02497176722402
event_342,-45.00330874764197
event_343,-44.999167288015975
event_344,-44.99872128467164
event_345,-45.06122546764223
event_346,-45.014777405067754
event_347,-45.01471369030429
event_348,-44.998147851800354
event_349,-45.00751392203142
event_350,-45.010699660205255
event_351,-45.0351024146168
event_352,-45.001461019501136
event_353,-45.0269469248918
event_354,-45.03650413941329
event_355,-44.99515325791694
