,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,104.0,1592.0,69.6,22.8
event_1,104.0,523.0,70.79999999999998,37.2
event_2,104.0,2136.0,96.0,24.0
event_3,104.0,729.0,147.6,49.2
event_4,104.0,591.0,141.59999999999997,40.8
event_5,104.0,503.0,133.2,36.0
event_6,105.0,1475.0,90.0,115.2
event_7,104.0,1106.0,88.79999999999998,80.4
event_8,104.0,1403.0,73.19999999999999,16.8
event_9,103.0,1302.0,28.8,81.6
event_10,105.0,677.0,127.19999999999996,10.8
event_11,104.0,714.0,64.8,34.8
event_12,104.0,1566.0,64.8,27.599999999999994
event_13,105.0,473.0,99.6,33.6
event_14,104.0,364.0,36.0,79.19999999999999
event_15,105.0,1475.0,115.2,145.2
event_16,105.0,448.0,78.0,20.4
event_17,104.0,879.0,61.2,81.6
event_18,104.0,471.0,98.4,20.4
event_19,104.0,694.0,114.0,33.6
event_20,105.0,915.0,156.0,15.6
event_21,104.0,325.0,41.99999999999999,9.6
event_22,104.0,1122.0,123.6,45.6
event_23,104.0,598.0,148.79999999999998,63.59999999999999
event_24,104.0,864.0,111.6,22.8
event_25,104.0,867.0,45.6,80.4
event_26,104.0,939.0,92.4,27.599999999999994
event_27,104.0,547.0,104.4,19.2
event_28,104.0,980.0,112.79999999999998,22.8
event_29,104.0,322.0,110.39999999999998,34.8
event_30,104.0,478.0,144.0,85.2
event_31,104.0,1544.0,74.39999999999999,21.6
event_32,104.0,343.0,94.8,16.8
event_33,104.0,736.0,76.8,67.2
event_34,104.0,1093.0,91.2,37.2
event_35,104.0,1346.0,68.39999999999999,44.39999999999999
event_36,104.0,662.0,105.59999999999998,13.199999999999998
event_37,104.0,414.0,72.0,16.8
event_38,105.0,269.0,98.4,9.6
event_39,103.0,578.0,34.8,9.6
event_40,105.0,1495.0,97.2,67.2
event_41,104.0,906.0,69.6,72.0
event_42,104.0,752.0,115.2,36.0
event_43,104.0,1042.0,40.8,18.0
event_44,104.0,1286.0,147.6,97.2
event_45,103.0,483.0,32.4,9.6
event_46,102.0,549.0,24.0,56.39999999999999
event_47,104.0,331.0,79.19999999999999,141.59999999999997
event_48,103.0,1332.0,37.2,18.0
event_49,104.0,283.0,109.2,46.8
event_50,104.0,478.0,108.0,93.6
event_51,104.0,303.0,27.599999999999994,75.59999999999998
event_52,103.0,1120.0,27.599999999999994,14.4
event_53,104.0,342.0,108.0,51.6
event_54,104.0,561.0,153.6,20.4
event_55,103.0,1713.0,32.4,16.8
event_56,104.0,1144.0,72.0,56.39999999999999
event_57,105.0,379.0,133.2,31.2
event_58,104.0,312.0,79.19999999999999,24.0
event_59,104.0,2051.0,91.2,20.4
event_60,104.0,1095.0,39.6,82.8
event_61,105.0,1183.0,109.2,46.8
event_62,104.0,2453.0,61.2,28.8
event_63,103.0,466.0,33.6,25.2
event_64,104.0,255.0,56.39999999999999,14.4
event_65,104.0,553.0,120.0,78.0
event_66,104.0,724.0,57.6,9.6
event_67,104.0,549.0,79.19999999999999,13.199999999999998
event_68,105.0,406.0,73.19999999999999,47.99999999999999
event_69,104.0,740.0,117.6,52.79999999999999
event_70,104.0,486.0,99.6,22.8
event_71,103.0,568.0,33.6,51.6
event_72,103.0,1055.0,28.8,15.6
event_73,104.0,1192.0,75.59999999999998,22.8
event_74,105.0,293.0,97.2,31.2
event_75,104.0,520.0,70.79999999999998,14.4
event_76,104.0,727.0,128.39999999999998,9.6
event_77,104.0,563.0,166.79999999999998,9.6
event_78,105.0,667.0,108.0,61.2
event_79,105.0,283.0,98.4,46.8
event_80,104.0,997.0,188.4,65.99999999999999
event_81,103.0,317.0,25.2,44.39999999999999
event_82,105.0,419.0,78.0,13.199999999999998
event_83,104.0,317.0,121.2,19.2
event_84,105.0,793.0,142.79999999999998,92.4
event_85,105.0,313.0,124.8,22.8
event_86,104.0,382.0,105.59999999999998,34.8
event_87,104.0,584.0,58.8,16.8
event_88,104.0,298.0,85.2,11.999999999999998
event_89,104.0,734.0,103.2,82.8
event_90,103.0,957.0,39.6,25.2
event_91,104.0,265.0,85.2,76.8
event_92,104.0,323.0,70.79999999999998,41.99999999999999
event_93,104.0,549.0,104.4,53.99999999999999
event_94,104.0,363.0,148.79999999999998,15.6
event_95,104.0,1246.0,80.4,120.0
event_96,104.0,1285.0,91.2,10.8
event_97,104.0,1467.0,58.8,85.2
event_98,102.0,673.0,26.399999999999995,21.6
event_99,103.0,547.0,21.6,28.8
event_100,104.0,627.0,61.2,87.6
event_101,104.0,695.0,94.8,16.8
event_102,104.0,836.0,128.39999999999998,110.39999999999998
event_103,104.0,434.0,126.0,87.6
event_104,104.0,1933.0,81.6,11.999999999999998
event_105,104.0,1230.0,53.99999999999999,20.4
event_106,103.0,2362.0,46.8,112.79999999999998
event_107,104.0,591.0,67.2,102.0
event_108,103.0,975.0,30.0,20.4
event_109,104.0,2321.0,103.2,30.0
event_110,105.0,420.0,171.59999999999997,21.6
event_111,104.0,996.0,65.99999999999999,99.6
event_112,104.0,1006.0,78.0,15.6
event_113,104.0,966.0,79.19999999999999,51.6
event_114,104.0,444.0,137.99999999999997,25.2
event_115,104.0,477.0,63.59999999999999,85.2
event_116,104.0,389.0,124.8,49.2
event_117,104.0,425.0,53.99999999999999,25.2
event_118,104.0,1174.0,106.8,26.399999999999995
event_119,103.0,925.0,37.2,22.8
event_120,104.0,1099.0,83.99999999999999,65.99999999999999
event_121,104.0,1633.0,26.399999999999995,80.4
event_122,104.0,264.0,123.6,61.2
event_123,105.0,292.0,124.8,25.2
event_124,103.0,457.0,41.99999999999999,20.4
event_125,104.0,1092.0,74.39999999999999,34.8
event_126,104.0,699.0,129.6,43.2
event_127,104.0,256.0,94.8,28.8
event_128,104.0,733.0,108.0,11.999999999999998
event_129,104.0,608.0,32.4,11.999999999999998
event_130,104.0,384.0,46.8,14.4
event_131,104.0,1243.0,62.4,31.2
event_132,104.0,854.0,106.8,15.6
event_133,104.0,913.0,32.4,44.39999999999999
event_134,104.0,1456.0,105.59999999999998,18.0
event_135,104.0,484.0,75.59999999999998,98.4
event_136,103.0,543.0,38.4,46.8
event_137,104.0,754.0,136.79999999999998,31.2
event_138,104.0,357.0,124.8,20.4
event_139,104.0,1397.0,110.39999999999998,67.2
event_140,104.0,553.0,150.0,24.0
event_141,105.0,771.0,174.0,36.0
event_142,104.0,282.0,109.2,44.39999999999999
event_143,104.0,973.0,145.2,41.99999999999999
event_144,104.0,408.0,136.79999999999998,25.2
event_145,105.0,588.0,142.79999999999998,26.399999999999995
event_146,103.0,860.0,26.399999999999995,9.6
event_147,104.0,344.0,100.79999999999998,16.8
event_148,104.0,1733.0,79.19999999999999,74.39999999999999
event_149,104.0,314.0,97.2,31.2
event_150,103.0,1464.0,62.4,110.39999999999998
event_151,103.0,723.0,36.0,20.4
event_152,104.0,1235.0,121.2,13.199999999999998
event_153,103.0,1218.0,63.59999999999999,24.0
event_154,104.0,523.0,38.4,105.59999999999998
event_155,103.0,741.0,28.8,61.2
event_156,104.0,1768.0,134.4,81.6
event_157,105.0,331.0,118.79999999999998,34.8
event_158,105.0,1147.0,144.0,62.4
event_159,105.0,272.0,130.8,104.4
event_160,104.0,388.0,69.6,10.8
event_161,104.0,349.0,129.6,22.8
event_162,104.0,519.0,53.99999999999999,11.999999999999998
event_163,103.0,1076.0,50.39999999999999,49.2
event_164,103.0,821.0,33.6,106.8
event_165,104.0,448.0,38.4,33.6
event_166,103.0,1534.0,39.6,55.19999999999999
event_167,104.0,919.0,102.0,28.8
event_168,103.0,696.0,51.6,13.199999999999998
event_169,103.0,961.0,31.2,22.8
event_170,104.0,1141.0,45.6,61.2
event_171,104.0,1215.0,38.4,30.0
event_172,104.0,1047.0,103.2,82.8
event_173,104.0,1953.0,146.39999999999998,40.8
event_174,104.0,1144.0,75.59999999999998,83.99999999999999
event_175,104.0,736.0,86.39999999999999,26.399999999999995
event_176,104.0,1229.0,200.4,83.99999999999999
event_177,103.0,792.0,46.8,38.4
event_178,104.0,295.0,60.0,10.8
event_179,104.0,509.0,157.2,55.19999999999999
event_180,104.0,532.0,49.2,32.4
event_181,104.0,345.0,100.79999999999998,85.2
event_182,104.0,653.0,41.99999999999999,15.6
event_183,104.0,760.0,80.4,36.0
event_184,104.0,398.0,72.0,93.6
event_185,104.0,549.0,103.2,28.8
event_186,104.0,1026.0,81.6,16.8
event_187,104.0,410.0,96.0,86.39999999999999
event_188,104.0,2134.0,62.4,52.79999999999999
event_189,104.0,1058.0,70.79999999999998,18.0
event_190,104.0,516.0,112.79999999999998,11.999999999999998
event_191,103.0,419.0,45.6,116.4
event_192,104.0,343.0,91.2,25.2
event_193,104.0,327.0,98.4,14.4
event_194,104.0,302.0,49.2,98.4
event_195,103.0,1171.0,24.0,11.999999999999998
event_196,103.0,341.0,37.2,57.6
event_197,104.0,389.0,100.79999999999998,31.2
event_198,103.0,381.0,26.399999999999995,18.0
event_199,105.0,317.0,145.2,126.0
event_200,104.0,923.0,90.0,9.6
event_201,105.0,338.0,116.4,30.0
event_202,104.0,431.0,60.0,57.6
event_203,103.0,424.0,60.0,118.79999999999998
event_204,103.0,276.0,51.6,11.999999999999998
event_205,104.0,567.0,82.8,40.8
event_206,103.0,352.0,32.4,10.8
event_207,104.0,1422.0,85.2,25.2
event_208,104.0,346.0,126.0,40.8
event_209,103.0,663.0,30.0,122.4
event_210,104.0,779.0,154.79999999999998,70.79999999999998
event_211,104.0,827.0,94.8,98.4
event_212,104.0,330.0,43.2,52.79999999999999
event_213,103.0,911.0,49.2,10.8
event_214,104.0,921.0,76.8,22.8
event_215,104.0,1074.0,81.6,97.2
event_216,104.0,554.0,109.2,80.4
event_217,104.0,2191.0,58.8,72.0
event_218,104.0,553.0,82.8,55.19999999999999
event_219,104.0,825.0,65.99999999999999,26.399999999999995
event_220,104.0,614.0,80.4,64.8
event_221,104.0,561.0,106.8,73.19999999999999
event_222,103.0,681.0,26.399999999999995,64.8
event_223,104.0,266.0,80.4,26.399999999999995
event_224,103.0,606.0,36.0,52.79999999999999
event_225,104.0,339.0,92.4,9.6
event_226,103.0,403.0,51.6,44.39999999999999
event_227,104.0,638.0,105.59999999999998,62.4
event_228,104.0,972.0,61.2,9.6
event_229,103.0,714.0,43.2,85.2
event_230,104.0,669.0,102.0,81.6
event_231,104.0,583.0,109.2,88.79999999999998
event_232,104.0,983.0,88.79999999999998,18.0
event_233,104.0,1173.0,37.2,79.19999999999999
event_234,105.0,306.0,123.6,19.2
event_235,104.0,431.0,111.6,57.6
event_236,104.0,1229.0,118.79999999999998,65.99999999999999
event_237,103.0,917.0,31.2,11.999999999999998
event_238,104.0,759.0,67.2,111.6
event_239,104.0,279.0,118.79999999999998,34.8
event_240,105.0,358.0,69.6,61.2
event_241,105.0,1123.0,148.79999999999998,14.4
event_242,104.0,861.0,129.6,30.0
event_243,104.0,352.0,87.6,82.8
event_244,104.0,512.0,161.99999999999997,47.99999999999999
event_245,104.0,967.0,57.6,31.2
event_246,104.0,1723.0,72.0,27.599999999999994
event_247,103.0,396.0,34.8,135.6
event_248,104.0,464.0,166.79999999999998,58.8
event_249,103.0,839.0,47.99999999999999,31.2
event_250,104.0,284.0,83.99999999999999,13.199999999999998
event_251,104.0,826.0,85.2,137.99999999999997
event_252,104.0,1225.0,87.6,34.8
event_253,104.0,549.0,93.6,37.2
event_254,104.0,635.0,94.8,80.4
event_255,104.0,520.0,85.2,93.6
event_256,104.0,940.0,56.39999999999999,11.999999999999998
event_257,104.0,416.0,70.79999999999998,25.2
event_258,103.0,728.0,33.6,15.6
event_259,104.0,701.0,170.4,120.0
event_260,104.0,561.0,115.2,26.399999999999995
event_261,104.0,515.0,93.6,75.59999999999998
event_262,104.0,267.0,91.2,20.4
event_263,104.0,743.0,152.39999999999998,43.2
event_264,104.0,322.0,61.2,16.8
event_265,104.0,1361.0,69.6,15.6
event_266,104.0,1889.0,72.0,32.4
event_267,103.0,326.0,51.6,47.99999999999999
event_268,104.0,1307.0,120.0,96.0
event_269,103.0,564.0,46.8,11.999999999999998
event_270,104.0,2001.0,131.99999999999997,52.79999999999999
event_271,104.0,1256.0,39.6,69.6
event_272,104.0,649.0,114.0,51.6
