,number_bins,A
0,5.0,5296.908384857511
1,7.0,3773.7844904819926
2,9.0,2856.0543725776856
3,11.0,2344.2111592267574
4,13.0,1970.4001049720625
5,15.0,1682.4925138521915
6,17.0,1485.4015652861335
7,19.0,1341.926478479561
8,21.0,1214.9640113750568
9,23.0,1109.6829908482293
10,25.0,1016.1831242647784
11,27.0,938.7943867737381
12,29.0,872.8679374870285
13,31.0,818.9838139196912
14,33.0,770.1209979740097
15,35.0,728.4277604246845
16,37.0,690.8407859594355
17,39.0,651.0658048735772
18,41.0,620.0348428693349
19,43.0,588.9881374283547
20,45.0,563.6119045714779
21,47.0,537.1410406741454
22,49.0,518.131554256158
23,51.0,497.576867695859
24,53.0,478.72805799089343
25,55.0,461.5136731340041
26,57.0,445.59445515082353
27,59.0,428.38849912968476
28,61.0,415.873339160021
29,63.0,403.7884816608934
30,65.0,390.4000556186755
31,67.0,379.5841744826757
32,69.0,368.33658627565336
33,71.0,357.7259959379865
34,73.0,348.00876813622926
35,75.0,338.6364610520867
36,77.0,328.6204107654462
37,79.0,321.3913417811537
38,81.0,313.3138950020652
39,83.0,305.5759919325169
40,85.0,298.1957590510607
41,87.0,291.8641331412559
42,89.0,284.6898232591443
43,91.0,279.2321290024112
44,93.0,272.9073840636077
45,95.0,265.96511221118624
46,97.0,261.2685566936887
47,99.0,256.06074537692047
48,101.0,250.56266333045122
49,103.0,246.50963260631192
50,105.0,241.3452417844084
51,107.0,237.15137827536785
52,109.0,232.854851513502
53,111.0,228.6332566822224
54,113.0,224.2873275466985
55,115.0,220.48639793849458
56,117.0,216.51936536124623
57,119.0,212.7273647670514
58,121.0,209.7858791829199
59,123.0,206.38569501125087
60,125.0,202.71672897338382
61,127.0,199.66010856363536
62,129.0,196.47523626249946
63,131.0,193.84631758479023
64,133.0,190.89617910762036
65,135.0,188.2062129549472
66,137.0,185.39271070631506
67,139.0,182.84772831237274
68,141.0,179.8220817548184
69,143.0,177.3644250753209
70,145.0,175.0339092974696
71,147.0,172.8044267708018
72,149.0,170.41795064523413
73,151.0,168.11852017721856
74,153.0,165.98713441697262
75,155.0,163.64947593390457
76,157.0,161.70479319542198
77,159.0,159.57398098044192
78,161.0,157.64501687720661
79,163.0,155.71607439790964
80,165.0,153.7942952427959
81,167.0,151.8198637965892
82,169.0,150.13338261231493
83,171.0,148.45760749376154
84,173.0,146.832306241403
85,175.0,145.11984416778785
