,0
event_0,-193.78308026598145
event_1,-116.04974693264813
event_2,-99.78308026598148
event_3,-70.04974693264813
event_4,-245.1164135993148
event_5,-228.5830802659815
event_6,-282.3164135993148
event_7,-290.18308026598146
event_8,-129.38308026598148
event_9,-161.5164135993148
event_10,-300.44974693264817
event_11,-327.1164135993148
event_12,-225.51641359931477
event_13,-413.11641359931474
event_14,-350.849746932648
event_15,-215.9164135993148
event_16,-216.0497469326481
event_17,-122.84974693264813
event_18,-198.98308026598147
event_19,-369.24974693264807
event_20,-215.11641359931482
event_21,-304.04974693264813
event_22,-341.7830802659815
event_23,-79.64974693264813
event_24,-258.04974693264813
event_25,-210.18308026598152
event_26,-128.98308026598147
event_27,-95.78308026598148
event_28,-137.38308026598142
event_29,-88.98308026598147
event_30,-236.58308026598147
event_31,-275.249746932648
event_32,-258.4497469326481
event_33,-152.71641359931482
event_34,-253.78308026598145
event_35,-321.38308026598145
event_36,-152.04974693264816
event_37,-263.9164135993148
event_38,-181.38308026598145
event_39,-161.6497469326481
event_40,-271.7830802659815
event_41,-82.31641359931481
event_42,-198.04974693264816
event_43,-264.9830802659814
event_44,-177.38308026598145
event_45,-375.7830802659814
event_46,-218.7164135993148
event_47,-280.04974693264813
event_48,-239.9164135993148
event_49,-185.3830802659815
event_50,-213.6497469326481
event_51,-278.31641359931484
event_52,-244.4497469326481
event_53,-203.24974693264812
event_54,-186.98308026598147
event_55,-231.2497469326481
event_56,-272.31641359931484
event_57,-102.18308026598147
event_58,-324.71641359931476
event_59,-278.0497469326481
event_60,-201.91641359931484
event_61,-109.91641359931481
event_62,-155.5164135993148
event_63,-162.84974693264815
event_64,-135.24974693264815
event_65,-232.04974693264808
event_66,-259.6497469326481
event_67,-147.1164135993148
event_68,-332.5830802659815
event_69,-422.84974693264803
event_70,-363.9164135993147
event_71,-269.7830802659815
event_72,-155.78308026598145
event_73,-199.1164135993148
event_74,-197.38308026598145
event_75,-185.64974693264813
event_76,-89.78308026598144
event_77,-360.31641359931484
event_78,-342.5830802659815
event_79,-280.44974693264805
event_80,-208.8497469326481
event_81,-213.51641359931483
event_82,-189.91641359931475
event_83,-87.78308026598147
event_84,-89.38308026598148
event_85,-226.31641359931476
event_86,-134.1830802659815
event_87,-84.71641359931478
event_88,-214.84974693264812
event_89,-278.8497469326481
event_90,-252.84974693264812
event_91,-340.8497469326481
event_92,-143.38308026598145
event_93,-191.78308026598148
event_94,-304.7164135993148
event_95,-262.7164135993148
event_96,-173.11641359931482
event_97,-260.84974693264815
event_98,-288.7164135993148
event_99,-283.2497469326481
event_100,-174.84974693264815
event_101,-243.38308026598145
event_102,-259.64974693264816
event_103,-87.78308026598147
event_104,-251.38308026598148
event_105,-320.98308026598147
event_106,-150.58308026598147
event_107,-265.9164135993148
event_108,-144.04974693264813
event_109,-204.1830802659815
event_110,-302.1830802659814
event_111,-179.38308026598153
event_112,-175.9164135993148
event_113,-116.44974693264813
event_114,-159.9164135993148
event_115,-318.4497469326481
event_116,-316.04974693264813
event_117,-250.18308026598152
event_118,-129.5164135993148
event_119,-256.9830802659814
event_120,-284.1830802659815
event_121,-181.78308026598148
event_122,-268.9830802659814
event_123,-163.78308026598148
event_124,-152.84974693264812
event_125,-184.44974693264814
event_126,-126.44974693264815
event_127,-321.5164135993148
event_128,-128.44974693264814
event_129,-274.5830802659815
event_130,-369.11641359931474
event_131,-76.98308026598146
event_132,-290.8497469326481
event_133,-278.1830802659814
event_134,-285.6497469326482
event_135,-96.7164135993148
event_136,-102.98308026598147
event_137,-287.5164135993148
event_138,-69.24974693264814
event_139,-104.84974693264816
event_140,-86.18308026598145
event_141,-113.38308026598148
event_142,-172.5830802659815
event_143,-140.1830802659815
event_144,-251.38308026598142
event_145,-332.7164135993147
event_146,-391.2497469326481
event_147,-141.24974693264815
event_148,-225.24974693264818
event_149,-249.91641359931484
event_150,-255.38308026598148
event_151,-273.1164135993148
event_152,-175.51641359931477
event_153,-323.1164135993148
event_154,-141.91641359931484
event_155,-172.9830802659815
event_156,-327.91641359931475
event_157,-228.98308026598144
event_158,-160.98308026598144
event_159,-128.04974693264813
event_160,-336.5830802659814
event_161,-223.78308026598145
event_162,-102.58308026598148
event_163,-251.78308026598143
event_164,-258.3164135993148
event_165,-229.24974693264815
event_166,-268.18308026598146
event_167,-221.38308026598148
event_168,-242.98308026598144
event_169,-92.58308026598148
event_170,-93.38308026598148
event_171,-223.91641359931484
event_172,-258.5830802659814
event_173,-266.04974693264813
event_174,-90.84974693264812
event_175,-225.9164135993148
event_176,-374.58308026598144
event_177,-245.78308026598145
event_178,-247.24974693264812
event_179,-216.5830802659815
event_180,-93.1164135993148
event_181,-146.58308026598152
event_182,-236.71641359931482
event_183,-296.1830802659814
event_184,-382.8497469326481
event_185,-217.24974693264815
event_186,-144.04974693264813
event_187,-189.5164135993148
event_188,-268.3164135993148
event_189,-86.98308026598146
event_190,-242.44974693264814
event_191,-275.9164135993148
event_192,-104.18308026598147
event_193,-306.98308026598147
event_194,-264.58308026598144
event_195,-216.18308026598146
event_196,-125.1164135993148
event_197,-223.78308026598148
event_198,-308.44974693264817
event_199,-192.31641359931479
event_200,-308.3164135993147
event_201,-153.64974693264816
event_202,-236.58308026598147
event_203,-124.44974693264814
event_204,-137.64974693264816
event_205,-304.9830802659814
event_206,-140.3164135993148
event_207,-129.78308026598145
event_208,-196.31641359931476
event_209,-62.31641359931481
event_210,-199.11641359931485
event_211,-222.58308026598147
event_212,-200.9830802659815
event_213,-81.51641359931482
event_214,-358.8497469326481
event_215,-248.18308026598146
event_216,-285.24974693264807
event_217,-192.3164135993148
event_218,-176.44974693264814
event_219,-143.38308026598148
event_220,-291.3830802659814
event_221,-224.31641359931479
event_222,-106.18308026598149
event_223,-265.5164135993148
event_224,-362.5830802659814
event_225,-171.5164135993148
event_226,-137.3830802659815
event_227,-255.51641359931477
event_228,-233.9164135993148
event_229,-273.2497469326481
event_230,-166.5830802659815
event_231,-192.98308026598147
event_232,-134.04974693264813
event_233,-200.7164135993148
event_234,-196.18308026598146
event_235,-75.9164135993148
event_236,-239.64974693264816
event_237,-210.3164135993148
event_238,-218.0497469326482
event_239,-213.64974693264818
event_240,-136.84974693264812
event_241,-281.38308026598145
event_242,-346.84974693264815
event_243,-299.91641359931475
event_244,-149.11641359931482
event_245,-219.91641359931478
event_246,-114.7164135993148
event_247,-282.31641359931484
event_248,-222.84974693264812
event_249,-216.58308026598144
event_250,-264.4497469326481
event_251,-79.24974693264814
event_252,-250.98308026598147
event_253,-255.51641359931477
event_254,-162.71641359931482
event_255,-127.78308026598147
event_256,-120.71641359931482
event_257,-129.78308026598145
event_258,-112.44974693264814
event_259,-106.31641359931479
event_260,-351.5164135993147
event_261,-284.44974693264817
event_262,-150.98308026598147
event_263,-269.6497469326481
event_264,-205.7830802659815
event_265,-268.7164135993147
event_266,-223.91641359931475
event_267,-100.44974693264815
event_268,-87.11641359931482
event_269,-253.5164135993148
event_270,-148.04974693264816
event_271,-242.3164135993148
event_272,-412.5830802659815
event_273,-87.1164135993148
event_274,-303.9164135993148
event_275,-159.64974693264813
event_276,-280.3164135993148
event_277,-238.3164135993148
event_278,-108.7164135993148
event_279,-178.04974693264813
event_280,-224.98308026598144
event_281,-124.3164135993148
event_282,-82.04974693264813
event_283,-388.0497469326481
event_284,-172.31641359931479
event_285,-84.58308026598147
event_286,-242.7164135993148
event_287,-252.98308026598147
event_288,-94.44974693264814
event_289,-154.5830802659815
event_290,-162.4497469326482
event_291,-211.38308026598148
event_292,-367.38308026598145
event_293,-205.78308026598148
event_294,-190.58308026598147
event_295,-269.7830802659815
event_296,-118.58308026598145
event_297,-68.18308026598147
event_298,-320.84974693264815
event_299,-217.9164135993148
event_300,-88.3164135993148
event_301,-345.51641359931483
event_302,-314.04974693264813
event_303,-140.9830802659815
event_304,-99.38308026598148
event_305,-127.9164135993148
event_306,-176.98308026598144
event_307,-84.04974693264812
event_308,-252.44974693264805
event_309,-430.3164135993148
event_310,-160.31641359931484
event_311,-326.71641359931476
event_312,-256.7164135993148
event_313,-255.6497469326481
event_314,-365.6497469326481
event_315,-288.04974693264813
event_316,-181.24974693264812
event_317,-233.78308026598148
event_318,-254.5830802659815
event_319,-341.7830802659814
event_320,-89.38308026598148
event_321,-147.6497469326481
event_322,-218.98308026598144
event_323,-163.5164135993148
event_324,-206.0497469326481
event_325,-271.2497469326481
event_326,-299.11641359931474
event_327,-134.44974693264814
event_328,-219.11641359931482
event_329,-222.98308026598147
event_330,-305.24974693264807
event_331,-78.3164135993148
event_332,-267.11641359931474
event_333,-207.38308026598145
event_334,-188.84974693264817
event_335,-108.1830802659815
event_336,-89.24974693264815
event_337,-288.71641359931476
event_338,-297.11641359931474
event_339,-180.84974693264817
event_340,-328.4497469326481
event_341,-175.64974693264816
event_342,-267.7830802659814
event_343,-114.84974693264815
event_344,-117.91641359931478
event_345,-71.38308026598146
event_346,-82.04974693264816
event_347,-382.3164135993148
event_348,-230.84974693264815
event_349,-299.38308026598145
event_350,-306.9830802659814
event_351,-333.38308026598145
event_352,-235.6497469326481
event_353,-289.51641359931483
event_354,-300.1830802659814
event_355,-159.9164135993148
event_356,-86.58308026598147
event_357,-168.44974693264817
event_358,-224.18308026598146
event_359,-173.78308026598145
event_360,-130.5830802659815
event_361,-261.2497469326481
event_362,-295.7830802659814
event_363,-218.7164135993148
event_364,-236.44974693264814
event_365,-271.5164135993148
event_366,-208.4497469326481
event_367,-148.3164135993148
event_368,-218.18308026598143
event_369,-282.7164135993147
event_370,-151.1164135993148
event_371,-181.11641359931477
event_372,-98.98308026598147
event_373,-119.11641359931481
event_374,-249.24974693264812
event_375,-223.1164135993148
event_376,-176.3164135993148
event_377,-177.51641359931477
event_378,-371.2497469326481
event_379,-209.24974693264812
event_380,-116.98308026598147
event_381,-181.5164135993148
event_382,-105.24974693264814
event_383,-410.31641359931484
event_384,-77.78308026598148
event_385,-175.38308026598148
event_386,-270.98308026598147
event_387,-216.84974693264815
event_388,-326.71641359931476
event_389,-286.9830802659814
event_390,-88.98308026598146
event_391,-268.44974693264817
event_392,-279.64974693264816
event_393,-172.04974693264813
event_394,-183.78308026598143
event_395,-119.11641359931478
event_396,-237.9164135993148
event_397,-240.31641359931479
event_398,-374.3164135993148
event_399,-84.04974693264816
event_400,-236.4497469326481
event_401,-315.11641359931474
event_402,-290.4497469326481
event_403,-244.98308026598144
event_404,-258.0497469326482
event_405,-188.44974693264817
event_406,-363.3830802659814
event_407,-265.38308026598145
event_408,-294.0497469326481
event_409,-133.51641359931477
event_410,-88.58308026598145
event_411,-84.98308026598147
event_412,-265.11641359931474
event_413,-117.38308026598148
event_414,-126.44974693264815
event_415,-90.04974693264815
event_416,-214.84974693264815
event_417,-78.3164135993148
event_418,-202.84974693264812
event_419,-269.51641359931483
event_420,-228.58308026598147
event_421,-246.71641359931476
event_422,-270.98308026598147
event_423,-331.2497469326481
event_424,-95.64974693264811
event_425,-265.9164135993148
