,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_20,event_21,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_48,event_49,event_51,event_52,event_53,event_54,event_55,event_56,event_58,event_59,event_61,event_62,event_63,event_65,event_66,event_67,event_68,event_69,event_70,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_80,event_81,event_82,event_83,event_84,event_85,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
0,0.8,1.6,0.0,0.8,0.0,0.8,0.0,1.6,0.0,0.8,0.0,0.0,1.6,0.0,0.0,0.8,0.8,-0.8,0.8,0.8,0.0,0.8,0.8,0.8,1.6,1.6,0.0,0.0,-1.6,1.6,-0.8,0.0,-0.8,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.0,0.0,0.0,1.6,0.0,-1.6,0.8,1.6,0.8,0.0,-0.8,0.8,-0.8,0.8,1.6,0.0,0.0,-0.8,0.8,0.8,0.8,0.0,0.0,0.0,1.6,0.8,2.4000000000000004,2.4000000000000004,1.6,-0.8,0.8,0.0,0.8,0.0,0.0,0.8,2.4000000000000004,1.6,-0.8,1.6,-0.8,-0.8,0.0,0.0,0.0,0.0,0.8
1,0.0,0.0,0.8,0.8,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,0.8,-0.8,0.8,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.8,-0.8,0.8,0.0,0.8,0.8,0.8,0.8,-0.8,1.6,0.8,0.8,2.4000000000000004,0.8,0.8,-1.6,0.8,0.8,0.0,1.6,0.8,1.6,0.8,1.6,0.8,0.0,0.8,-0.8,0.0,0.8,0.8,-0.8,-0.8,0.8,-1.6,-0.8,0.8,0.0,0.0,0.0,0.8,-1.6,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,1.6,0.8,1.6,0.8,0.0,0.0,0.0
2,-0.8,0.8,0.0,1.6,0.0,0.0,0.8,0.8,1.6,-0.8,0.8,-0.8,0.0,-0.8,-0.8,-0.8,0.8,0.0,-0.8,0.8,1.6,1.6,0.8,-0.8,0.8,-1.6,0.0,0.0,0.0,1.6,0.8,-0.8,0.0,0.0,0.8,1.6,0.0,0.8,2.4000000000000004,0.0,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.8,0.0,0.8,-0.8,0.8,1.6,1.6,0.0,0.8,0.8,-0.8,0.0,0.0,0.0,2.4000000000000004,0.0,1.6,0.8,0.8,1.6,0.0,-0.8,-0.8,2.4000000000000004,0.0,0.0,0.0,0.8,0.8,-0.8,1.6,0.0,0.0,0.0,0.0,0.8,0.8,-0.8,0.8,0.8
3,0.8,0.8,0.0,0.0,1.6,0.0,1.6,0.8,0.8,0.0,1.6,0.8,1.6,-0.8,1.6,0.8,0.8,1.6,0.8,0.8,-0.8,0.0,0.0,1.6,0.8,2.4000000000000004,0.0,0.0,0.0,1.6,0.8,1.6,0.0,0.0,2.4000000000000004,0.8,3.2,0.0,0.0,-0.8,0.8,0.8,0.0,-0.8,0.0,-0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,1.6,0.0,-0.8,-0.8,-0.8,1.6,0.0,1.6,-0.8,1.6,-0.8,0.8,0.0,0.0,1.6,-0.8,0.8,0.8,0.8,0.0
4,0.0,-0.8,0.0,0.8,-0.8,1.6,0.8,0.8,1.6,-1.6,0.8,0.0,1.6,1.6,0.0,-1.6,0.0,0.0,0.8,1.6,0.0,1.6,0.8,0.0,0.0,-1.6,0.8,0.0,0.8,-0.8,-0.8,0.8,0.0,0.0,-0.8,-0.8,-0.8,0.8,1.6,0.8,0.8,1.6,0.0,0.0,0.0,1.6,0.0,0.8,0.8,0.8,1.6,0.0,1.6,0.8,-0.8,0.0,0.0,0.8,1.6,0.8,0.0,0.0,-0.8,-1.6,0.0,0.0,0.0,1.6,0.0,1.6,0.8,0.0,-0.8,0.0,0.8,1.6,-0.8,0.8,0.0,-0.8,0.8,0.0,1.6,0.8,0.0,0.0,1.6
5,0.8,-0.8,0.8,-0.8,0.8,0.8,0.8,0.0,-0.8,1.6,0.8,0.0,0.0,0.8,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.6,0.0,0.0,0.8,0.0,0.8,1.6,0.8,0.8,0.0,1.6,0.8,2.4000000000000004,-0.8,0.0,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.0,-0.8,0.8,0.0,-0.8,-0.8,0.0,-0.8,2.4000000000000004,0.8,0.8,-0.8,0.8,0.0,0.0,0.8,0.0,0.0,-0.8,1.6,3.2,0.0,0.8,-0.8,-0.8,0.0,-1.6,1.6,-0.8,-0.8,0.8,2.4000000000000004,-0.8,0.0,0.0,0.0,-0.8,-0.8,-0.8,0.0,0.0
6,-0.8,0.8,1.6,1.6,0.8,0.0,0.0,0.0,0.0,0.8,0.0,-0.8,-0.8,0.0,0.0,0.8,0.0,0.0,1.6,0.0,-1.6,0.8,0.8,1.6,0.0,0.0,1.6,0.8,0.8,-0.8,-0.8,-0.8,2.4000000000000004,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,1.6,-0.8,0.8,0.8,0.0,1.6,1.6,0.8,0.0,0.8,-0.8,-1.6,0.8,-0.8,1.6,0.0,1.6,0.0,-0.8,0.0,1.6,-0.8,1.6,-0.8,0.0,0.0,0.8,-1.6,-0.8,1.6,0.0,-0.8,-0.8,0.8,0.8,0.8,0.0,0.8,1.6,0.8,0.8,0.0,-0.8,0.0
7,-0.8,0.8,-0.8,-2.4000000000000004,0.0,0.8,0.0,0.8,1.6,0.0,0.0,-1.6,0.0,1.6,-0.8,-0.8,0.0,-1.6,0.0,0.0,0.0,1.6,0.0,0.0,1.6,0.0,-0.8,0.0,-0.8,1.6,-0.8,0.0,-0.8,0.0,1.6,1.6,0.8,0.0,0.8,0.0,0.8,-0.8,0.8,-0.8,2.4000000000000004,0.8,0.8,0.8,-0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.8,-2.4000000000000004,-0.8,0.0,0.0,0.8,0.8,-0.8,0.8,0.0,-0.8,0.0,0.0,0.8,0.8,-0.8,1.6,0.8,-0.8,0.0,0.8,0.8,-0.8,0.0,0.0,0.8,0.0,2.4000000000000004,0.0
8,-1.6,0.0,-7.200000000000001,-22.4,0.8,-2.4000000000000004,-1.6,0.8,-4.0,-7.200000000000001,-3.2,-14.400000000000002,-17.6,-2.4000000000000004,-1.6,-3.2,-1.6,-16.8,-11.2,-1.6,-26.4,-16.0,-0.8,0.8,-8.8,-4.0,-6.4,-3.2,-8.0,-1.6,-0.8,-21.6,-15.2,-7.200000000000001,-8.0,0.0,-1.6,-2.4000000000000004,-4.0,-8.0,-7.200000000000001,-4.800000000000001,-3.2,-8.0,-2.4000000000000004,-12.0,-7.200000000000001,-10.400000000000002,-2.4000000000000004,-5.6,-3.2,-9.6,-8.0,-6.4,-9.6,-25.6,-0.8,-9.6,-4.800000000000001,-7.200000000000001,-8.0,-8.8,-2.4000000000000004,0.8,-3.2,-12.8,-0.8,-6.4,-6.4,-4.800000000000001,-16.8,-3.2,-10.400000000000002,-6.4,-2.4000000000000004,-12.0,-2.4000000000000004,-6.4,-8.8,0.0,-2.4000000000000004,-4.800000000000001,-1.6,-4.0,-4.0,-12.8,-0.8
9,-29.6,-21.6,-48.8,-87.2,-11.2,-28.0,-16.8,-27.200000000000003,-48.0,-40.8,-49.60000000000001,-81.60000000000001,-84.0,-28.800000000000004,-17.6,-41.60000000000001,-33.6,-78.39999999999999,-40.8,-44.00000000000001,-80.80000000000001,-141.6,-22.4,-9.6,-100.0,-49.60000000000001,-51.2,-24.0,-29.6,-25.6,-28.800000000000004,-113.6,-35.2,-46.400000000000006,-50.4,-20.800000000000004,-42.4,-34.4,-29.6,-48.0,-19.200000000000003,-18.4,-16.8,-37.6,-40.0,-62.400000000000006,-55.2,-58.4,-35.2,-36.00000000000001,-27.200000000000003,-40.8,-72.8,-20.800000000000004,-34.4,-105.6,-14.400000000000002,-88.00000000000001,-63.2,-45.6,-44.00000000000001,-64.8,-16.0,-12.8,-44.00000000000001,-73.6,-51.2,-41.60000000000001,-37.6,-29.6,-84.8,-36.8,-49.60000000000001,-70.4,-12.8,-83.20000000000002,-51.2,-46.400000000000006,-39.2,-16.8,-44.00000000000001,-40.0,-17.6,-32.800000000000004,-44.00000000000001,-92.0,-24.0
