,event_0,event_1,event_2,event_3,event_4,event_6,event_7,event_8,event_10,event_11,event_12,event_13,event_14,event_15,event_17,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_88,event_89,event_90,event_92,event_93,event_94,event_95,event_96,event_99
0,0.8,0.8,0.8,0.0,0.0,2.4000000000000004,1.6,0.0,0.8,0.0,0.8,0.8,0.0,-0.8,0.0,0.0,-0.8,0.8,1.6,1.6,1.6,0.0,0.8,-0.8,0.0,0.8,0.0,1.6,0.0,-1.6,0.0,0.8,0.0,0.8,1.6,0.0,1.6,0.8,0.0,0.0,0.8,0.8,0.0,0.8,1.6,-0.8,-0.8,0.8,-0.8,-1.6,-0.8,0.8,0.0,0.8,-1.6,0.0,0.8,1.6,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,1.6,0.0,0.0,0.8,0.8,1.6,0.0,-0.8,-1.6,0.8,0.8,0.8,0.8,0.8,0.0,1.6,-0.8,1.6,0.8,0.8
1,0.8,0.0,-1.6,0.0,0.8,0.8,-0.8,1.6,1.6,0.0,2.4000000000000004,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,0.8,0.8,-1.6,0.8,0.8,0.8,-0.8,-0.8,0.8,2.4000000000000004,-0.8,0.8,0.0,-0.8,-1.6,0.0,0.8,-0.8,0.0,0.8,-0.8,0.8,0.0,-0.8,1.6,0.0,0.8,0.8,2.4000000000000004,0.0,1.6,-0.8,0.0,0.0,0.8,-0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.8,0.0,-0.8,0.8,0.0,0.0,-0.8,0.8,0.0,1.6,0.8,0.8,0.0,0.8,-0.8,0.0,0.8,0.0,0.8,0.0,-0.8,0.0,-0.8,0.8,0.8,0.0,-0.8
2,0.0,0.8,-0.8,0.8,0.8,0.8,0.0,0.0,2.4000000000000004,-0.8,0.0,0.0,0.0,-0.8,0.0,-0.8,0.8,0.0,0.0,0.0,1.6,1.6,0.8,0.8,-0.8,0.8,-0.8,-0.8,0.8,0.8,0.0,-0.8,0.0,0.8,0.0,1.6,0.8,0.0,0.0,0.0,-1.6,0.8,0.0,0.0,0.8,0.8,-0.8,0.8,-0.8,-0.8,-0.8,1.6,0.0,0.0,0.0,-0.8,1.6,2.4000000000000004,0.8,-0.8,0.0,0.0,0.0,0.0,1.6,0.8,0.0,0.0,0.0,0.0,-0.8,0.0,0.8,2.4000000000000004,0.0,0.8,0.0,0.8,-0.8,0.0,0.0,0.0,0.8,0.0,1.6,1.6,-1.6,0.8,1.6
3,0.0,0.8,-1.6,0.0,0.0,1.6,0.0,0.8,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.8,2.4000000000000004,1.6,1.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.8,-3.2,-1.6,-0.8,0.0,0.0,0.8,-0.8,0.8,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,-0.8,0.8,1.6,-0.8,0.0,0.8,0.0,0.0,0.8,0.8,1.6,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,-0.8,0.8,0.8,-0.8,0.0,-0.8,0.0,1.6,-0.8,0.0,0.0,-1.6,0.0,-0.8,0.0,1.6,2.4000000000000004,-0.8,0.0,0.8,0.0,0.0,0.8,-0.8,0.8,0.0,0.8
4,0.0,0.0,0.8,0.8,0.8,1.6,0.0,0.8,1.6,0.8,1.6,0.0,0.8,0.0,0.8,-0.8,0.8,0.8,0.8,0.8,0.8,1.6,0.8,0.8,-0.8,-0.8,1.6,0.8,1.6,1.6,0.8,0.8,0.0,-0.8,1.6,-0.8,0.8,0.0,-0.8,0.0,1.6,0.0,0.8,-0.8,0.0,0.0,0.8,0.0,1.6,0.0,-0.8,0.8,-0.8,0.8,0.0,0.0,0.8,0.8,1.6,0.0,-0.8,1.6,-0.8,0.0,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,2.4000000000000004,0.8,0.0,0.8,0.8,1.6,0.0,0.8,-0.8,0.0,0.8,2.4000000000000004,0.8
5,0.8,0.8,0.8,0.0,-0.8,0.0,0.8,-0.8,0.8,0.8,1.6,1.6,-0.8,0.0,1.6,0.8,0.8,0.0,0.0,0.0,0.0,-0.8,0.8,0.8,0.8,0.0,0.0,0.8,-0.8,2.4000000000000004,0.8,0.0,-0.8,0.8,0.8,0.0,-0.8,1.6,0.0,0.0,0.0,-0.8,0.0,0.0,-1.6,0.0,0.0,1.6,0.0,-1.6,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,-0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,1.6,0.0,0.8,-0.8,0.8,-0.8,1.6,0.8,0.0,0.8,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.8,-0.8,-0.8
6,1.6,0.0,0.0,2.4000000000000004,0.0,0.8,-0.8,1.6,0.8,0.8,-0.8,1.6,-0.8,0.8,0.8,0.0,0.8,-0.8,0.0,1.6,-1.6,0.0,-1.6,-0.8,1.6,0.8,0.0,0.8,0.8,-4.0,0.0,0.8,0.0,0.8,-0.8,-0.8,1.6,0.8,0.0,-0.8,0.8,0.0,0.0,-0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.8,-0.8,-0.8,0.0,0.8,0.0,1.6,-0.8,-0.8,1.6,0.0,0.8,0.8,-0.8,-0.8,0.0,0.0,0.8,0.8,-0.8,0.0,0.8,-0.8,0.0,-0.8,0.0,1.6,0.8,-1.6,0.8,0.0,0.0,-0.8,0.0,0.0,1.6,0.0,0.0,0.0
7,0.8,-0.8,1.6,0.0,0.0,0.0,-0.8,-0.8,-0.8,0.0,-0.8,0.8,0.0,1.6,0.0,0.8,1.6,1.6,0.8,-0.8,0.8,0.0,0.8,0.0,0.0,0.8,1.6,0.0,0.8,0.8,-0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.8,-0.8,0.0,0.8,-0.8,1.6,0.8,0.0,-1.6,0.0,0.0,0.8,-0.8,0.8,0.8,1.6,0.8,0.8,0.8,0.8,-0.8,-0.8,0.0,1.6,0.8,0.0,1.6,0.8,0.0,0.0,-0.8,0.0,0.8,1.6,0.0,-0.8,-0.8,0.0,0.0,0.8,0.0,1.6,0.0,0.0,0.8,0.8,0.8
8,-0.8,-9.6,-1.6,-1.6,-8.0,-3.2,-1.6,0.8,0.8,-9.6,-16.8,0.0,-2.4000000000000004,-1.6,0.8,-2.4000000000000004,-4.800000000000001,-0.8,-1.6,-4.800000000000001,-8.0,-8.0,-25.6,-7.200000000000001,-8.0,-11.2,-8.0,-2.4000000000000004,-0.8,-1.6,-1.6,-17.6,-3.2,-1.6,-17.6,-1.6,-1.6,-8.0,-2.4000000000000004,-1.6,-0.8,-16.8,-5.6,-8.0,-6.4,-4.0,-4.0,-7.200000000000001,-0.8,-4.0,-12.8,-9.6,-4.800000000000001,-19.200000000000003,-5.6,-8.0,-2.4000000000000004,-13.6,0.0,-2.4000000000000004,-15.2,-2.4000000000000004,0.0,-2.4000000000000004,-4.800000000000001,-1.6,-8.8,-3.2,-8.8,-20.0,-6.4,-16.0,-14.400000000000002,-6.4,-9.6,-0.8,-24.0,-0.8,-4.0,-11.2,0.8,-2.4000000000000004,-2.4000000000000004,-6.4,-6.4,-4.0,-0.8,-2.4000000000000004,-15.2
9,-16.8,-66.4,-24.800000000000004,-28.800000000000004,-70.4,-36.8,-44.8,-24.0,-11.2,-69.60000000000001,-52.00000000000001,-31.200000000000003,-20.800000000000004,-16.8,-11.2,-40.8,-28.0,-17.6,-41.60000000000001,-48.8,-65.60000000000001,-24.0,-131.20000000000002,-49.60000000000001,-33.6,-84.8,-50.4,-20.800000000000004,-20.800000000000004,-49.60000000000001,-15.2,-62.400000000000006,-28.800000000000004,-10.400000000000002,-72.8,-12.8,-24.800000000000004,-65.60000000000001,-20.800000000000004,-23.200000000000003,-25.6,-80.0,-28.800000000000004,-54.400000000000006,-31.200000000000003,-33.6,-25.6,-73.6,-16.0,-38.400000000000006,-68.8,-84.0,-52.00000000000001,-100.8,-28.0,-33.6,-43.2,-83.20000000000002,-10.400000000000002,-10.400000000000002,-70.4,-68.0,-19.200000000000003,-40.0,-28.800000000000004,-15.2,-55.2,-59.2,-53.6,-61.6,-51.2,-104.0,-44.00000000000001,-17.6,-62.400000000000006,-38.400000000000006,-92.0,-22.4,-44.00000000000001,-76.80000000000001,-8.0,-20.800000000000004,-26.4,-47.2,-40.8,-29.6,-12.8,-29.6,-68.8
