,event_0,event_1,event_2,event_3,event_4,event_5,event_7,event_8,event_9,event_10,event_11,event_12,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_44,event_45,event_46,event_48,event_49,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_65,event_66,event_67,event_70,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_99
0,-0.8,-0.8,1.6,2.4000000000000004,0.0,0.8,-0.8,0.0,1.6,0.8,-0.8,0.0,0.8,0.8,0.8,0.0,0.8,1.6,-0.8,0.8,0.8,-0.8,0.8,0.8,0.8,1.6,-0.8,0.0,0.0,1.6,1.6,0.0,-0.8,0.0,1.6,-0.8,0.8,0.0,0.0,0.8,0.0,-0.8,0.0,0.0,0.0,0.8,0.8,0.0,2.4000000000000004,0.0,0.0,0.8,0.0,0.8,0.8,-0.8,1.6,0.8,0.0,-0.8,0.0,0.0,0.0,0.8,1.6,1.6,0.0,-0.8,0.0,0.8,0.0,0.0,0.0,0.0,1.6,0.0,2.4000000000000004,1.6,-0.8,0.0,0.8,0.8,1.6,2.4000000000000004,0.8,0.0,2.4000000000000004,-0.8,1.6,0.0
1,1.6,0.0,0.0,0.8,0.0,0.0,-0.8,0.8,0.0,0.8,-0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.8,-0.8,0.8,0.8,1.6,0.0,0.0,0.0,-0.8,-0.8,0.8,0.0,0.8,1.6,0.8,0.0,-0.8,0.0,0.0,0.8,0.0,1.6,0.0,1.6,1.6,0.0,0.0,1.6,1.6,1.6,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.0,-1.6,1.6,0.0,-0.8,-0.8,-0.8,0.8,0.0,0.8,0.8,0.8,-0.8,0.8,-0.8,0.8,-1.6,0.0,0.8,0.0,1.6,-0.8,0.0,0.8,2.4000000000000004,1.6,0.8,0.0,0.8,0.8,-1.6,0.0
2,0.8,0.0,0.8,0.0,-0.8,0.8,0.0,0.8,0.0,1.6,0.8,0.0,-0.8,2.4000000000000004,2.4000000000000004,0.8,1.6,0.0,0.0,2.4000000000000004,-0.8,0.0,0.8,1.6,1.6,0.8,-0.8,0.8,0.8,1.6,0.0,0.0,0.0,-0.8,0.0,0.8,0.8,0.8,0.0,-0.8,0.0,-0.8,1.6,-0.8,0.8,0.8,-0.8,0.0,1.6,0.8,-0.8,1.6,1.6,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.6,0.8,-0.8,-0.8,0.0,0.0,0.0,0.0,0.8,0.8,-0.8,1.6,0.8,0.0,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,1.6,0.8,0.8,1.6
3,0.0,0.8,0.0,0.8,-0.8,0.8,0.8,0.0,0.8,0.8,-0.8,2.4000000000000004,1.6,2.4000000000000004,0.0,-0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.0,1.6,0.8,0.0,0.8,0.8,1.6,0.8,-0.8,1.6,0.0,-0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,-0.8,0.0,0.0,2.4000000000000004,0.8,1.6,0.8,0.0,-2.4000000000000004,0.0,-0.8,0.0,0.8,0.8,0.0,0.0,0.8,-0.8,-0.8,-0.8,0.0,0.0,1.6,0.8,0.8,0.8,0.8,0.0,1.6,0.0,-0.8,1.6,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.8,2.4000000000000004,1.6,0.0,0.0,0.0,0.8,0.0
4,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.8,-1.6,-0.8,-0.8,1.6,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.8,-0.8,-0.8,-0.8,0.8,0.8,-0.8,0.0,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.0,0.8,1.6,-0.8,1.6,-0.8,0.0,-0.8,0.8,0.0,0.0,-0.8,0.8,0.0,-0.8,0.8,0.0,0.0,0.8,0.8,1.6,0.0,-1.6,0.8,0.0,1.6,0.0,-0.8,0.8,0.8,-0.8,0.8,1.6,1.6,0.0,-0.8,1.6,0.8,0.0,-0.8,-0.8,0.8,0.0,0.8,0.0,-0.8,0.0,1.6,0.8,0.8,0.0,1.6,0.8,-0.8,0.0
5,0.8,0.0,0.0,1.6,-0.8,1.6,0.0,0.8,0.8,0.8,-0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,-0.8,1.6,0.0,0.8,0.8,0.8,0.0,1.6,0.0,-0.8,-1.6,0.0,1.6,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8,-0.8,0.0,0.0,0.8,0.8,0.0,0.8,0.0,0.0,-0.8,0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.0,-0.8,-1.6,0.8,0.0,0.8,1.6,-1.6,0.8,0.8,-0.8,1.6,0.8,0.8,1.6,0.0,1.6,1.6,0.8,0.8,0.0,-1.6,1.6,0.8
6,1.6,2.4000000000000004,0.0,-1.6,1.6,0.0,-0.8,2.4000000000000004,0.0,-1.6,-0.8,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,1.6,1.6,0.0,-0.8,0.0,0.8,0.8,1.6,0.0,0.0,0.8,0.8,0.0,-0.8,-2.4000000000000004,-0.8,0.8,0.0,0.0,2.4000000000000004,1.6,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.0,1.6,0.8,0.0,-0.8,0.8,0.8,0.8,0.8,1.6,0.0,-0.8,0.0,0.0,0.0,-0.8,0.0,0.8,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.6,2.4000000000000004,0.8,0.8,0.8,0.8,-0.8,0.8,0.0,0.0
7,0.0,0.8,0.8,0.8,0.0,1.6,0.8,0.8,0.0,0.0,1.6,0.0,0.8,1.6,0.0,0.0,0.8,0.0,0.0,0.8,0.8,-0.8,0.0,0.0,1.6,0.8,0.0,0.0,0.8,1.6,0.8,-0.8,-0.8,-0.8,-1.6,0.8,0.8,1.6,0.8,0.0,-1.6,-0.8,0.0,0.0,0.8,-0.8,-2.4000000000000004,-1.6,-0.8,-0.8,0.0,0.0,1.6,-0.8,0.8,0.8,0.0,0.8,0.0,-0.8,1.6,0.0,-0.8,1.6,1.6,0.0,1.6,-0.8,0.0,-1.6,1.6,0.0,0.0,0.0,2.4000000000000004,0.0,0.8,0.8,0.0,-1.6,-3.2,-0.8,0.8,-0.8,0.8,0.0,0.0,0.8,0.0,0.8
8,0.0,-3.2,-1.6,-10.400000000000002,-2.4000000000000004,-3.2,-12.8,-21.6,-1.6,-3.2,-28.0,-0.8,-3.2,-21.6,-12.0,-4.800000000000001,-0.8,-8.0,-4.800000000000001,-10.400000000000002,0.8,-28.800000000000004,-1.6,-3.2,-8.8,-10.400000000000002,-8.0,-18.4,0.8,2.4000000000000004,-1.6,-0.8,-9.6,-0.8,-1.6,-13.6,-0.8,-8.8,-7.200000000000001,-1.6,-8.8,-13.6,-5.6,-3.2,-0.8,0.8,-3.2,-20.800000000000004,-20.0,-0.8,-8.0,-0.8,-0.8,-25.6,-0.8,-1.6,-10.400000000000002,-0.8,-4.800000000000001,-3.2,-4.0,-20.0,-20.800000000000004,-4.0,0.0,-15.2,-15.2,-6.4,-2.4000000000000004,-7.200000000000001,-3.2,-12.8,-6.4,-4.0,-0.8,-2.4000000000000004,-1.6,0.8,-1.6,-25.6,-31.200000000000003,-8.8,-8.0,-1.6,-12.0,-4.0,-7.200000000000001,-9.6,-8.8,0.0
9,-14.400000000000002,-21.6,-20.800000000000004,-58.4,-20.0,-14.400000000000002,-68.0,-112.8,-25.6,-46.400000000000006,-112.0,-28.800000000000004,-47.2,-106.4,-60.8,-26.4,-12.0,-32.800000000000004,-22.4,-66.4,-14.400000000000002,-109.6,-28.800000000000004,-15.2,-54.400000000000006,-53.6,-29.6,-83.20000000000002,-9.6,-4.800000000000001,-42.4,-16.8,-44.8,-6.4,-44.00000000000001,-43.2,-31.200000000000003,-36.8,-73.6,-44.00000000000001,-50.4,-31.200000000000003,-72.8,-45.6,-39.2,-36.00000000000001,-36.8,-103.2,-125.60000000000002,-35.2,-80.0,-24.800000000000004,-28.800000000000004,-90.4,-28.0,-28.800000000000004,-35.2,-13.6,-20.0,-38.400000000000006,-54.400000000000006,-96.8,-82.4,-33.6,-9.6,-71.2,-82.4,-23.200000000000003,-27.200000000000003,-23.200000000000003,-54.400000000000006,-88.00000000000001,-40.0,-18.4,-17.6,-24.800000000000004,-37.6,-11.2,-11.2,-96.0,-127.2,-60.00000000000001,-60.00000000000001,-38.400000000000006,-108.8,-28.800000000000004,-32.0,-48.8,-33.6,-13.6
10,-23.200000000000003,-38.400000000000006,-41.60000000000001,-76.80000000000001,-45.6,-23.200000000000003,-92.0,-141.6,-56.8,-88.8,-128.8,-58.4,-91.2,-127.2,-77.60000000000001,-28.0,-23.200000000000003,-36.00000000000001,-33.6,-96.8,-35.2,-112.0,-51.2,-24.0,-68.8,-61.6,-37.6,-96.8,-20.800000000000004,-23.200000000000003,-95.2,-36.8,-63.2,-20.800000000000004,-141.6,-44.8,-72.8,-44.00000000000001,-139.20000000000002,-135.20000000000002,-76.0,-32.0,-141.6,-140.8,-141.6,-106.4,-66.4,-120.8,-141.6,-109.6,-141.6,-96.0,-64.0,-92.0,-85.60000000000001,-141.6,-43.2,-29.6,-21.6,-79.2,-118.4,-121.6,-89.6,-54.400000000000006,-21.6,-83.20000000000002,-97.6,-28.800000000000004,-69.60000000000001,-25.6,-129.6,-129.6,-58.4,-22.4,-45.6,-40.0,-104.8,-24.800000000000004,-31.200000000000003,-109.6,-138.4,-83.20000000000002,-91.2,-113.6,-141.6,-46.400000000000006,-39.2,-61.6,-41.60000000000001,-35.2
11,-15.2,-25.6,-28.800000000000004,-48.0,-40.8,-16.0,-56.0,-75.2,-47.2,-67.2,-69.60000000000001,-46.400000000000006,-69.60000000000001,-66.4,-51.2,-16.0,-19.200000000000003,-22.4,-21.6,-56.8,-32.0,-50.4,-40.0,-14.400000000000002,-36.8,-31.200000000000003,-21.6,-52.00000000000001,-15.2,-23.200000000000003,-80.80000000000001,-25.6,-39.2,-16.8,-141.6,-24.800000000000004,-56.8,-26.4,-93.6,-130.4,-50.4,-19.200000000000003,-112.0,-134.4,-141.6,-98.4,-47.2,-63.2,-112.8,-92.8,-100.0,-91.2,-52.00000000000001,-45.6,-79.2,-141.6,-31.200000000000003,-27.200000000000003,-12.0,-68.0,-92.8,-68.8,-43.2,-33.6,-20.800000000000004,-50.4,-52.00000000000001,-16.8,-60.00000000000001,-12.8,-107.2,-78.39999999999999,-36.8,-10.400000000000002,-45.6,-25.6,-96.8,-24.800000000000004,-30.4,-66.4,-68.8,-44.8,-64.0,-113.6,-126.4,-30.4,-21.6,-33.6,-24.800000000000004,-26.4
12,-7.200000000000001,-9.6,-11.2,-17.6,-23.200000000000003,-5.6,-18.4,-26.4,-20.0,-28.0,-28.800000000000004,-24.0,-27.200000000000003,-25.6,-23.200000000000003,-4.800000000000001,-8.0,-6.4,-9.6,-19.200000000000003,-17.6,-16.0,-18.4,-5.6,-16.0,-11.2,-10.400000000000002,-15.2,-6.4,-11.2,-44.00000000000001,-11.2,-16.0,-8.0,-84.8,-11.2,-20.0,-14.400000000000002,-34.4,-65.60000000000001,-21.6,-7.200000000000001,-47.2,-64.0,-91.2,-46.400000000000006,-20.0,-20.800000000000004,-51.2,-43.2,-40.8,-42.4,-19.200000000000003,-16.0,-38.400000000000006,-96.0,-12.0,-15.2,-3.2,-32.0,-43.2,-24.0,-12.0,-12.8,-9.6,-23.200000000000003,-19.200000000000003,-6.4,-29.6,-4.800000000000001,-44.8,-27.200000000000003,-16.0,-4.0,-23.200000000000003,-9.6,-43.2,-13.6,-12.0,-30.4,-24.800000000000004,-16.8,-30.4,-54.400000000000006,-52.8,-14.400000000000002,-7.200000000000001,-12.0,-12.0,-11.2
