,0
event_0,-135.51373018470875
event_1,-275.11373018470863
event_2,-169.11373018470871
event_3,-189.1137301847087
event_4,-209.51373018470872
event_5,-208.71373018470865
event_6,-254.31373018470867
event_7,-347.9137301847086
event_8,-459.5137301847086
event_9,-114.31373018470867
event_10,-374.3137301847087
event_11,-212.7137301847087
event_12,-643.9137301847087
event_13,-477.5137301847086
event_14,-180.71373018470868
event_15,-109.11373018470869
event_16,-202.3137301847087
event_17,-83.51373018470869
event_18,-207.51373018470872
event_19,-393.51373018470866
event_20,-337.1137301847087
event_21,-207.5137301847086
event_22,-85.91373018470868
event_23,-499.9137301847087
event_24,-172.3137301847087
event_25,-421.5137301847087
event_26,-296.3137301847087
event_27,-711.5137301847086
event_28,-322.7137301847087
event_29,-186.7137301847087
event_30,-257.5137301847086
event_31,-137.5137301847087
event_32,-120.31373018470869
event_33,-291.9137301847087
event_34,-227.91373018470864
event_35,-109.91373018470868
event_36,-172.31373018470865
event_37,-183.11373018470866
event_38,-109.51373018470866
event_39,-135.5137301847087
event_40,-315.1137301847087
event_41,-286.3137301847086
event_42,-94.31373018470866
event_43,-379.9137301847086
event_44,-170.71373018470868
event_45,-207.11373018470871
event_46,-349.51373018470866
event_47,-215.51373018470866
event_48,-324.71373018470865
event_49,-260.3137301847087
event_50,-223.91373018470864
event_51,-308.3137301847086
event_52,-239.1137301847087
event_53,-305.1137301847087
event_54,-253.1137301847087
event_55,-194.71373018470868
event_56,-184.71373018470865
event_57,-157.9137301847087
event_58,-355.9137301847087
event_59,-157.5137301847087
event_60,-272.3137301847087
event_61,-249.1137301847087
event_62,-246.31373018470867
event_63,-142.71373018470868
event_64,-96.7137301847087
event_65,-534.3137301847086
event_66,-310.7137301847087
event_67,-361.1137301847087
event_68,-174.31373018470867
event_69,-271.91373018470864
event_70,-235.51373018470866
event_71,-257.9137301847087
event_72,-203.11373018470866
event_73,-201.11373018470866
event_74,-320.3137301847086
event_75,-146.7137301847087
event_76,-152.71373018470868
event_77,-90.31373018470867
event_78,-266.3137301847087
event_79,-299.11373018470874
event_80,-215.1137301847087
event_81,-277.11373018470863
event_82,-639.1137301847085
event_83,-232.71373018470865
event_84,-134.71373018470865
event_85,-128.71373018470868
event_86,-314.71373018470865
event_87,-185.91373018470864
event_88,-461.11373018470863
event_89,-385.51373018470866
event_90,-251.11373018470871
event_91,-240.71373018470868
event_92,-159.9137301847087
event_93,-282.7137301847087
event_94,-218.7137301847087
event_95,-264.3137301847087
event_96,-239.91373018470864
event_97,-295.5137301847087
event_98,-112.71373018470868
