,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102,event_103,event_104,event_105,event_106,event_107,event_108,event_109,event_110,event_111,event_112,event_113,event_114,event_115,event_116,event_117,event_118,event_119,event_120,event_121,event_122,event_123,event_124,event_125,event_126,event_127,event_128,event_129,event_130,event_131,event_132,event_133,event_134,event_135,event_136,event_137,event_138,event_139,event_140,event_141,event_142,event_143,event_144,event_145,event_146,event_147,event_148,event_149,event_150,event_151,event_152,event_153,event_154,event_155,event_156,event_157,event_158,event_159,event_160,event_161,event_162,event_163,event_164,event_165,event_166,event_167,event_168,event_169,event_170,event_171,event_172
0,2.4,3.6,3.6,0.0,2.4,2.4,1.2,0.0,-1.2,2.4,4.8,2.4,2.4,3.6,1.2,3.6,1.2,3.6,3.6,3.6,1.2,4.8,2.4,2.4,2.4,3.6,1.2,3.6,2.4,-1.2,3.6,1.2,1.2,1.2,0.0,2.4,1.2,0.0,2.4,2.4,0.0,0.0,2.4,1.2,1.2,-1.2,3.6,2.4,1.2,0.0,1.2,-1.2,1.2,1.2,3.6,0.0,1.2,-1.2,3.6,2.4,-1.2,2.4,0.0,1.2,-1.2,1.2,0.0,1.2,2.4,1.2,1.2,1.2,2.4,2.4,-1.2,0.0,1.2,2.4,0.0,2.4,-1.2,0.0,2.4,3.6,1.2,1.2,0.0,2.4,2.4,2.4,1.2,2.4,1.2,1.2,2.4,1.2,3.6,1.2,4.8,1.2,0.0,0.0,2.4,1.2,1.2,2.4,1.2,-1.2,2.4,0.0,3.6,-1.2,1.2,1.2,-1.2,2.4,0.0,2.4,4.8,0.0,2.4,0.0,1.2,0.0,0.0,0.0,1.2,1.2,1.2,-1.2,2.4,2.4,1.2,1.2,3.6,2.4,2.4,1.2,1.2,1.2,1.2,-1.2,1.2,0.0,2.4,2.4,-1.2,2.4,3.6,1.2,-1.2,3.6,0.0,3.6,0.0,0.0,1.2,1.2,3.6,1.2,1.2,0.0,2.4,-2.4,0.0,1.2,3.6,2.4,0.0,2.4,1.2,3.6,1.2
1,-1.2,2.4,2.4,0.0,0.0,-1.2,2.4,1.2,2.4,1.2,1.2,3.6,1.2,4.8,1.2,0.0,0.0,2.4,2.4,3.6,3.6,0.0,2.4,2.4,2.4,1.2,3.6,2.4,-1.2,0.0,0.0,4.8,1.2,3.6,5.999999999999999,0.0,2.4,1.2,0.0,4.8,2.4,2.4,3.6,1.2,0.0,1.2,1.2,1.2,3.6,2.4,2.4,2.4,1.2,2.4,2.4,1.2,3.6,-1.2,3.6,2.4,2.4,2.4,2.4,-1.2,1.2,2.4,1.2,3.6,2.4,2.4,1.2,1.2,2.4,3.6,3.6,2.4,3.6,0.0,3.6,2.4,2.4,0.0,3.6,2.4,1.2,1.2,2.4,1.2,-1.2,0.0,2.4,2.4,0.0,1.2,3.6,1.2,1.2,3.6,1.2,2.4,1.2,3.6,4.8,2.4,1.2,1.2,1.2,-1.2,3.6,1.2,0.0,3.6,-1.2,3.6,0.0,4.8,1.2,4.8,1.2,3.6,2.4,1.2,2.4,1.2,-2.4,1.2,2.4,0.0,1.2,0.0,3.6,3.6,1.2,2.4,0.0,1.2,3.6,3.6,1.2,0.0,0.0,-1.2,-1.2,2.4,3.6,0.0,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.2,-1.2,1.2,2.4,0.0,0.0,2.4,2.4,3.6,3.6,4.8,1.2,1.2,2.4,1.2,2.4,2.4,2.4,0.0,2.4
2,1.2,2.4,1.2,1.2,1.2,0.0,1.2,1.2,4.8,4.8,1.2,-1.2,2.4,2.4,0.0,2.4,3.6,2.4,0.0,4.8,1.2,1.2,1.2,3.6,1.2,3.6,0.0,1.2,1.2,0.0,2.4,3.6,0.0,1.2,1.2,2.4,1.2,2.4,3.6,2.4,2.4,0.0,2.4,3.6,5.999999999999999,2.4,0.0,2.4,3.6,0.0,3.6,2.4,0.0,4.8,0.0,0.0,2.4,2.4,3.6,1.2,1.2,1.2,3.6,1.2,1.2,-1.2,2.4,2.4,3.6,1.2,2.4,1.2,0.0,2.4,2.4,4.8,3.6,1.2,0.0,3.6,0.0,1.2,2.4,2.4,0.0,3.6,3.6,2.4,1.2,1.2,2.4,0.0,-1.2,3.6,3.6,4.8,4.8,1.2,3.6,-1.2,2.4,2.4,2.4,2.4,1.2,3.6,1.2,0.0,0.0,2.4,1.2,1.2,3.6,0.0,1.2,0.0,1.2,1.2,2.4,1.2,3.6,2.4,0.0,3.6,1.2,1.2,2.4,2.4,1.2,3.6,2.4,1.2,0.0,1.2,4.8,1.2,0.0,1.2,1.2,2.4,3.6,4.8,0.0,1.2,1.2,3.6,3.6,3.6,-1.2,2.4,1.2,2.4,1.2,2.4,2.4,2.4,3.6,1.2,1.2,1.2,3.6,1.2,0.0,1.2,3.6,3.6,0.0,1.2,1.2,2.4,1.2,3.6,1.2
3,1.2,3.6,2.4,2.4,1.2,2.4,3.6,3.6,1.2,2.4,0.0,1.2,0.0,2.4,1.2,2.4,3.6,0.0,2.4,2.4,0.0,1.2,2.4,3.6,0.0,2.4,2.4,3.6,1.2,2.4,-1.2,3.6,0.0,2.4,3.6,2.4,0.0,3.6,1.2,1.2,0.0,2.4,1.2,0.0,2.4,2.4,2.4,4.8,2.4,0.0,0.0,1.2,2.4,1.2,0.0,1.2,-2.4,0.0,2.4,2.4,0.0,3.6,2.4,3.6,1.2,1.2,0.0,3.6,1.2,3.6,2.4,1.2,3.6,2.4,-1.2,1.2,2.4,2.4,1.2,1.2,4.8,2.4,3.6,3.6,1.2,1.2,2.4,3.6,-1.2,2.4,0.0,3.6,1.2,1.2,3.6,-1.2,1.2,3.6,0.0,1.2,1.2,0.0,1.2,2.4,3.6,4.8,1.2,3.6,3.6,0.0,5.999999999999999,1.2,3.6,1.2,-1.2,2.4,4.8,1.2,2.4,0.0,2.4,1.2,0.0,0.0,3.6,2.4,3.6,2.4,2.4,3.6,4.8,1.2,3.6,1.2,-1.2,2.4,4.8,2.4,1.2,1.2,3.6,1.2,1.2,2.4,2.4,1.2,3.6,1.2,2.4,2.4,1.2,3.6,0.0,3.6,3.6,1.2,1.2,1.2,2.4,1.2,0.0,0.0,2.4,-2.4,3.6,1.2,-1.2,1.2,0.0,2.4,1.2,0.0,0.0
4,2.4,3.6,0.0,-1.2,0.0,3.6,2.4,2.4,1.2,0.0,2.4,2.4,-1.2,1.2,3.6,1.2,1.2,2.4,-2.4,1.2,2.4,2.4,0.0,-1.2,1.2,1.2,-1.2,3.6,3.6,0.0,2.4,1.2,2.4,3.6,1.2,3.6,3.6,2.4,0.0,0.0,1.2,1.2,-1.2,1.2,0.0,0.0,2.4,5.999999999999999,2.4,1.2,4.8,3.6,1.2,1.2,2.4,3.6,-1.2,1.2,2.4,1.2,1.2,3.6,1.2,0.0,3.6,0.0,2.4,1.2,1.2,2.4,1.2,1.2,2.4,1.2,-1.2,3.6,2.4,1.2,3.6,0.0,1.2,3.6,1.2,0.0,2.4,-1.2,2.4,0.0,2.4,-2.4,1.2,2.4,0.0,3.6,3.6,1.2,1.2,1.2,2.4,4.8,1.2,0.0,-1.2,3.6,2.4,0.0,2.4,2.4,3.6,4.8,0.0,2.4,3.6,0.0,2.4,0.0,1.2,1.2,2.4,2.4,2.4,2.4,2.4,4.8,1.2,1.2,1.2,1.2,0.0,2.4,0.0,1.2,-1.2,1.2,-1.2,3.6,1.2,1.2,0.0,1.2,0.0,1.2,0.0,0.0,2.4,0.0,1.2,0.0,0.0,1.2,1.2,1.2,0.0,-1.2,0.0,-1.2,1.2,2.4,1.2,2.4,1.2,2.4,1.2,2.4,4.8,1.2,4.8,2.4,3.6,3.6,2.4,3.6,1.2
5,3.6,0.0,2.4,1.2,1.2,2.4,2.4,1.2,0.0,1.2,1.2,1.2,-1.2,0.0,0.0,2.4,1.2,1.2,5.999999999999999,1.2,2.4,2.4,-1.2,2.4,3.6,3.6,-1.2,0.0,1.2,1.2,4.8,1.2,4.8,-1.2,1.2,1.2,2.4,1.2,3.6,1.2,0.0,1.2,2.4,1.2,1.2,2.4,2.4,1.2,1.2,2.4,2.4,2.4,3.6,3.6,0.0,1.2,2.4,0.0,-2.4,0.0,0.0,2.4,0.0,2.4,0.0,1.2,2.4,0.0,3.6,2.4,2.4,3.6,3.6,3.6,-1.2,1.2,1.2,1.2,2.4,1.2,1.2,1.2,3.6,1.2,0.0,0.0,0.0,1.2,-1.2,3.6,1.2,0.0,1.2,1.2,2.4,2.4,0.0,1.2,1.2,0.0,0.0,0.0,4.8,0.0,2.4,2.4,2.4,1.2,1.2,2.4,1.2,-1.2,4.8,-1.2,2.4,2.4,0.0,2.4,0.0,1.2,3.6,3.6,1.2,1.2,2.4,4.8,2.4,0.0,0.0,2.4,0.0,1.2,1.2,2.4,1.2,1.2,3.6,3.6,2.4,1.2,2.4,0.0,3.6,4.8,2.4,3.6,1.2,2.4,0.0,0.0,3.6,2.4,1.2,2.4,2.4,1.2,1.2,2.4,4.8,0.0,0.0,2.4,2.4,2.4,-1.2,2.4,-1.2,3.6,0.0,-1.2,2.4,2.4,4.8
6,2.4,0.0,2.4,0.0,1.2,0.0,1.2,2.4,-1.2,1.2,2.4,2.4,3.6,1.2,0.0,1.2,1.2,1.2,1.2,1.2,-1.2,2.4,3.6,1.2,2.4,2.4,0.0,4.8,2.4,5.999999999999999,2.4,1.2,-1.2,3.6,2.4,4.8,2.4,1.2,0.0,3.6,1.2,0.0,1.2,2.4,2.4,2.4,3.6,2.4,2.4,0.0,2.4,3.6,1.2,3.6,0.0,0.0,2.4,-1.2,0.0,1.2,2.4,2.4,0.0,2.4,0.0,1.2,1.2,3.6,0.0,2.4,2.4,-1.2,1.2,2.4,1.2,2.4,0.0,2.4,2.4,1.2,1.2,1.2,1.2,2.4,3.6,3.6,1.2,1.2,-1.2,1.2,2.4,2.4,0.0,2.4,1.2,0.0,1.2,4.8,2.4,3.6,3.6,3.6,1.2,1.2,2.4,0.0,2.4,2.4,1.2,1.2,1.2,-1.2,1.2,-1.2,3.6,0.0,1.2,2.4,1.2,3.6,1.2,3.6,1.2,2.4,3.6,1.2,2.4,3.6,2.4,1.2,0.0,1.2,0.0,1.2,1.2,-1.2,1.2,1.2,3.6,2.4,2.4,0.0,2.4,3.6,0.0,3.6,1.2,1.2,1.2,2.4,1.2,2.4,2.4,3.6,4.8,3.6,2.4,3.6,4.8,4.8,0.0,1.2,4.8,-3.6,1.2,2.4,3.6,1.2,2.4,3.6,3.6,1.2,1.2
7,2.4,0.0,1.2,3.6,-1.2,1.2,1.2,3.6,0.0,2.4,1.2,1.2,2.4,2.4,2.4,3.6,3.6,-1.2,1.2,3.6,-1.2,1.2,4.8,0.0,0.0,2.4,3.6,1.2,4.8,1.2,4.8,1.2,-2.4,1.2,-2.4,-2.4,2.4,0.0,0.0,2.4,0.0,1.2,1.2,1.2,1.2,2.4,0.0,2.4,0.0,1.2,1.2,1.2,-1.2,1.2,0.0,1.2,1.2,1.2,3.6,4.8,4.8,1.2,1.2,1.2,1.2,0.0,2.4,3.6,1.2,2.4,0.0,3.6,2.4,3.6,1.2,2.4,3.6,1.2,0.0,2.4,0.0,1.2,0.0,0.0,3.6,2.4,0.0,0.0,0.0,1.2,1.2,2.4,4.8,4.8,4.8,1.2,1.2,1.2,1.2,2.4,1.2,0.0,0.0,4.8,2.4,2.4,0.0,2.4,1.2,1.2,2.4,0.0,2.4,-1.2,3.6,1.2,1.2,1.2,0.0,2.4,1.2,0.0,0.0,0.0,1.2,2.4,1.2,2.4,0.0,1.2,1.2,0.0,3.6,0.0,2.4,3.6,2.4,3.6,2.4,1.2,1.2,2.4,0.0,2.4,-1.2,1.2,3.6,2.4,0.0,2.4,1.2,0.0,1.2,2.4,3.6,2.4,2.4,2.4,2.4,1.2,1.2,2.4,3.6,-1.2,1.2,3.6,3.6,2.4,1.2,0.0,3.6,1.2,1.2
8,0.0,-1.2,-14.4,-3.6,-9.6,3.6,1.2,-2.4,1.2,-2.4,-1.2,1.2,-1.2,-4.8,0.0,1.2,-7.2,1.2,-4.8,-4.8,0.0,-2.4,-1.2,-24.0,-14.4,-8.4,-1.2,-2.4,-2.4,-2.4,2.4,-5.999999999999999,-24.0,-4.8,2.4,-18.0,2.4,-24.0,-1.2,-13.199999999999998,-1.2,0.0,1.2,-19.2,-5.999999999999999,-5.999999999999999,2.4,-3.6,-1.2,-3.6,-1.2,-10.8,-3.6,-1.2,-20.4,1.2,-3.6,2.4,-3.6,0.0,-7.2,-5.999999999999999,-3.6,-1.2,-18.0,-9.6,1.2,-4.8,1.2,1.2,-7.2,-1.2,2.4,1.2,2.4,-2.4,-5.999999999999999,-15.6,-9.6,-2.4,-1.2,-7.2,-2.4,-4.8,2.4,0.0,3.6,-1.2,1.2,1.2,-3.6,-2.4,-3.6,-3.6,-8.4,0.0,-16.8,1.2,0.0,-2.4,-5.999999999999999,0.0,-19.2,-7.2,-14.4,-1.2,-1.2,-2.4,-2.4,-2.4,1.2,0.0,-2.4,-9.6,0.0,-3.6,-13.199999999999998,1.2,-7.2,-10.8,-10.8,-15.6,-1.2,-13.199999999999998,-2.4,-7.2,-15.6,-4.8,1.2,-9.6,0.0,-13.199999999999998,-1.2,-1.2,-2.4,0.0,0.0,2.4,-20.4,-22.8,1.2,-1.2,-21.6,0.0,0.0,-10.8,1.2,-3.6,-5.999999999999999,-1.2,-13.199999999999998,-10.8,-9.6,-1.2,2.4,-1.2,-1.2,-2.4,2.4,-14.4,-1.2,-5.999999999999999,1.2,1.2,-9.6,-1.2,-7.2,-1.2,-2.4,-1.2,0.0,0.0,-1.2
9,-20.4,-19.2,-72.0,-52.79999999999999,-65.99999999999999,-5.999999999999999,-14.4,-18.0,-20.4,-28.8,-15.6,-18.0,-22.8,-43.2,-9.6,-9.6,-60.0,-15.6,-34.8,-38.4,-25.2,-37.2,-26.399999999999995,-97.2,-61.2,-49.2,-34.8,-46.8,-41.99999999999999,-45.6,-39.6,-41.99999999999999,-115.2,-37.2,-11.999999999999998,-68.39999999999999,-4.8,-98.4,-46.8,-49.2,-11.999999999999998,-10.8,-27.599999999999994,-82.8,-56.39999999999999,-70.79999999999998,-14.4,-46.8,-26.399999999999995,-24.0,-55.19999999999999,-34.8,-39.6,-30.0,-92.4,-9.6,-44.39999999999999,-15.6,-20.4,-41.99999999999999,-38.4,-36.0,-34.8,-46.8,-88.79999999999998,-60.0,-20.4,-18.0,-32.4,-11.999999999999998,-72.0,-44.39999999999999,-13.199999999999998,-41.99999999999999,-34.8,-34.8,-30.0,-63.59999999999999,-44.39999999999999,-24.0,-16.8,-64.8,-37.2,-39.6,-13.199999999999998,-26.399999999999995,-20.4,-43.2,-10.8,-20.4,-49.2,-38.4,-43.2,-38.4,-46.8,-18.0,-75.59999999999998,-20.4,-28.8,-60.0,-27.599999999999994,-62.4,-90.0,-68.39999999999999,-64.8,-27.599999999999994,-24.0,-32.4,-26.399999999999995,-22.8,-24.0,-22.8,-19.2,-41.99999999999999,-38.4,-44.39999999999999,-52.79999999999999,-13.199999999999998,-38.4,-39.6,-70.79999999999998,-44.39999999999999,-14.4,-58.8,-43.2,-73.19999999999999,-90.0,-46.8,-28.8,-55.19999999999999,-24.0,-78.0,-27.599999999999994,-19.2,-30.0,-18.0,-37.2,-19.2,-78.0,-110.39999999999998,-8.4,-40.8,-111.6,-27.599999999999994,-14.4,-45.6,-8.4,-61.2,-40.8,-37.2,-56.39999999999999,-47.99999999999999,-30.0,-34.8,-26.399999999999995,-20.4,-24.0,-26.399999999999995,-25.2,-57.6,-22.8,-81.6,-13.199999999999998,-18.0,-52.79999999999999,-16.8,-26.399999999999995,-45.6,-36.0,-14.4,-36.0,-27.599999999999994,-26.399999999999995
