,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102,event_103,event_104,event_105,event_106,event_107,event_108,event_109,event_110,event_111,event_112,event_113,event_114,event_115,event_116,event_117,event_118,event_119,event_120,event_121,event_122,event_123,event_124,event_125,event_126,event_127,event_128,event_129,event_130,event_131,event_132,event_133,event_134,event_135,event_136,event_137,event_138,event_139,event_140,event_141,event_142,event_143,event_144,event_145,event_146,event_147,event_148,event_149,event_150,event_151,event_152,event_153,event_154,event_155,event_156
0,2.4,2.4,1.2,2.4,2.4,0.0,1.2,3.6,1.2,0.0,1.2,1.2,0.0,1.2,3.6,1.2,0.0,1.2,1.2,1.2,2.4,3.6,1.2,4.8,1.2,2.4,1.2,0.0,2.4,1.2,4.8,0.0,0.0,2.4,0.0,1.2,2.4,0.0,1.2,4.8,2.4,1.2,0.0,5.999999999999999,3.6,0.0,1.2,0.0,-1.2,3.6,1.2,2.4,2.4,0.0,2.4,2.4,2.4,0.0,1.2,1.2,1.2,1.2,2.4,1.2,0.0,4.8,2.4,2.4,2.4,-1.2,2.4,1.2,0.0,0.0,1.2,3.6,3.6,1.2,1.2,2.4,0.0,2.4,2.4,0.0,1.2,2.4,2.4,0.0,0.0,2.4,-2.4,1.2,0.0,0.0,3.6,0.0,0.0,2.4,1.2,1.2,2.4,2.4,2.4,1.2,1.2,3.6,1.2,1.2,1.2,2.4,0.0,2.4,2.4,2.4,1.2,2.4,1.2,1.2,3.6,1.2,2.4,2.4,-1.2,1.2,3.6,0.0,2.4,2.4,1.2,3.6,2.4,2.4,2.4,1.2,2.4,2.4,1.2,2.4,3.6,2.4,2.4,-2.4,2.4,2.4,2.4,1.2,1.2,2.4,2.4,0.0,1.2,2.4,2.4,2.4,4.8,1.2,1.2
1,1.2,2.4,2.4,1.2,1.2,2.4,2.4,3.6,2.4,2.4,1.2,2.4,0.0,3.6,1.2,1.2,1.2,1.2,2.4,2.4,2.4,4.8,1.2,0.0,1.2,3.6,3.6,-1.2,0.0,3.6,-1.2,5.999999999999999,1.2,2.4,3.6,2.4,2.4,1.2,2.4,2.4,0.0,2.4,3.6,1.2,0.0,1.2,2.4,4.8,0.0,2.4,1.2,4.8,1.2,0.0,1.2,1.2,0.0,1.2,3.6,1.2,1.2,2.4,2.4,1.2,2.4,0.0,2.4,1.2,-1.2,-1.2,3.6,1.2,0.0,1.2,0.0,2.4,2.4,4.8,3.6,1.2,2.4,3.6,3.6,0.0,2.4,1.2,1.2,2.4,3.6,3.6,1.2,0.0,2.4,3.6,1.2,2.4,1.2,1.2,1.2,0.0,0.0,2.4,0.0,3.6,-1.2,1.2,3.6,-1.2,0.0,2.4,1.2,1.2,1.2,1.2,2.4,2.4,3.6,1.2,1.2,-1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,3.6,0.0,1.2,3.6,1.2,-2.4,1.2,2.4,1.2,1.2,2.4,2.4,3.6,2.4,1.2,0.0,1.2,0.0,1.2,1.2,1.2,2.4,-1.2,0.0,2.4,3.6,-1.2,2.4
2,0.0,3.6,0.0,0.0,1.2,1.2,0.0,4.8,1.2,0.0,0.0,0.0,0.0,1.2,3.6,1.2,2.4,1.2,1.2,2.4,0.0,1.2,2.4,0.0,3.6,0.0,1.2,2.4,2.4,1.2,-2.4,2.4,1.2,2.4,0.0,1.2,3.6,0.0,2.4,3.6,1.2,1.2,1.2,2.4,-2.4,2.4,1.2,1.2,5.999999999999999,3.6,1.2,-2.4,2.4,1.2,1.2,1.2,0.0,2.4,2.4,2.4,-1.2,1.2,0.0,0.0,2.4,1.2,-1.2,3.6,1.2,3.6,1.2,1.2,1.2,1.2,3.6,1.2,1.2,1.2,-1.2,2.4,2.4,2.4,-1.2,0.0,0.0,0.0,2.4,1.2,2.4,0.0,1.2,2.4,1.2,0.0,-1.2,0.0,2.4,2.4,0.0,3.6,-1.2,1.2,2.4,0.0,-1.2,0.0,1.2,2.4,2.4,0.0,2.4,1.2,3.6,2.4,1.2,-1.2,0.0,3.6,0.0,2.4,1.2,3.6,0.0,2.4,1.2,1.2,1.2,0.0,3.6,1.2,0.0,2.4,2.4,2.4,-1.2,0.0,0.0,3.6,1.2,3.6,3.6,2.4,3.6,3.6,-1.2,0.0,3.6,2.4,2.4,1.2,2.4,1.2,0.0,-1.2,3.6,0.0,0.0
3,1.2,2.4,0.0,3.6,0.0,3.6,0.0,1.2,3.6,3.6,-1.2,1.2,0.0,2.4,1.2,0.0,1.2,0.0,0.0,2.4,2.4,0.0,2.4,1.2,3.6,2.4,1.2,0.0,1.2,1.2,-1.2,1.2,2.4,3.6,1.2,0.0,0.0,1.2,0.0,0.0,1.2,1.2,2.4,0.0,1.2,-1.2,2.4,1.2,0.0,-1.2,2.4,1.2,3.6,1.2,0.0,1.2,2.4,3.6,1.2,1.2,1.2,1.2,0.0,-1.2,0.0,3.6,-1.2,2.4,2.4,3.6,4.8,1.2,0.0,0.0,1.2,1.2,-1.2,-1.2,0.0,3.6,1.2,1.2,1.2,2.4,1.2,2.4,1.2,-1.2,2.4,-1.2,3.6,0.0,1.2,2.4,3.6,3.6,4.8,2.4,1.2,2.4,1.2,0.0,1.2,-1.2,1.2,3.6,0.0,2.4,-1.2,2.4,1.2,0.0,1.2,4.8,1.2,1.2,4.8,1.2,2.4,4.8,2.4,3.6,0.0,1.2,2.4,2.4,0.0,1.2,1.2,0.0,-1.2,2.4,1.2,4.8,1.2,2.4,2.4,2.4,5.999999999999999,2.4,0.0,0.0,2.4,0.0,0.0,0.0,-1.2,2.4,-2.4,3.6,2.4,3.6,1.2,3.6,2.4,2.4,1.2
4,3.6,2.4,0.0,1.2,0.0,3.6,2.4,1.2,2.4,1.2,-1.2,2.4,0.0,2.4,2.4,2.4,2.4,1.2,1.2,3.6,2.4,-1.2,1.2,3.6,2.4,0.0,1.2,0.0,3.6,1.2,1.2,0.0,2.4,0.0,1.2,2.4,0.0,0.0,0.0,4.8,2.4,1.2,1.2,0.0,0.0,0.0,1.2,3.6,0.0,0.0,3.6,4.8,1.2,0.0,1.2,1.2,2.4,1.2,1.2,1.2,3.6,2.4,2.4,3.6,0.0,2.4,-2.4,1.2,2.4,1.2,0.0,0.0,0.0,0.0,1.2,-1.2,2.4,4.8,0.0,1.2,2.4,1.2,1.2,2.4,0.0,1.2,2.4,0.0,0.0,3.6,1.2,3.6,3.6,0.0,1.2,1.2,1.2,3.6,5.999999999999999,1.2,3.6,1.2,1.2,0.0,3.6,1.2,2.4,1.2,1.2,1.2,2.4,2.4,2.4,2.4,3.6,0.0,3.6,1.2,0.0,3.6,1.2,2.4,3.6,3.6,4.8,3.6,3.6,1.2,3.6,1.2,2.4,1.2,0.0,0.0,2.4,1.2,0.0,0.0,1.2,3.6,3.6,1.2,5.999999999999999,0.0,2.4,1.2,2.4,1.2,3.6,3.6,2.4,1.2,1.2,2.4,0.0,0.0,3.6
5,0.0,2.4,0.0,-1.2,1.2,2.4,1.2,1.2,2.4,-2.4,1.2,3.6,1.2,0.0,4.8,1.2,3.6,0.0,3.6,1.2,2.4,1.2,0.0,0.0,1.2,2.4,3.6,1.2,1.2,1.2,1.2,2.4,0.0,1.2,2.4,-1.2,-1.2,0.0,3.6,2.4,1.2,2.4,0.0,0.0,3.6,1.2,4.8,0.0,3.6,0.0,1.2,2.4,2.4,1.2,3.6,2.4,1.2,3.6,1.2,0.0,0.0,2.4,3.6,1.2,1.2,-1.2,0.0,0.0,1.2,1.2,2.4,0.0,-1.2,2.4,2.4,2.4,1.2,0.0,-1.2,3.6,0.0,-1.2,0.0,2.4,0.0,2.4,2.4,2.4,1.2,2.4,2.4,1.2,1.2,1.2,1.2,1.2,-1.2,2.4,-1.2,3.6,0.0,1.2,1.2,1.2,2.4,2.4,4.8,2.4,3.6,1.2,2.4,1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,2.4,2.4,1.2,0.0,0.0,-1.2,1.2,0.0,0.0,0.0,2.4,2.4,2.4,1.2,2.4,2.4,1.2,2.4,3.6,0.0,1.2,2.4,0.0,2.4,1.2,2.4,2.4,2.4,0.0,2.4,1.2,1.2,0.0,3.6,3.6,2.4,0.0,3.6
6,0.0,2.4,1.2,2.4,3.6,3.6,1.2,1.2,1.2,1.2,2.4,1.2,1.2,2.4,1.2,1.2,2.4,0.0,2.4,0.0,2.4,1.2,2.4,1.2,1.2,3.6,-1.2,0.0,-1.2,1.2,1.2,3.6,2.4,3.6,1.2,2.4,2.4,5.999999999999999,3.6,-1.2,0.0,1.2,0.0,0.0,1.2,2.4,0.0,1.2,1.2,1.2,3.6,2.4,3.6,1.2,1.2,2.4,1.2,1.2,5.999999999999999,2.4,1.2,1.2,1.2,3.6,0.0,-1.2,2.4,1.2,0.0,1.2,3.6,1.2,3.6,1.2,2.4,0.0,0.0,2.4,1.2,2.4,-1.2,1.2,1.2,-3.6,0.0,0.0,0.0,4.8,3.6,1.2,2.4,1.2,2.4,1.2,1.2,1.2,3.6,2.4,3.6,0.0,0.0,-1.2,1.2,2.4,2.4,0.0,-1.2,1.2,0.0,3.6,1.2,-2.4,2.4,2.4,-1.2,3.6,2.4,1.2,0.0,2.4,0.0,1.2,2.4,2.4,1.2,0.0,0.0,0.0,2.4,3.6,-1.2,1.2,4.8,0.0,-1.2,3.6,2.4,1.2,1.2,2.4,3.6,2.4,1.2,2.4,0.0,2.4,3.6,1.2,3.6,2.4,2.4,1.2,1.2,2.4,2.4,1.2,0.0
7,2.4,2.4,1.2,2.4,0.0,-1.2,0.0,1.2,4.8,0.0,2.4,2.4,1.2,1.2,1.2,-1.2,1.2,2.4,1.2,1.2,1.2,0.0,3.6,1.2,2.4,-1.2,-1.2,3.6,1.2,1.2,1.2,2.4,1.2,2.4,0.0,0.0,2.4,0.0,1.2,1.2,-1.2,0.0,0.0,1.2,1.2,2.4,1.2,3.6,4.8,0.0,1.2,2.4,1.2,2.4,3.6,0.0,0.0,5.999999999999999,0.0,3.6,1.2,1.2,1.2,2.4,0.0,-1.2,1.2,1.2,1.2,0.0,1.2,1.2,0.0,1.2,2.4,2.4,1.2,0.0,1.2,0.0,1.2,0.0,3.6,0.0,2.4,4.8,3.6,3.6,3.6,2.4,3.6,1.2,2.4,-1.2,2.4,1.2,3.6,2.4,1.2,1.2,1.2,0.0,1.2,0.0,1.2,0.0,0.0,2.4,0.0,3.6,2.4,2.4,0.0,1.2,1.2,0.0,1.2,0.0,2.4,2.4,0.0,2.4,2.4,1.2,-1.2,2.4,2.4,1.2,1.2,1.2,1.2,1.2,1.2,2.4,2.4,3.6,0.0,2.4,1.2,2.4,1.2,1.2,1.2,-1.2,2.4,2.4,1.2,0.0,1.2,2.4,2.4,0.0,3.6,3.6,1.2,3.6,0.0
8,0.0,-2.4,-1.2,-14.4,-1.2,2.4,-5.999999999999999,-3.6,-2.4,-9.6,1.2,0.0,-2.4,-9.6,-9.6,-1.2,0.0,-2.4,-10.8,1.2,-13.199999999999998,-1.2,-16.8,1.2,-4.8,-7.2,-7.2,-3.6,3.6,0.0,0.0,-5.999999999999999,-3.6,-11.999999999999998,-10.8,-1.2,0.0,2.4,-7.2,0.0,-7.2,-19.2,-1.2,-1.2,-4.8,-1.2,-8.4,1.2,-1.2,-9.6,-2.4,-2.4,0.0,-3.6,-5.999999999999999,1.2,0.0,-2.4,-9.6,0.0,0.0,-3.6,-15.6,-3.6,-1.2,-4.8,-3.6,-14.4,-1.2,-4.8,-8.4,-4.8,0.0,3.6,-9.6,-9.6,-2.4,-9.6,-8.4,-1.2,0.0,-2.4,0.0,-11.999999999999998,-5.999999999999999,2.4,2.4,-1.2,1.2,-4.8,-2.4,0.0,-2.4,-2.4,-5.999999999999999,1.2,-14.4,0.0,-8.4,-2.4,-3.6,-2.4,-19.2,-16.8,-1.2,-1.2,-5.999999999999999,-3.6,1.2,-10.8,-4.8,1.2,-14.4,-16.8,-5.999999999999999,1.2,-10.8,0.0,-7.2,-2.4,-8.4,-7.2,0.0,1.2,0.0,-1.2,-16.8,-3.6,1.2,1.2,0.0,1.2,2.4,-2.4,-3.6,-8.4,-9.6,-14.4,1.2,1.2,-21.6,-26.399999999999995,-10.8,-18.0,-14.4,0.0,-1.2,-1.2,1.2,2.4,-4.8,-7.2,-3.6,1.2,-5.999999999999999,1.2,-2.4
9,-15.6,-45.6,-37.2,-94.8,-15.6,-13.199999999999998,-64.8,-56.39999999999999,-40.8,-67.2,-11.999999999999998,-24.0,-57.6,-67.2,-47.99999999999999,-16.8,-30.0,-43.2,-57.6,-41.99999999999999,-81.6,-37.2,-87.6,-11.999999999999998,-57.6,-75.59999999999998,-67.2,-57.6,-20.4,-8.4,-9.6,-43.2,-28.8,-67.2,-44.39999999999999,-25.2,-31.2,-22.8,-43.2,-15.6,-67.2,-57.6,-22.8,-34.8,-33.6,-28.8,-39.6,-11.999999999999998,-24.0,-76.8,-41.99999999999999,-64.8,-38.4,-25.2,-76.8,-15.6,-9.6,-28.8,-46.8,-21.6,-41.99999999999999,-25.2,-75.59999999999998,-26.399999999999995,-32.4,-46.8,-26.399999999999995,-85.2,-15.6,-68.39999999999999,-52.79999999999999,-39.6,-36.0,-20.4,-39.6,-60.0,-34.8,-92.4,-53.99999999999999,-25.2,-21.6,-34.8,-8.4,-43.2,-49.2,-10.8,-14.4,-18.0,-28.8,-27.599999999999994,-27.599999999999994,-30.0,-40.8,-32.4,-39.6,-11.999999999999998,-80.4,-8.4,-76.8,-27.599999999999994,-43.2,-30.0,-69.6,-73.19999999999999,-43.2,-24.0,-45.6,-55.19999999999999,-8.4,-47.99999999999999,-88.79999999999998,-38.4,-70.79999999999998,-47.99999999999999,-50.39999999999999,-10.8,-63.59999999999999,-28.8,-56.39999999999999,-36.0,-83.99999999999999,-55.19999999999999,-45.6,-16.8,-36.0,-18.0,-64.8,-79.19999999999999,-13.199999999999998,-24.0,-34.8,-30.0,-3.6,-57.6,-47.99999999999999,-41.99999999999999,-82.8,-80.4,-45.6,-30.0,-96.0,-90.0,-91.2,-81.6,-85.2,-39.6,-45.6,-37.2,-5.999999999999999,-10.8,-19.2,-40.8,-27.599999999999994,-25.2,-68.39999999999999,-15.6,-56.39999999999999
