,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101,event_102,event_103,event_104,event_105,event_106,event_107,event_108,event_109,event_110,event_111,event_112,event_113,event_114,event_115,event_116,event_117,event_118,event_119,event_120,event_121,event_122,event_123,event_124,event_125,event_126,event_127,event_128,event_129,event_130,event_131,event_132,event_133,event_134,event_135,event_136,event_137,event_138,event_139,event_140,event_141,event_142,event_143,event_144,event_145,event_146,event_147,event_148,event_149,event_150,event_151,event_152,event_153,event_154,event_155,event_156,event_157,event_158,event_159,event_160,event_161,event_162,event_163,event_164,event_165,event_166,event_167,event_168,event_169,event_170,event_171,event_172,event_173,event_174,event_175,event_176,event_177,event_178,event_179,event_180,event_181,event_182,event_183,event_184,event_185,event_186,event_187,event_188,event_189,event_190,event_191,event_192,event_193,event_194,event_195,event_196,event_197,event_198,event_199,event_200,event_201,event_202,event_203,event_204,event_205,event_206,event_207,event_208,event_209,event_210,event_211,event_212,event_213,event_214,event_215,event_216,event_217,event_218,event_219,event_220,event_221,event_222,event_223,event_224,event_225,event_226,event_227,event_228,event_229,event_230,event_231,event_232,event_233,event_234,event_235,event_236,event_237,event_238,event_239,event_240,event_241,event_242,event_243,event_244,event_245,event_246,event_247,event_248,event_249,event_250,event_251,event_252,event_253,event_254,event_255,event_256,event_257,event_258,event_259,event_260,event_261,event_262,event_263,event_264,event_265,event_266,event_267,event_268,event_269,event_270,event_271,event_272,event_273,event_274,event_275
0,0.0,2.4,2.4,1.2,-1.2,1.2,1.2,2.4,1.2,0.0,0.0,0.0,1.2,1.2,-2.4,2.4,3.6,0.0,3.6,0.0,1.2,1.2,-1.2,1.2,2.4,-1.2,0.0,1.2,0.0,1.2,2.4,4.8,2.4,-1.2,1.2,4.8,0.0,-1.2,1.2,1.2,2.4,0.0,1.2,1.2,1.2,1.2,1.2,1.2,2.4,2.4,0.0,2.4,0.0,-1.2,2.4,1.2,2.4,2.4,1.2,0.0,1.2,1.2,0.0,0.0,-2.4,4.8,2.4,1.2,2.4,1.2,1.2,1.2,-1.2,0.0,3.6,2.4,1.2,1.2,-1.2,3.6,1.2,1.2,0.0,0.0,1.2,2.4,2.4,0.0,1.2,-1.2,3.6,2.4,1.2,0.0,0.0,0.0,2.4,-1.2,0.0,2.4,0.0,-2.4,1.2,0.0,2.4,1.2,2.4,0.0,1.2,2.4,1.2,3.6,3.6,1.2,1.2,1.2,2.4,2.4,1.2,2.4,3.6,0.0,0.0,1.2,2.4,-1.2,4.8,1.2,2.4,2.4,1.2,0.0,1.2,1.2,0.0,3.6,2.4,2.4,2.4,2.4,2.4,1.2,1.2,1.2,3.6,1.2,-2.4,1.2,1.2,2.4,2.4,0.0,1.2,2.4,1.2,0.0,0.0,1.2,3.6,-1.2,3.6,-1.2,1.2,3.6,-2.4,1.2,1.2,2.4,2.4,1.2,0.0,0.0,2.4,1.2,1.2,1.2,0.0,2.4,1.2,2.4,-1.2,1.2,-1.2,2.4,3.6,0.0,0.0,2.4,2.4,1.2,0.0,1.2,0.0,2.4,2.4,-2.4,1.2,1.2,0.0,2.4,0.0,0.0,2.4,-1.2,-1.2,-1.2,1.2,-1.2,2.4,1.2,3.6,2.4,0.0,0.0,2.4,0.0,-1.2,2.4,2.4,1.2,4.8,2.4,2.4,3.6,2.4,1.2,1.2,1.2,0.0,-1.2,1.2,1.2,-1.2,2.4,2.4,0.0,2.4,0.0,-2.4,1.2,4.8,1.2,0.0,-2.4,2.4,1.2,1.2,0.0,0.0,1.2,1.2,2.4,1.2,1.2,0.0,2.4,0.0,1.2,0.0,1.2,1.2,1.2,1.2,1.2,-1.2,1.2,-2.4,1.2,1.2,0.0,2.4,1.2,2.4,1.2,0.0,1.2
1,1.2,2.4,1.2,2.4,2.4,-1.2,0.0,1.2,2.4,1.2,0.0,1.2,1.2,2.4,0.0,1.2,0.0,2.4,0.0,1.2,3.6,2.4,0.0,2.4,0.0,0.0,0.0,0.0,3.6,1.2,1.2,3.6,1.2,0.0,2.4,4.8,1.2,1.2,1.2,1.2,3.6,-1.2,2.4,1.2,2.4,0.0,0.0,2.4,3.6,1.2,0.0,1.2,2.4,1.2,-1.2,0.0,1.2,3.6,2.4,3.6,0.0,2.4,1.2,0.0,-1.2,1.2,1.2,1.2,1.2,1.2,2.4,2.4,2.4,2.4,2.4,-1.2,0.0,1.2,0.0,-1.2,3.6,2.4,2.4,2.4,1.2,3.6,0.0,1.2,3.6,0.0,0.0,1.2,2.4,2.4,-2.4,1.2,0.0,0.0,2.4,-1.2,-1.2,0.0,2.4,0.0,0.0,1.2,1.2,1.2,1.2,3.6,-2.4,4.8,1.2,1.2,2.4,1.2,1.2,1.2,-2.4,1.2,2.4,2.4,1.2,-1.2,1.2,0.0,0.0,1.2,0.0,0.0,0.0,2.4,2.4,0.0,2.4,0.0,-1.2,0.0,0.0,0.0,1.2,1.2,0.0,1.2,1.2,2.4,-2.4,2.4,2.4,2.4,2.4,-1.2,-1.2,2.4,0.0,-2.4,0.0,1.2,2.4,0.0,2.4,1.2,0.0,2.4,-1.2,2.4,2.4,1.2,2.4,0.0,2.4,1.2,2.4,0.0,-1.2,1.2,2.4,1.2,1.2,2.4,1.2,1.2,0.0,2.4,7.2,2.4,0.0,-1.2,1.2,0.0,1.2,1.2,2.4,0.0,2.4,2.4,2.4,1.2,2.4,2.4,3.6,-2.4,2.4,-1.2,0.0,0.0,0.0,0.0,2.4,2.4,0.0,1.2,1.2,1.2,1.2,1.2,0.0,2.4,2.4,-1.2,3.6,0.0,0.0,0.0,2.4,1.2,1.2,2.4,1.2,1.2,0.0,1.2,1.2,2.4,2.4,1.2,0.0,0.0,0.0,4.8,0.0,1.2,1.2,-2.4,3.6,1.2,2.4,2.4,2.4,0.0,0.0,2.4,0.0,0.0,1.2,2.4,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,-2.4,1.2,-1.2,1.2,1.2,-2.4,1.2,1.2,3.6,0.0,-1.2,2.4
2,1.2,1.2,1.2,3.6,4.8,1.2,3.6,2.4,0.0,-1.2,1.2,2.4,1.2,1.2,-2.4,2.4,0.0,2.4,0.0,0.0,-1.2,2.4,0.0,1.2,2.4,1.2,0.0,2.4,2.4,1.2,2.4,1.2,0.0,1.2,0.0,1.2,0.0,1.2,3.6,2.4,1.2,1.2,0.0,1.2,2.4,0.0,0.0,1.2,2.4,0.0,0.0,-2.4,2.4,2.4,2.4,2.4,1.2,2.4,2.4,1.2,2.4,2.4,2.4,1.2,-1.2,1.2,0.0,4.8,0.0,2.4,-1.2,3.6,1.2,2.4,1.2,0.0,2.4,0.0,1.2,0.0,1.2,1.2,1.2,2.4,1.2,1.2,1.2,1.2,3.6,0.0,2.4,2.4,1.2,1.2,2.4,3.6,-2.4,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-1.2,2.4,1.2,-1.2,2.4,0.0,1.2,3.6,1.2,1.2,3.6,0.0,2.4,2.4,0.0,2.4,0.0,1.2,0.0,-1.2,2.4,0.0,0.0,0.0,2.4,2.4,2.4,1.2,1.2,2.4,1.2,1.2,0.0,2.4,-1.2,2.4,0.0,0.0,2.4,-2.4,1.2,-1.2,0.0,1.2,2.4,2.4,0.0,2.4,2.4,-1.2,2.4,0.0,-1.2,1.2,3.6,0.0,1.2,1.2,1.2,1.2,2.4,0.0,1.2,3.6,3.6,2.4,-2.4,2.4,2.4,2.4,0.0,1.2,0.0,0.0,0.0,2.4,-1.2,1.2,2.4,2.4,3.6,2.4,1.2,-1.2,2.4,2.4,0.0,1.2,2.4,-1.2,1.2,2.4,1.2,1.2,2.4,-1.2,2.4,-1.2,0.0,0.0,1.2,0.0,2.4,0.0,1.2,0.0,0.0,0.0,0.0,-1.2,1.2,-2.4,0.0,3.6,1.2,1.2,4.8,-1.2,1.2,2.4,2.4,1.2,1.2,0.0,1.2,1.2,1.2,0.0,0.0,4.8,1.2,-1.2,0.0,3.6,0.0,1.2,0.0,3.6,0.0,0.0,1.2,1.2,1.2,1.2,4.8,1.2,-1.2,2.4,-1.2,1.2,1.2,0.0,1.2,0.0,1.2,1.2,0.0,1.2,3.6,1.2,1.2,2.4,2.4,3.6,2.4,2.4,0.0,2.4,1.2,3.6,3.6,2.4
3,0.0,1.2,0.0,0.0,1.2,2.4,1.2,2.4,1.2,2.4,0.0,3.6,3.6,0.0,2.4,0.0,0.0,-1.2,1.2,1.2,1.2,3.6,2.4,1.2,0.0,0.0,2.4,1.2,2.4,1.2,2.4,3.6,2.4,1.2,2.4,1.2,1.2,2.4,-1.2,1.2,1.2,2.4,3.6,2.4,1.2,0.0,1.2,0.0,0.0,1.2,2.4,0.0,1.2,1.2,1.2,0.0,0.0,2.4,2.4,2.4,1.2,0.0,1.2,0.0,1.2,2.4,1.2,-1.2,2.4,1.2,1.2,2.4,2.4,-1.2,2.4,-1.2,0.0,1.2,2.4,0.0,3.6,-1.2,0.0,2.4,0.0,2.4,1.2,3.6,1.2,1.2,0.0,1.2,0.0,1.2,1.2,-1.2,0.0,1.2,2.4,2.4,1.2,2.4,-1.2,1.2,1.2,2.4,1.2,1.2,1.2,1.2,0.0,0.0,2.4,1.2,1.2,0.0,3.6,2.4,2.4,1.2,2.4,1.2,0.0,1.2,1.2,1.2,0.0,-1.2,1.2,0.0,2.4,2.4,1.2,2.4,0.0,0.0,-1.2,2.4,3.6,0.0,0.0,1.2,1.2,1.2,1.2,0.0,0.0,-1.2,1.2,2.4,1.2,2.4,0.0,1.2,1.2,1.2,3.6,0.0,4.8,-1.2,2.4,2.4,0.0,1.2,0.0,2.4,1.2,1.2,2.4,0.0,-1.2,0.0,0.0,2.4,0.0,1.2,0.0,1.2,1.2,3.6,0.0,2.4,0.0,1.2,1.2,0.0,2.4,1.2,2.4,0.0,0.0,2.4,2.4,0.0,0.0,1.2,-1.2,1.2,0.0,0.0,0.0,-1.2,2.4,-1.2,1.2,-1.2,1.2,2.4,3.6,2.4,2.4,3.6,2.4,1.2,2.4,-1.2,0.0,1.2,1.2,0.0,2.4,1.2,0.0,1.2,1.2,2.4,0.0,0.0,2.4,1.2,1.2,1.2,1.2,3.6,1.2,-1.2,0.0,0.0,-1.2,1.2,1.2,0.0,3.6,2.4,1.2,1.2,0.0,2.4,1.2,2.4,0.0,1.2,1.2,1.2,0.0,2.4,2.4,0.0,1.2,1.2,0.0,0.0,3.6,2.4,1.2,1.2,2.4,-1.2,0.0,0.0,0.0,1.2,0.0,2.4,1.2,1.2
4,0.0,1.2,2.4,2.4,1.2,1.2,1.2,1.2,1.2,2.4,1.2,1.2,1.2,1.2,1.2,2.4,2.4,0.0,2.4,0.0,0.0,0.0,1.2,1.2,-1.2,1.2,1.2,1.2,1.2,0.0,1.2,0.0,4.8,1.2,1.2,0.0,1.2,2.4,2.4,2.4,2.4,1.2,-1.2,1.2,0.0,0.0,3.6,1.2,2.4,1.2,0.0,0.0,-1.2,-2.4,2.4,0.0,1.2,4.8,3.6,0.0,3.6,2.4,0.0,0.0,1.2,2.4,2.4,1.2,2.4,0.0,1.2,2.4,2.4,3.6,2.4,2.4,0.0,1.2,2.4,1.2,2.4,1.2,1.2,2.4,-2.4,0.0,0.0,1.2,1.2,1.2,1.2,0.0,1.2,0.0,-2.4,1.2,0.0,1.2,2.4,2.4,3.6,-1.2,-1.2,0.0,1.2,1.2,2.4,1.2,2.4,1.2,1.2,1.2,1.2,1.2,-1.2,2.4,0.0,0.0,3.6,1.2,3.6,2.4,2.4,3.6,1.2,0.0,0.0,0.0,0.0,-2.4,0.0,2.4,1.2,0.0,1.2,2.4,2.4,-1.2,1.2,1.2,-1.2,2.4,1.2,3.6,2.4,0.0,-1.2,2.4,2.4,0.0,2.4,1.2,2.4,1.2,-1.2,0.0,-1.2,0.0,2.4,2.4,1.2,-1.2,1.2,1.2,-1.2,0.0,0.0,1.2,0.0,1.2,0.0,0.0,3.6,1.2,-1.2,1.2,2.4,-1.2,0.0,1.2,1.2,2.4,0.0,2.4,1.2,1.2,-1.2,-1.2,1.2,0.0,0.0,1.2,1.2,1.2,1.2,1.2,2.4,3.6,0.0,1.2,1.2,0.0,4.8,-1.2,0.0,0.0,2.4,0.0,0.0,0.0,2.4,2.4,1.2,0.0,2.4,-1.2,0.0,1.2,0.0,1.2,0.0,4.8,1.2,0.0,-2.4,1.2,2.4,2.4,0.0,2.4,2.4,2.4,2.4,1.2,1.2,1.2,-1.2,2.4,1.2,1.2,1.2,0.0,1.2,2.4,3.6,0.0,3.6,1.2,2.4,0.0,2.4,2.4,2.4,3.6,2.4,-1.2,0.0,1.2,2.4,1.2,2.4,2.4,0.0,2.4,0.0,0.0,1.2,2.4,2.4,-1.2,1.2,0.0,0.0,2.4,0.0,2.4
5,2.4,1.2,3.6,0.0,0.0,0.0,0.0,1.2,0.0,1.2,2.4,2.4,2.4,0.0,1.2,0.0,1.2,1.2,2.4,1.2,0.0,2.4,-1.2,0.0,0.0,2.4,-1.2,3.6,2.4,2.4,2.4,1.2,0.0,3.6,0.0,0.0,1.2,1.2,0.0,-1.2,1.2,1.2,-1.2,0.0,0.0,2.4,1.2,0.0,1.2,2.4,1.2,0.0,0.0,1.2,1.2,0.0,1.2,1.2,0.0,0.0,1.2,2.4,0.0,2.4,0.0,2.4,2.4,0.0,1.2,1.2,1.2,1.2,-1.2,0.0,1.2,1.2,2.4,1.2,0.0,0.0,0.0,1.2,1.2,2.4,2.4,1.2,2.4,2.4,1.2,2.4,1.2,2.4,2.4,0.0,0.0,0.0,0.0,-3.6,1.2,-1.2,-1.2,1.2,-1.2,2.4,1.2,0.0,2.4,1.2,0.0,2.4,2.4,2.4,0.0,0.0,0.0,-1.2,1.2,0.0,1.2,1.2,2.4,2.4,2.4,1.2,-1.2,0.0,0.0,2.4,-2.4,0.0,-2.4,2.4,0.0,0.0,1.2,0.0,1.2,-2.4,0.0,2.4,0.0,0.0,1.2,0.0,2.4,1.2,2.4,3.6,2.4,1.2,2.4,1.2,1.2,1.2,1.2,1.2,0.0,1.2,2.4,1.2,0.0,2.4,-1.2,0.0,1.2,-1.2,0.0,2.4,0.0,1.2,1.2,-2.4,1.2,0.0,0.0,2.4,3.6,0.0,0.0,0.0,2.4,2.4,2.4,3.6,-2.4,0.0,0.0,-1.2,1.2,1.2,1.2,-1.2,3.6,1.2,1.2,2.4,2.4,2.4,1.2,-1.2,1.2,1.2,3.6,0.0,1.2,2.4,0.0,0.0,1.2,1.2,0.0,3.6,2.4,1.2,1.2,-1.2,0.0,2.4,3.6,2.4,1.2,2.4,2.4,0.0,-3.6,0.0,0.0,0.0,0.0,1.2,2.4,0.0,0.0,-1.2,4.8,2.4,0.0,0.0,2.4,3.6,-1.2,0.0,-1.2,-1.2,2.4,2.4,3.6,1.2,2.4,2.4,0.0,2.4,1.2,2.4,-1.2,0.0,1.2,-1.2,0.0,1.2,2.4,-1.2,2.4,0.0,1.2,1.2,1.2,0.0,1.2,1.2,0.0,2.4,1.2,-1.2,0.0,-2.4
6,1.2,2.4,-1.2,1.2,2.4,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-1.2,4.8,3.6,0.0,1.2,1.2,2.4,-1.2,-2.4,1.2,1.2,1.2,0.0,-1.2,-3.6,1.2,2.4,0.0,1.2,-1.2,2.4,1.2,-1.2,1.2,-1.2,1.2,0.0,0.0,3.6,1.2,0.0,0.0,-1.2,-1.2,2.4,0.0,1.2,1.2,-1.2,0.0,2.4,-1.2,1.2,-1.2,1.2,2.4,2.4,1.2,0.0,1.2,0.0,1.2,1.2,0.0,2.4,0.0,2.4,-1.2,1.2,-1.2,0.0,3.6,1.2,2.4,0.0,1.2,2.4,1.2,-1.2,2.4,2.4,2.4,2.4,-1.2,1.2,0.0,4.8,2.4,1.2,3.6,1.2,2.4,1.2,1.2,2.4,0.0,0.0,0.0,1.2,1.2,1.2,0.0,2.4,1.2,3.6,2.4,1.2,0.0,-1.2,1.2,0.0,1.2,1.2,2.4,1.2,0.0,3.6,1.2,2.4,-1.2,0.0,2.4,0.0,3.6,1.2,2.4,0.0,2.4,2.4,2.4,3.6,2.4,0.0,0.0,2.4,0.0,1.2,1.2,0.0,0.0,1.2,0.0,1.2,2.4,-1.2,0.0,-1.2,-1.2,0.0,2.4,2.4,0.0,1.2,2.4,1.2,1.2,1.2,0.0,2.4,0.0,0.0,1.2,0.0,1.2,0.0,2.4,0.0,0.0,2.4,1.2,-1.2,4.8,-1.2,0.0,0.0,3.6,2.4,-1.2,1.2,1.2,1.2,2.4,1.2,1.2,0.0,-2.4,1.2,0.0,2.4,1.2,1.2,0.0,2.4,0.0,-1.2,0.0,2.4,2.4,2.4,3.6,0.0,3.6,1.2,-1.2,1.2,2.4,0.0,2.4,0.0,-1.2,0.0,3.6,1.2,1.2,2.4,2.4,1.2,0.0,1.2,1.2,2.4,-1.2,2.4,0.0,2.4,3.6,0.0,1.2,3.6,1.2,2.4,1.2,0.0,0.0,2.4,2.4,1.2,2.4,2.4,0.0,0.0,4.8,2.4,0.0,1.2,1.2,2.4,1.2,1.2,0.0,-1.2,2.4,1.2,0.0,1.2,0.0,1.2,-1.2,-2.4,2.4,0.0,-1.2,0.0,2.4,2.4,0.0,0.0,0.0,1.2,1.2,1.2,0.0,1.2
7,-2.4,-2.4,-4.8,-1.2,-2.4,0.0,-3.6,0.0,3.6,0.0,0.0,2.4,-7.2,-13.199999999999998,-2.4,-3.6,-9.6,-3.6,-1.2,-3.6,-5.999999999999999,-4.8,-7.2,1.2,-1.2,-8.4,-5.999999999999999,-36.0,-3.6,-3.6,-2.4,-4.8,-8.4,-1.2,0.0,-2.4,-1.2,-3.6,-5.999999999999999,-8.4,-2.4,0.0,0.0,-19.2,-3.6,-8.4,-4.8,-4.8,-4.8,0.0,-3.6,-1.2,-2.4,-2.4,0.0,-5.999999999999999,-8.4,-5.999999999999999,-1.2,0.0,-7.2,2.4,2.4,-13.199999999999998,2.4,-8.4,-2.4,-9.6,0.0,1.2,-1.2,2.4,0.0,0.0,-2.4,0.0,-2.4,-1.2,-4.8,1.2,-3.6,-5.999999999999999,-1.2,-5.999999999999999,0.0,-1.2,-14.4,-1.2,2.4,-2.4,-9.6,-7.2,-3.6,0.0,-3.6,1.2,1.2,-3.6,-1.2,0.0,1.2,-1.2,-8.4,-2.4,-3.6,-4.8,0.0,2.4,0.0,-2.4,-5.999999999999999,-2.4,-1.2,-5.999999999999999,-8.4,-3.6,-8.4,1.2,-7.2,-1.2,-1.2,1.2,0.0,-8.4,-2.4,0.0,-3.6,-3.6,-1.2,-1.2,-1.2,1.2,0.0,-2.4,1.2,1.2,-7.2,2.4,-1.2,-2.4,-5.999999999999999,-16.8,-2.4,-3.6,-8.4,-4.8,-4.8,-8.4,0.0,-2.4,-1.2,-10.8,-5.999999999999999,-3.6,-1.2,-4.8,-3.6,1.2,-1.2,0.0,-7.2,-3.6,0.0,-2.4,-1.2,3.6,-3.6,-1.2,1.2,-3.6,-1.2,-3.6,-1.2,-10.8,0.0,-2.4,-2.4,-4.8,-1.2,0.0,1.2,0.0,-5.999999999999999,-2.4,0.0,0.0,-1.2,-2.4,0.0,-3.6,-3.6,0.0,2.4,-9.6,-3.6,0.0,-3.6,-4.8,1.2,-2.4,-3.6,-5.999999999999999,-2.4,-10.8,1.2,0.0,1.2,0.0,1.2,1.2,0.0,-11.999999999999998,-4.8,-8.4,0.0,0.0,-7.2,0.0,1.2,-2.4,-2.4,-3.6,0.0,-3.6,-3.6,0.0,0.0,0.0,1.2,2.4,1.2,-3.6,-10.8,0.0,0.0,-5.999999999999999,-4.8,0.0,-3.6,-7.2,1.2,-2.4,-4.8,-2.4,-1.2,-5.999999999999999,0.0,2.4,-2.4,-3.6,0.0,-10.8,-8.4,-2.4,0.0,-2.4,-8.4,2.4,-5.999999999999999,-1.2,-4.8,-15.6,-4.8,-2.4,-3.6,-13.199999999999998,2.4,0.0,-3.6,0.0,-1.2,-7.2,-2.4,-7.2,0.0,-3.6
8,-25.2,-21.6,-39.6,-18.0,-13.199999999999998,-9.6,-15.6,-3.6,-4.8,-20.4,-4.8,-5.999999999999999,-16.8,-31.2,-34.8,-32.4,-36.0,-34.8,-15.6,-18.0,-20.4,-21.6,-28.8,-10.8,-25.2,-28.8,-38.4,-110.39999999999998,-20.4,-15.6,-38.4,-20.4,-33.6,-11.999999999999998,-9.6,-22.8,-18.0,-16.8,-24.0,-33.6,-16.8,-5.999999999999999,-11.999999999999998,-98.4,-21.6,-27.599999999999994,-30.0,-26.399999999999995,-25.2,-9.6,-25.2,-11.999999999999998,-20.4,-10.8,-7.2,-51.6,-27.599999999999994,-26.399999999999995,-14.4,-16.8,-36.0,-9.6,-5.999999999999999,-43.2,-8.4,-32.4,-8.4,-31.2,-11.999999999999998,-15.6,-15.6,-11.999999999999998,-8.4,-14.4,-21.6,-8.4,-30.0,-10.8,-31.2,-8.4,-13.199999999999998,-19.2,-14.4,-41.99999999999999,-8.4,-20.4,-57.6,-5.999999999999999,-7.2,-14.4,-33.6,-37.2,-20.4,-5.999999999999999,-51.6,-5.999999999999999,-4.8,-30.0,-32.4,-10.8,-5.999999999999999,-13.199999999999998,-62.4,-11.999999999999998,-20.4,-31.2,-10.8,-3.6,-20.4,-19.2,-37.2,-11.999999999999998,-16.8,-25.2,-26.399999999999995,-11.999999999999998,-60.0,-8.4,-28.8,-16.8,-24.0,-18.0,-3.6,-53.99999999999999,-8.4,-7.2,-24.0,-32.4,-16.8,-18.0,-19.2,-16.8,-5.999999999999999,-27.599999999999994,-11.999999999999998,-2.4,-30.0,-15.6,-13.199999999999998,-14.4,-21.6,-75.59999999999998,-18.0,-28.8,-16.8,-20.4,-16.8,-36.0,-15.6,-9.6,-16.8,-38.4,-30.0,-15.6,-21.6,-21.6,-21.6,-5.999999999999999,-21.6,-8.4,-22.8,-25.2,-7.2,-25.2,-11.999999999999998,-11.999999999999998,-30.0,-15.6,-11.999999999999998,-16.8,-16.8,-20.4,-13.199999999999998,-39.6,-16.8,-22.8,-21.6,-31.2,-4.8,-13.199999999999998,-4.8,-16.8,-27.599999999999994,-15.6,-4.8,-8.4,-18.0,-19.2,-21.6,-18.0,-19.2,-22.8,-9.6,-34.8,-15.6,-14.4,-21.6,-18.0,-10.8,-11.999999999999998,-26.399999999999995,-25.2,-24.0,-40.8,-15.6,-8.4,-2.4,-10.8,-14.4,-5.999999999999999,-18.0,-36.0,-31.2,-21.6,-18.0,-9.6,-30.0,-22.8,-11.999999999999998,-19.2,-14.4,-19.2,-14.4,-15.6,-25.2,-21.6,-11.999999999999998,-7.2,0.0,-8.4,-13.199999999999998,-21.6,-51.6,-14.4,-10.8,-21.6,-28.8,-10.8,-24.0,-39.6,-7.2,-18.0,-13.199999999999998,-22.8,-13.199999999999998,-22.8,-14.4,-13.199999999999998,-4.8,-24.0,-15.6,-70.79999999999998,-36.0,-19.2,-3.6,-22.8,-45.6,-10.8,-30.0,-21.6,-13.199999999999998,-49.2,-28.8,-15.6,-31.2,-38.4,-5.999999999999999,-3.6,-15.6,-4.8,-26.399999999999995,-47.99999999999999,-10.8,-34.8,-10.8,-11.999999999999998
9,-62.4,-57.6,-85.2,-46.8,-34.8,-19.2,-31.2,-18.0,-14.4,-33.6,-16.8,-18.0,-20.4,-33.6,-63.59999999999999,-70.79999999999998,-57.6,-76.8,-27.599999999999994,-26.399999999999995,-30.0,-33.6,-44.39999999999999,-32.4,-55.19999999999999,-45.6,-75.59999999999998,-156.0,-43.2,-30.0,-80.4,-37.2,-61.2,-30.0,-24.0,-58.8,-30.0,-34.8,-36.0,-57.6,-27.599999999999994,-22.8,-20.4,-167.99999999999997,-44.39999999999999,-43.2,-51.6,-55.19999999999999,-53.99999999999999,-22.8,-44.39999999999999,-25.2,-41.99999999999999,-36.0,-33.6,-126.0,-39.6,-53.99999999999999,-27.599999999999994,-53.99999999999999,-65.99999999999999,-25.2,-14.4,-68.39999999999999,-24.0,-51.6,-22.8,-51.6,-26.399999999999995,-44.39999999999999,-27.599999999999994,-34.8,-27.599999999999994,-30.0,-37.2,-21.6,-93.6,-25.2,-55.19999999999999,-28.8,-27.599999999999994,-37.2,-28.8,-76.8,-22.8,-49.2,-91.2,-34.8,-36.0,-21.6,-58.8,-60.0,-41.99999999999999,-16.8,-134.4,-21.6,-19.2,-70.79999999999998,-75.59999999999998,-34.8,-21.6,-45.6,-122.4,-24.0,-38.4,-53.99999999999999,-27.599999999999994,-19.2,-51.6,-28.8,-79.19999999999999,-22.8,-44.39999999999999,-45.6,-40.8,-26.399999999999995,-124.8,-27.599999999999994,-47.99999999999999,-39.6,-67.2,-44.39999999999999,-20.4,-110.39999999999998,-19.2,-28.8,-56.39999999999999,-67.2,-39.6,-40.8,-45.6,-27.599999999999994,-18.0,-64.8,-38.4,-18.0,-53.99999999999999,-45.6,-36.0,-27.599999999999994,-33.6,-131.99999999999997,-36.0,-73.19999999999999,-24.0,-40.8,-31.2,-58.8,-37.2,-19.2,-56.39999999999999,-57.6,-52.79999999999999,-41.99999999999999,-57.6,-37.2,-33.6,-20.4,-45.6,-20.4,-37.2,-49.2,-26.399999999999995,-56.39999999999999,-24.0,-31.2,-58.8,-26.399999999999995,-28.8,-34.8,-57.6,-33.6,-28.8,-70.79999999999998,-47.99999999999999,-46.8,-49.2,-49.2,-24.0,-33.6,-21.6,-38.4,-58.8,-37.2,-18.0,-21.6,-39.6,-38.4,-57.6,-30.0,-45.6,-44.39999999999999,-32.4,-61.2,-26.399999999999995,-40.8,-52.79999999999999,-39.6,-19.2,-21.6,-56.39999999999999,-44.39999999999999,-50.39999999999999,-63.59999999999999,-33.6,-20.4,-16.8,-24.0,-40.8,-16.8,-38.4,-53.99999999999999,-57.6,-27.599999999999994,-33.6,-34.8,-55.19999999999999,-50.39999999999999,-44.39999999999999,-55.19999999999999,-46.8,-37.2,-38.4,-30.0,-63.59999999999999,-60.0,-34.8,-19.2,-9.6,-31.2,-40.8,-40.8,-90.0,-37.2,-20.4,-33.6,-61.2,-27.599999999999994,-46.8,-68.39999999999999,-25.2,-39.6,-33.6,-39.6,-39.6,-34.8,-55.19999999999999,-37.2,-18.0,-46.8,-47.99999999999999,-146.39999999999998,-62.4,-39.6,-15.6,-38.4,-83.99999999999999,-39.6,-51.6,-36.0,-22.8,-68.39999999999999,-55.19999999999999,-39.6,-79.19999999999999,-51.6,-30.0,-18.0,-50.39999999999999,-16.8,-68.39999999999999,-100.79999999999998,-34.8,-61.2,-37.2,-33.6
