,peak_X0,peak_Y0
event_0,105.0,96.0
event_1,103.0,52.79999999999999
event_2,104.0,47.99999999999999
event_3,104.0,52.79999999999999
event_4,104.0,62.4
event_5,104.0,94.8
event_6,104.0,64.8
event_7,105.0,82.8
event_8,104.0,83.99999999999999
event_9,104.0,120.0
event_10,104.0,112.79999999999998
event_11,104.0,69.6
event_12,103.0,24.0
event_13,104.0,103.2
event_14,103.0,50.39999999999999
event_15,103.0,55.19999999999999
event_16,104.0,137.99999999999997
event_17,104.0,88.79999999999998
event_18,104.0,69.6
event_19,105.0,112.79999999999998
event_20,104.0,100.79999999999998
event_21,104.0,32.4
event_22,104.0,45.6
event_23,104.0,69.6
event_24,104.0,74.39999999999999
event_25,104.0,53.99999999999999
event_26,104.0,90.0
event_27,104.0,134.4
event_28,104.0,99.6
event_29,104.0,79.19999999999999
event_30,103.0,36.0
event_31,104.0,46.8
event_32,104.0,49.2
event_33,104.0,91.2
event_34,104.0,96.0
event_35,104.0,106.8
event_36,104.0,121.2
event_37,104.0,62.4
event_38,105.0,115.2
event_39,104.0,80.4
event_40,104.0,83.99999999999999
event_41,105.0,131.99999999999997
event_42,105.0,97.2
event_43,104.0,62.4
event_44,103.0,34.8
event_45,103.0,39.6
event_46,104.0,105.59999999999998
event_47,103.0,36.0
event_48,104.0,87.6
event_49,104.0,82.8
event_50,103.0,31.2
event_51,103.0,37.2
event_52,104.0,98.4
event_53,103.0,28.8
event_54,104.0,86.39999999999999
event_55,104.0,52.79999999999999
event_56,104.0,80.4
event_57,103.0,27.599999999999994
event_58,104.0,99.6
event_59,103.0,44.39999999999999
event_60,104.0,49.2
event_61,103.0,44.39999999999999
event_62,104.0,117.6
event_63,104.0,65.99999999999999
event_64,103.0,45.6
event_65,104.0,73.19999999999999
event_66,104.0,56.39999999999999
event_67,104.0,82.8
event_68,104.0,40.8
event_69,103.0,32.4
event_70,103.0,55.19999999999999
event_71,104.0,87.6
event_72,104.0,34.8
event_73,104.0,53.99999999999999
event_74,104.0,70.79999999999998
event_75,104.0,85.2
event_76,104.0,93.6
event_77,104.0,74.39999999999999
event_78,104.0,91.2
event_79,104.0,86.39999999999999
event_80,104.0,64.8
event_81,104.0,58.8
event_82,104.0,34.8
event_83,104.0,124.8
event_84,103.0,37.2
