,peak_X0,peak_Y0
event_0,103.0,36.0
event_1,104.0,117.6
event_2,104.0,102.0
event_3,104.0,129.6
event_4,103.0,26.399999999999995
event_5,103.0,34.8
event_6,104.0,105.59999999999998
event_7,104.0,93.6
event_8,104.0,94.8
event_9,104.0,111.6
event_10,103.0,31.2
event_11,104.0,68.39999999999999
event_12,104.0,160.8
event_13,104.0,91.2
event_14,104.0,62.4
event_15,103.0,40.8
event_16,104.0,53.99999999999999
event_17,104.0,79.19999999999999
event_18,104.0,68.39999999999999
event_19,104.0,92.4
event_20,104.0,91.2
event_21,104.0,58.8
event_22,105.0,103.2
event_23,103.0,26.399999999999995
event_24,104.0,92.4
event_25,104.0,122.4
event_26,104.0,94.8
event_27,104.0,152.39999999999998
event_28,103.0,62.4
event_29,103.0,25.2
event_30,103.0,34.8
event_31,104.0,60.0
event_32,104.0,36.0
event_33,104.0,68.39999999999999
event_34,104.0,52.79999999999999
event_35,104.0,64.8
event_36,104.0,53.99999999999999
event_37,104.0,88.79999999999998
event_38,104.0,58.8
event_39,103.0,27.599999999999994
event_40,104.0,105.59999999999998
event_41,104.0,61.2
event_42,104.0,65.99999999999999
event_43,104.0,92.4
event_44,104.0,41.99999999999999
event_45,104.0,72.0
event_46,104.0,57.6
event_47,103.0,40.8
event_48,104.0,46.8
event_49,104.0,121.2
event_50,104.0,70.79999999999998
event_51,104.0,152.39999999999998
event_52,104.0,88.79999999999998
event_53,103.0,30.0
event_54,104.0,128.39999999999998
event_55,103.0,20.4
event_56,103.0,30.0
event_57,104.0,69.6
event_58,104.0,64.8
event_59,103.0,33.6
event_60,104.0,96.0
event_61,104.0,46.8
event_62,104.0,93.6
event_63,104.0,39.6
event_64,104.0,82.8
event_65,104.0,81.6
event_66,104.0,46.8
event_67,104.0,116.4
event_68,103.0,44.39999999999999
event_69,104.0,128.39999999999998
event_70,104.0,69.6
event_71,104.0,56.39999999999999
event_72,104.0,111.6
event_73,103.0,65.99999999999999
event_74,104.0,43.2
event_75,104.0,76.8
event_76,104.0,69.6
event_77,104.0,146.39999999999998
event_78,104.0,69.6
event_79,104.0,69.6
event_80,104.0,53.99999999999999
event_81,104.0,50.39999999999999
event_82,102.0,24.0
event_83,104.0,46.8
event_84,104.0,64.8
event_85,103.0,31.2
event_86,103.0,39.6
event_87,103.0,50.39999999999999
event_88,104.0,72.0
event_89,104.0,32.4
event_90,104.0,55.19999999999999
event_91,104.0,55.19999999999999
event_92,104.0,73.19999999999999
event_93,104.0,62.4
event_94,104.0,55.19999999999999
event_95,103.0,41.99999999999999
event_96,104.0,92.4
event_97,102.0,21.6
event_98,104.0,112.79999999999998
event_99,104.0,105.59999999999998
event_100,104.0,94.8
event_101,104.0,55.19999999999999
event_102,104.0,74.39999999999999
event_103,104.0,85.2
event_104,104.0,91.2
event_105,104.0,47.99999999999999
event_106,104.0,58.8
event_107,104.0,102.0
event_108,102.0,27.599999999999994
event_109,104.0,57.6
event_110,104.0,182.4
event_111,104.0,126.0
event_112,104.0,91.2
event_113,104.0,50.39999999999999
event_114,104.0,73.19999999999999
event_115,103.0,26.399999999999995
event_116,104.0,76.8
event_117,104.0,94.8
event_118,104.0,83.99999999999999
event_119,104.0,65.99999999999999
event_120,104.0,158.39999999999998
event_121,104.0,76.8
event_122,104.0,88.79999999999998
event_123,103.0,36.0
event_124,104.0,80.4
event_125,102.0,28.8
event_126,104.0,79.19999999999999
event_127,104.0,140.4
event_128,103.0,36.0
event_129,104.0,53.99999999999999
event_130,104.0,86.39999999999999
event_131,104.0,69.6
event_132,103.0,31.2
event_133,104.0,96.0
event_134,104.0,80.4
event_135,104.0,53.99999999999999
event_136,104.0,106.8
event_137,104.0,97.2
event_138,104.0,116.4
event_139,104.0,78.0
event_140,105.0,102.0
event_141,105.0,91.2
event_142,104.0,141.59999999999997
event_143,105.0,96.0
event_144,104.0,100.79999999999998
event_145,104.0,81.6
event_146,104.0,91.2
event_147,104.0,78.0
event_148,103.0,30.0
event_149,103.0,46.8
event_150,103.0,20.4
event_151,104.0,64.8
event_152,103.0,43.2
event_153,104.0,70.79999999999998
event_154,104.0,130.8
event_155,103.0,33.6
event_156,104.0,111.6
