,0
event_0,-236.63422968151173
event_1,-303.8342296815116
event_2,-310.6342296815117
event_3,-211.43422968151168
event_4,-299.03422968151176
event_5,-233.0342296815117
event_6,-143.83422968151174
event_7,-75.03422968151173
event_8,-199.0342296815117
event_9,-194.63422968151173
event_10,-262.2342296815117
event_11,-217.0342296815117
event_12,-287.03422968151165
event_13,-96.23422968151169
event_14,-91.43422968151172
event_15,-237.03422968151176
event_16,-67.03422968151173
event_17,-134.63422968151173
event_18,-299.03422968151176
event_19,-233.83422968151174
event_20,-279.43422968151174
event_21,-278.6342296815117
event_22,-283.8342296815117
event_23,-263.43422968151174
event_24,-280.6342296815117
event_25,-337.83422968151166
event_26,-337.8342296815117
event_27,-85.83422968151172
event_28,-236.63422968151173
event_29,-286.2342296815117
event_30,-309.03422968151176
event_31,-87.83422968151173
event_32,-243.43422968151174
event_33,-285.03422968151176
event_34,-345.8342296815117
event_35,-317.43422968151174
event_36,-276.2342296815117
event_37,-376.6342296815118
event_38,-109.43422968151172
event_39,-278.23422968151175
event_40,-107.03422968151172
event_41,-164.63422968151175
event_42,-212.23422968151172
event_43,-215.43422968151174
event_44,-307.03422968151176
event_45,-190.23422968151172
event_46,-339.8342296815118
event_47,-241.4342296815117
event_48,-195.83422968151172
event_49,-338.2342296815117
event_50,-134.23422968151172
event_51,-79.03422968151173
event_52,-173.83422968151174
event_53,-174.23422968151172
event_54,-192.23422968151175
event_55,-143.0342296815117
event_56,-126.63422968151173
event_57,-128.63422968151173
event_58,-186.63422968151173
event_59,-70.23422968151174
event_60,-221.0342296815117
event_61,-230.23422968151175
event_62,-337.4342296815117
event_63,-85.83422968151173
event_64,-62.63422968151171
event_65,-223.8342296815117
event_66,-161.03422968151173
event_67,-129.83422968151172
event_68,-241.8342296815117
event_69,-91.8342296815117
event_70,-176.2342296815117
event_71,-93.03422968151172
event_72,-141.4342296815117
event_73,-151.0342296815117
event_74,-223.03422968151173
event_75,-263.8342296815117
event_76,-235.83422968151172
event_77,-286.6342296815116
event_78,-322.6342296815117
event_79,-391.4342296815117
event_80,-317.4342296815117
event_81,-247.03422968151176
event_82,-78.23422968151172
event_83,-312.23422968151175
event_84,-328.2342296815117
event_85,-141.43422968151177
event_86,-237.0342296815117
event_87,-243.03422968151173
event_88,-343.03422968151165
event_89,-331.4342296815116
event_90,-315.03422968151165
event_91,-347.8342296815117
event_92,-327.8342296815118
event_93,-336.63422968151167
event_94,-85.83422968151172
event_95,-195.83422968151172
event_96,-560.2342296815117
event_97,-95.83422968151173
event_98,-141.03422968151173
event_99,-235.4342296815117
event_100,-159.4342296815117
event_101,-283.4342296815116
event_102,-337.8342296815117
event_103,-257.0342296815117
event_104,-262.6342296815118
event_105,-333.8342296815117
event_106,-233.0342296815117
event_107,-144.2342296815117
event_108,-220.23422968151175
event_109,-200.23422968151175
event_110,-163.43422968151174
event_111,-307.0342296815117
event_112,-259.83422968151166
event_113,-228.63422968151173
event_114,-175.83422968151174
event_115,-159.4342296815117
event_116,-272.2342296815117
event_117,-199.83422968151174
event_118,-156.2342296815117
event_119,-108.23422968151175
event_120,-172.6342296815117
event_121,-167.0342296815117
event_122,-207.8342296815117
event_123,-289.03422968151176
event_124,-103.43422968151171
event_125,-264.6342296815118
event_126,-163.0342296815117
event_127,-251.03422968151168
event_128,-68.2342296815117
event_129,-149.03422968151173
event_130,-200.63422968151173
event_131,-275.8342296815117
event_132,-149.4342296815117
event_133,-280.23422968151175
event_134,-340.23422968151164
event_135,-135.43422968151174
event_136,-168.23422968151172
event_137,-145.03422968151173
event_138,-169.0342296815117
event_139,-109.83422968151173
event_140,-215.83422968151177
event_141,-194.63422968151173
event_142,-280.2342296815117
event_143,-422.23422968151164
event_144,-162.63422968151173
event_145,-281.43422968151174
event_146,-201.03422968151173
event_147,-78.63422968151173
event_148,-394.23422968151175
event_149,-263.8342296815117
event_150,-132.23422968151172
event_151,-152.63422968151173
event_152,-87.83422968151172
event_153,-241.43422968151174
event_154,-123.03422968151172
event_155,-98.63422968151171
event_156,-199.83422968151172
event_157,-261.4342296815116
event_158,-172.23422968151175
event_159,-246.2342296815117
event_160,-95.43422968151172
