,0
event_0,-333.6675844806007
event_1,-624.8675844806006
event_2,-353.2675844806006
event_3,-1663.6675844806005
event_4,-317.2675844806006
event_5,-593.6675844806006
event_6,-164.86758448060064
event_7,-397.66758448060057
event_8,-537.2675844806006
event_9,-378.86758448060056
event_10,-160.06758448060063
event_11,-216.06758448060066
event_12,-598.8675844806005
event_13,-483.26758448060065
event_14,-532.0675844806007
event_15,-365.26758448060065
event_16,-318.4675844806006
event_17,-176.06758448060066
event_18,-356.8675844806006
event_19,-309.2675844806006
event_20,-286.06758448060066
event_21,-615.6675844806006
event_22,-217.2675844806006
event_23,-480.4675844806005
event_24,-384.4675844806006
event_25,-272.4675844806005
event_26,-837.2675844806005
event_27,-362.86758448060056
event_28,-649.2675844806006
event_29,-415.6675844806006
event_30,-238.86758448060064
event_31,-207.66758448060062
event_32,-386.8675844806006
event_33,-132.86758448060064
event_34,-354.8675844806005
event_35,-328.8675844806006
event_36,-133.26758448060062
event_37,-205.6675844806006
event_38,-466.86758448060067
event_39,-138.8675844806006
event_40,-244.86758448060056
event_41,-294.8675844806006
event_42,-551.6675844806005
event_43,-403.66758448060057
event_44,-477.26758448060065
event_45,-419.6675844806005
event_46,-415.6675844806006
event_47,-468.0675844806006
event_48,-625.6675844806007
event_49,-250.8675844806006
event_50,-173.26758448060062
event_51,-326.8675844806006
event_52,-457.26758448060065
event_53,-192.06758448060066
event_54,-300.8675844806007
event_55,-410.86758448060056
event_56,-464.0675844806006
event_57,-257.26758448060065
event_58,-553.6675844806006
event_59,-420.86758448060056
event_60,-532.8675844806005
event_61,-433.66758448060057
event_62,-208.0675844806006
event_63,-533.2675844806006
event_64,-336.8675844806006
event_65,-451.26758448060065
event_66,-421.66758448060057
event_67,-316.0675844806006
event_68,-776.0675844806007
event_69,-470.4675844806007
event_70,-260.4675844806006
event_71,-194.86758448060058
event_72,-399.26758448060053
event_73,-269.6675844806006
event_74,-456.46758448060064
event_75,-479.2675844806006
event_76,-207.66758448060065
event_77,-325.2675844806006
event_78,-457.2675844806006
event_79,-464.46758448060064
event_80,-198.46758448060064
event_81,-344.06758448060066
event_82,-389.6675844806006
event_83,-366.46758448060064
event_84,-580.0675844806005
event_85,-196.0675844806006
event_86,-185.66758448060065
event_87,-300.8675844806006
event_88,-240.0675844806006
event_89,-385.6675844806006
event_90,-650.4675844806006
event_91,-332.86758448060056
event_92,-259.66758448060057
event_93,-719.2675844806005
event_94,-490.86758448060067
event_95,-224.86758448060056
event_96,-425.6675844806005
event_97,-410.4675844806007
event_98,-289.66758448060057
event_99,-355.6675844806006
event_100,-556.8675844806006
event_101,-287.6675844806006
event_102,-459.26758448060065
event_103,-796.8675844806004
event_104,-330.4675844806006
event_105,-310.8675844806007
event_106,-735.2675844806005
event_107,-421.26758448060065
event_108,-532.4675844806006
event_109,-128.46758448060064
event_110,-148.8675844806006
event_111,-563.2675844806005
event_112,-404.86758448060067
event_113,-398.4675844806006
event_114,-156.86758448060058
event_115,-444.0675844806006
event_116,-391.26758448060065
event_117,-348.0675844806006
event_118,-174.86758448060064
event_119,-316.86758448060056
event_120,-119.26758448060062
event_121,-442.4675844806005
event_122,-152.06758448060066
event_123,-339.6675844806006
event_124,-450.0675844806006
event_125,-394.4675844806007
event_126,-310.46758448060064
event_127,-366.8675844806006
event_128,-355.6675844806007
event_129,-283.2675844806006
event_130,-402.06758448060066
event_131,-396.06758448060054
event_132,-404.46758448060064
event_133,-654.8675844806005
event_134,-308.0675844806006
event_135,-480.0675844806006
event_136,-254.06758448060063
event_137,-560.4675844806005
event_138,-547.6675844806005
event_139,-359.2675844806006
event_140,-249.26758448060065
event_141,-458.46758448060064
event_142,-555.6675844806006
event_143,-391.2675844806006
event_144,-567.6675844806006
event_145,-338.86758448060056
event_146,-258.46758448060064
event_147,-308.86758448060067
event_148,-349.2675844806006
event_149,-369.66758448060057
event_150,-248.8675844806006
event_151,-496.46758448060064
event_152,-560.4675844806006
event_153,-629.6675844806006
event_154,-316.06758448060066
event_155,-218.0675844806006
event_156,-402.4675844806005
event_157,-222.06758448060057
event_158,-470.0675844806007
event_159,-404.46758448060064
event_160,-353.6675844806006
event_161,-430.0675844806006
event_162,-105.26758448060063
event_163,-412.4675844806006
event_164,-93.26758448060065
event_165,-652.0675844806005
event_166,-216.4675844806006
event_167,-529.2675844806006
event_168,-383.26758448060065
event_169,-442.4675844806006
event_170,-477.26758448060065
event_171,-704.0675844806005
event_172,-506.86758448060067
event_173,-295.26758448060065
event_174,-283.6675844806006
event_175,-161.6675844806006
event_176,-413.66758448060057
event_177,-195.26758448060068
event_178,-263.6675844806006
event_179,-347.6675844806006
event_180,-197.26758448060068
event_181,-463.2675844806006
event_182,-121.26758448060065
event_183,-642.0675844806005
event_184,-256.4675844806006
event_185,-139.66758448060062
event_186,-462.0675844806005
event_187,-535.2675844806006
event_188,-446.06758448060054
event_189,-708.0675844806004
event_190,-456.8675844806006
event_191,-150.8675844806006
event_192,-649.6675844806006
event_193,-392.46758448060064
event_194,-493.6675844806006
event_195,-250.8675844806006
event_196,-650.4675844806004
event_197,-132.06758448060063
event_198,-215.26758448060062
event_199,-581.6675844806006
event_200,-221.26758448060065
event_201,-182.46758448060064
event_202,-529.6675844806005
event_203,-245.26758448060062
