,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,105.0,269.0,72.0,36.0
event_1,105.0,281.0,124.8,22.8
event_2,104.0,470.0,72.0,31.2
event_3,105.0,581.0,288.0,31.2
event_4,105.0,652.0,60.0,47.99999999999999
event_5,105.0,648.0,118.79999999999998,45.6
event_6,104.0,844.0,31.2,46.8
event_7,105.0,528.0,83.99999999999999,41.99999999999999
event_8,105.0,542.0,109.2,40.8
event_9,104.0,443.0,78.0,33.6
event_10,104.0,1065.0,32.4,18.0
event_11,104.0,1132.0,43.2,30.0
event_12,105.0,1229.0,122.4,43.2
event_13,105.0,983.0,97.2,49.2
event_14,105.0,446.0,103.2,20.4
event_15,105.0,874.0,70.79999999999998,15.6
event_16,105.0,495.0,61.2,14.4
event_17,104.0,1248.0,36.0,21.6
event_18,105.0,1199.0,65.99999999999999,13.199999999999998
event_19,105.0,320.0,56.39999999999999,65.99999999999999
event_20,105.0,285.0,55.19999999999999,36.0
event_21,105.0,1473.0,121.2,97.2
event_22,104.0,300.0,41.99999999999999,10.8
event_23,104.0,692.0,94.8,56.39999999999999
event_24,105.0,446.0,81.6,31.2
event_25,104.0,390.0,53.99999999999999,10.8
event_26,105.0,497.0,174.0,16.8
event_27,104.0,369.0,70.79999999999998,26.399999999999995
event_28,105.0,1120.0,124.8,58.8
event_29,104.0,660.0,81.6,73.19999999999999
event_30,104.0,587.0,50.39999999999999,16.8
event_31,104.0,747.0,41.99999999999999,20.4
event_32,105.0,961.0,76.8,38.4
event_33,104.0,362.0,30.0,19.2
event_34,105.0,428.0,72.0,25.2
event_35,104.0,1627.0,63.59999999999999,65.99999999999999
event_36,104.0,489.0,27.599999999999994,78.0
event_37,104.0,336.0,40.8,33.6
event_38,105.0,474.0,96.0,19.2
event_39,104.0,847.0,27.599999999999994,73.19999999999999
event_40,105.0,552.0,41.99999999999999,22.8
event_41,105.0,349.0,58.8,65.99999999999999
event_42,105.0,309.0,114.0,34.8
event_43,105.0,1396.0,76.8,18.0
event_44,105.0,685.0,90.0,25.2
event_45,105.0,1027.0,88.79999999999998,14.4
event_46,105.0,279.0,81.6,82.8
event_47,104.0,1029.0,93.6,31.2
event_48,105.0,904.0,127.19999999999996,34.8
event_49,105.0,346.0,53.99999999999999,10.8
event_50,104.0,477.0,36.0,20.4
event_51,104.0,926.0,72.0,32.4
event_52,105.0,606.0,92.4,33.6
event_53,104.0,443.0,33.6,14.4
event_54,105.0,414.0,61.2,11.999999999999998
event_55,104.0,343.0,78.0,15.6
event_56,104.0,576.0,90.0,53.99999999999999
event_57,105.0,1094.0,53.99999999999999,10.8
event_58,105.0,256.0,112.79999999999998,50.39999999999999
event_59,105.0,711.0,82.8,9.6
event_60,105.0,1991.0,105.59999999999998,14.4
event_61,105.0,259.0,85.2,15.6
event_62,104.0,313.0,51.6,36.0
event_63,105.0,2001.0,109.2,52.79999999999999
event_64,104.0,884.0,65.99999999999999,11.999999999999998
event_65,105.0,1811.0,87.6,13.199999999999998
event_66,105.0,341.0,88.79999999999998,51.6
event_67,105.0,1573.0,65.99999999999999,11.999999999999998
event_68,105.0,1931.0,157.2,19.2
event_69,105.0,281.0,96.0,16.8
event_70,105.0,1608.0,51.6,28.8
event_71,104.0,370.0,38.4,21.6
event_72,105.0,847.0,73.19999999999999,39.6
event_73,105.0,288.0,51.6,34.8
event_74,105.0,967.0,88.79999999999998,10.8
event_75,105.0,365.0,99.6,22.8
event_76,104.0,277.0,38.4,26.399999999999995
event_77,105.0,1135.0,65.99999999999999,26.399999999999995
event_78,105.0,381.0,91.2,47.99999999999999
event_79,105.0,1045.0,93.6,26.399999999999995
event_80,103.0,352.0,39.6,11.999999999999998
event_81,105.0,401.0,69.6,26.399999999999995
event_82,105.0,655.0,76.8,25.2
event_83,105.0,613.0,73.19999999999999,43.2
event_84,105.0,2195.0,122.4,19.2
event_85,104.0,297.0,34.8,22.8
event_86,104.0,1036.0,36.0,18.0
event_87,105.0,781.0,57.6,26.399999999999995
event_88,104.0,1784.0,49.2,15.6
event_89,105.0,871.0,70.79999999999998,20.4
event_90,105.0,1062.0,129.6,18.0
event_91,105.0,280.0,62.4,90.0
event_92,105.0,512.0,51.6,39.6
event_93,105.0,553.0,144.0,11.999999999999998
event_94,105.0,349.0,94.8,18.0
event_95,103.0,1376.0,40.8,40.8
event_96,105.0,1140.0,83.99999999999999,44.39999999999999
event_97,105.0,574.0,78.0,86.39999999999999
event_98,104.0,295.0,57.6,18.0
event_99,105.0,781.0,68.39999999999999,9.6
event_100,104.0,1100.0,108.0,15.6
event_101,105.0,1080.0,61.2,30.0
event_102,105.0,708.0,94.8,22.8
event_103,105.0,1626.0,157.2,30.0
event_104,105.0,1720.0,61.2,78.0
event_105,105.0,567.0,61.2,33.6
event_106,105.0,372.0,151.19999999999996,39.6
event_107,104.0,1556.0,81.6,30.0
event_108,105.0,576.0,109.2,37.2
event_109,103.0,489.0,26.399999999999995,15.6
event_110,103.0,1793.0,26.399999999999995,13.199999999999998
event_111,105.0,1273.0,114.0,70.79999999999998
event_112,105.0,604.0,82.8,57.6
event_113,105.0,1081.0,72.0,21.6
event_114,103.0,874.0,32.4,11.999999999999998
event_115,105.0,835.0,88.79999999999998,30.0
event_116,105.0,852.0,78.0,11.999999999999998
event_117,104.0,457.0,62.4,82.8
event_118,104.0,1182.0,33.6,36.0
event_119,105.0,758.0,60.0,16.8
event_120,103.0,1307.0,21.6,93.6
event_121,104.0,476.0,83.99999999999999,41.99999999999999
