,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51
time_epoch,1618959322.696704,1618959679.1700933,1618959763.5189176,1618961011.2452836,1618961408.4390016,1618961567.984127,1618961753.4147334,1618961865.5361462,1618962109.2270846,1618962722.4121566,1618963186.1396801,1618963298.3070958,1618963425.6153777,1618963667.4342089,1618964681.6142168,1618964726.8508039,1618964873.5971973,1618965279.2614,1618965987.0398827,1618966032.3514743,1618966077.6690664,1618966362.3223474,1618966390.7469735,1618967838.081756,1618967976.0526476,1618968646.883017,1618968886.6637318,1618969766.3650477,1618969828.8456216,1618970255.893047,1618970398.1141815,1618970820.419336,1618970945.442487,1618971309.9663365,1618972036.1608727,1618973295.1688838,1618973514.9444542,1618973739.0422719,1618973767.0298727,1618973958.8878465,1618974012.7789288,1618974055.9183962,1618974131.3337095,1618975709.3389666,1618975851.6001031,1618975978.720374,1618976485.4723587,1618976573.8494134,1618976787.1426132,1618977276.311592,1618977412.1103592,1618977420.7228518
0,53.0,52.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,56.0,51.0,53.0,53.0,50.0,52.0,53.0,51.0,54.0,51.0,53.0,54.0,53.0,52.0,53.0,52.0,55.0,54.0,52.0,53.0,54.0,52.0,53.0,52.0,54.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,54.0,54.0,53.0,51.0,54.0,52.0,54.0,53.0,52.0,54.0,53.0
1,52.0,52.0,53.0,52.0,53.0,51.0,52.0,53.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0,53.0,52.0,51.0,53.0,56.0,53.0,50.0,52.0,53.0,51.0,52.0,52.0,53.0,51.0,53.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0,51.0,52.0,50.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0
2,52.0,52.0,54.0,53.0,53.0,52.0,54.0,52.0,51.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,55.0,52.0,51.0,52.0,51.0,52.0,53.0,53.0,50.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,51.0,54.0,52.0,53.0,53.0,55.0,50.0,51.0,51.0,53.0,54.0,53.0,52.0,51.0,53.0,54.0,53.0,52.0
3,54.0,52.0,52.0,53.0,49.0,52.0,53.0,52.0,51.0,52.0,54.0,53.0,53.0,53.0,51.0,52.0,53.0,53.0,52.0,53.0,53.0,54.0,51.0,52.0,50.0,53.0,54.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,51.0,53.0,52.0,54.0,52.0,51.0,55.0,52.0,52.0,54.0,53.0,51.0,51.0,53.0,54.0,53.0,53.0,51.0
4,54.0,56.0,54.0,56.0,51.0,53.0,52.0,52.0,56.0,56.0,52.0,51.0,52.0,52.0,50.0,52.0,51.0,52.0,54.0,54.0,52.0,54.0,52.0,51.0,54.0,50.0,53.0,51.0,52.0,52.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,54.0,52.0,54.0,54.0,54.0,54.0,52.0,51.0,54.0,53.0,52.0,51.0,53.0,54.0,53.0
5,51.0,53.0,51.0,54.0,54.0,52.0,54.0,51.0,53.0,53.0,52.0,52.0,50.0,54.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,52.0,54.0,51.0,53.0,53.0,50.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,54.0,52.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,53.0,53.0,51.0,52.0,53.0,52.0,53.0
6,51.0,52.0,53.0,51.0,53.0,51.0,54.0,52.0,52.0,51.0,51.0,53.0,54.0,52.0,52.0,52.0,53.0,50.0,55.0,54.0,53.0,53.0,51.0,50.0,51.0,53.0,51.0,54.0,53.0,51.0,53.0,54.0,52.0,50.0,55.0,52.0,52.0,53.0,54.0,53.0,53.0,55.0,51.0,51.0,51.0,50.0,52.0,52.0,54.0,52.0,53.0,53.0
7,53.0,53.0,53.0,54.0,52.0,53.0,53.0,52.0,52.0,54.0,52.0,55.0,53.0,51.0,51.0,51.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,51.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,51.0,51.0,53.0,52.0,52.0,51.0,51.0,52.0,54.0,50.0,52.0,53.0
8,52.0,51.0,52.0,52.0,54.0,51.0,53.0,52.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0,53.0,52.0,54.0,53.0,51.0,51.0,53.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,51.0,54.0,53.0,53.0,52.0,50.0,52.0,51.0,54.0,52.0,49.0,52.0,52.0
