,0
event_0,-274.84974693264815
event_1,-370.98308026598147
event_2,-66.71641359931479
event_3,-380.0497469326481
event_4,-245.78308026598145
event_5,-86.44974693264814
event_6,-101.7830802659815
event_7,-71.1164135993148
event_8,-73.78308026598147
event_9,-83.24974693264814
event_10,-279.2497469326481
event_11,-198.98308026598144
event_12,-329.7830802659815
event_13,-304.4497469326481
event_14,-272.8497469326482
event_15,-232.31641359931479
event_16,-165.11641359931485
event_17,-90.84974693264813
event_18,-245.78308026598143
event_19,-319.11641359931474
event_20,-181.91641359931484
event_21,-122.04974693264813
event_22,-90.58308026598147
event_23,-84.7164135993148
event_24,-120.18308026598149
event_25,-255.24974693264807
event_26,-143.6497469326481
event_27,-281.11641359931474
event_28,-80.31641359931481
event_29,-326.7164135993147
event_30,-182.18308026598143
event_31,-322.4497469326481
event_32,-160.84974693264817
event_33,-196.71641359931482
event_34,-283.3830802659814
event_35,-141.9164135993148
event_36,-310.3164135993147
event_37,-223.1164135993148
event_38,-363.9164135993148
event_39,-76.04974693264815
event_40,-268.1830802659815
event_41,-141.24974693264815
event_42,-154.4497469326481
event_43,-209.1164135993148
event_44,-260.0497469326482
event_45,-107.91641359931481
event_46,-365.7830802659814
event_47,-122.58308026598148
event_48,-196.31641359931484
event_49,-222.18308026598143
event_50,-89.91641359931478
event_51,-191.64974693264818
event_52,-138.98308026598144
event_53,-109.78308026598145
event_54,-303.64974693264816
event_55,-290.84974693264815
event_56,-234.84974693264815
event_57,-77.91641359931481
event_58,-208.71641359931476
event_59,-110.58308026598148
event_60,-275.11641359931474
event_61,-222.1830802659815
event_62,-155.51641359931483
event_63,-182.71641359931482
event_64,-304.58308026598144
event_65,-368.84974693264803
event_66,-200.98308026598144
event_67,-65.38308026598148
event_68,-258.31641359931484
event_69,-243.78308026598145
event_70,-203.38308026598153
event_71,-115.38308026598145
event_72,-252.31641359931476
event_73,-159.51641359931483
event_74,-395.5164135993147
event_75,-273.6497469326481
event_76,-71.91641359931481
event_77,-111.64974693264816
event_78,-170.3164135993148
event_79,-293.6497469326481
event_80,-78.98308026598147
event_81,-166.98308026598147
event_82,-177.91641359931484
event_83,-288.0497469326481
event_84,-82.98308026598146
event_85,-205.3830802659815
event_86,-103.24974693264815
event_87,-143.9164135993148
event_88,-340.7164135993148
event_89,-71.5164135993148
event_90,-254.98308026598147
event_91,-272.98308026598147
event_92,-293.3830802659814
event_93,-256.9830802659814
event_94,-222.31641359931479
event_95,-157.64974693264813
event_96,-274.4497469326481
event_97,-153.64974693264813
event_98,-159.9164135993148
event_99,-414.44974693264805
event_100,-89.9164135993148
event_101,-217.78308026598148
event_102,-239.38308026598148
event_103,-172.98308026598147
event_104,-186.84974693264815
event_105,-414.31641359931467
event_106,-113.24974693264816
event_107,-402.3164135993147
event_108,-158.5830802659815
event_109,-110.44974693264814
event_110,-262.1830802659814
event_111,-266.58308026598144
event_112,-196.1830802659815
event_113,-321.64974693264816
event_114,-159.5164135993148
event_115,-210.58308026598147
event_116,-153.9164135993148
event_117,-256.1830802659814
event_118,-290.0497469326481
event_119,-107.1164135993148
event_120,-266.1830802659814
event_121,-162.71641359931482
event_122,-289.3830802659814
event_123,-178.71641359931482
event_124,-239.6497469326481
event_125,-256.5830802659815
event_126,-178.04974693264816
event_127,-272.0497469326482
event_128,-123.5164135993148
event_129,-198.58308026598147
event_130,-225.1164135993148
event_131,-60.049746932648134
event_132,-290.9830802659814
event_133,-135.6497469326481
event_134,-319.11641359931474
event_135,-258.58308026598144
event_136,-202.98308026598147
event_137,-312.3164135993147
event_138,-232.18308026598152
event_139,-91.11641359931481
event_140,-125.78308026598147
event_141,-141.78308026598143
event_142,-247.6497469326481
event_143,-276.0497469326481
event_144,-172.1830802659815
event_145,-202.71641359931482
event_146,-261.11641359931474
event_147,-342.1830802659814
event_148,-63.783080265981475
event_149,-266.8497469326481
event_150,-253.91641359931472
event_151,-263.38308026598145
event_152,-243.11641359931482
event_153,-74.84974693264813
event_154,-270.98308026598147
event_155,-290.4497469326481
event_156,-265.91641359931475
event_157,-342.58308026598144
event_158,-302.1830802659815
event_159,-87.64974693264811
event_160,-209.24974693264815
event_161,-247.38308026598148
event_162,-139.38308026598148
event_163,-364.84974693264815
event_164,-310.18308026598135
event_165,-262.9830802659814
event_166,-74.58308026598148
event_167,-184.18308026598146
event_168,-327.51641359931483
event_169,-194.44974693264817
event_170,-110.98308026598149
event_171,-260.04974693264813
event_172,-275.51641359931483
event_173,-82.98308026598146
event_174,-313.5164135993147
event_175,-92.71641359931479
event_176,-358.9830802659814
event_177,-138.18308026598146
event_178,-254.98308026598147
event_179,-254.98308026598147
event_180,-290.3164135993148
event_181,-300.58308026598144
event_182,-263.91641359931475
event_183,-358.18308026598146
event_184,-77.51641359931482
event_185,-266.58308026598144
event_186,-285.7830802659814
event_187,-88.98308026598147
event_188,-117.91641359931478
event_189,-398.0497469326481
event_190,-216.44974693264817
