,peak_X0,peak_Y0
event_0,104.0,-60.400000000000006
event_1,104.0,-70.8
event_2,103.0,-56.0
event_3,104.0,-69.2
event_4,103.0,-43.6
event_5,104.0,-70.8
event_6,104.0,-70.8
event_7,104.0,-67.2
event_8,104.0,-58.800000000000004
event_9,104.0,-70.8
event_10,102.0,-41.60000000000001
event_11,104.0,-70.8
event_12,103.0,-64.0
event_13,104.0,-56.400000000000006
event_14,103.0,-55.6
event_15,103.0,-70.8
event_16,103.0,-70.8
event_17,103.0,-70.8
event_18,103.0,-70.8
event_19,103.0,-44.4
event_20,103.0,-53.2
event_21,104.0,-70.8
event_22,104.0,-70.8
event_23,104.0,-70.8
event_24,103.0,-70.8
event_25,104.0,-70.8
event_26,103.0,-52.00000000000001
event_27,103.0,-70.8
event_28,104.0,-70.8
event_29,103.0,-70.8
event_30,104.0,-70.8
event_31,103.0,-49.60000000000001
event_32,103.0,-52.8
event_33,104.0,-70.8
event_34,103.0,-70.8
event_35,103.0,-48.800000000000004
event_36,104.0,-70.8
event_37,104.0,-70.8
event_38,103.0,-70.8
event_39,104.0,-70.8
event_40,103.0,-70.8
event_41,104.0,-70.8
event_42,104.0,-70.8
event_43,104.0,-70.8
event_44,104.0,-70.8
event_45,104.0,-70.8
event_46,104.0,-62.0
event_47,103.0,-59.2
event_48,103.0,-70.8
event_49,104.0,-70.8
event_50,104.0,-66.4
event_51,103.0,-70.8
event_52,103.0,-64.4
event_53,104.0,-70.8
event_54,103.0,-70.8
event_55,104.0,-70.8
event_56,104.0,-70.8
event_57,104.0,-70.8
event_58,103.0,-70.8
event_59,103.0,-63.6
event_60,104.0,-70.8
event_61,103.0,-70.8
event_62,103.0,-43.6
event_63,103.0,-70.8
event_64,104.0,-70.8
event_65,103.0,-44.00000000000001
event_66,104.0,-70.8
event_67,103.0,-70.8
event_68,103.0,-55.6
event_69,104.0,-70.8
event_70,104.0,-70.8
event_71,103.0,-70.8
event_72,104.0,-56.400000000000006
event_73,103.0,-67.60000000000001
event_74,104.0,-53.2
event_75,103.0,-48.0
event_76,103.0,-70.8
event_77,104.0,-56.0
event_78,103.0,-48.0
event_79,103.0,-70.8
event_80,103.0,-70.8
event_81,103.0,-70.8
event_82,103.0,-48.800000000000004
event_83,103.0,-70.8
event_84,104.0,-70.8
event_85,103.0,-66.0
event_86,104.0,-69.2
event_87,103.0,-70.8
event_88,103.0,-40.400000000000006
event_89,104.0,-70.8
event_90,104.0,-70.8
event_91,104.0,-70.8
event_92,104.0,-65.2
event_93,103.0,-59.6
event_94,104.0,-70.8
event_95,103.0,-70.8
event_96,104.0,-70.8
event_97,104.0,-70.8
event_98,103.0,-70.8
event_99,103.0,-53.2
event_100,103.0,-70.8
event_101,104.0,-70.8
event_102,104.0,-70.8
event_103,104.0,-70.8
event_104,103.0,-70.8
event_105,103.0,-64.0
event_106,104.0,-70.8
event_107,103.0,-44.4
event_108,104.0,-70.8
event_109,104.0,-59.6
event_110,103.0,-52.400000000000006
event_111,104.0,-70.8
event_112,103.0,-66.8
event_113,104.0,-70.8
event_114,104.0,-70.8
event_115,103.0,-42.800000000000004
event_116,103.0,-64.8
event_117,104.0,-70.8
event_118,103.0,-70.8
event_119,103.0,-56.800000000000004
event_120,104.0,-70.8
event_121,103.0,-42.4
event_122,103.0,-70.8
event_123,103.0,-58.800000000000004
event_124,104.0,-70.8
event_125,103.0,-70.4
event_126,104.0,-70.8
event_127,104.0,-70.8
event_128,104.0,-53.2
event_129,104.0,-70.8
event_130,104.0,-70.8
event_131,103.0,-58.0
event_132,104.0,-70.8
event_133,104.0,-70.8
event_134,104.0,-70.8
event_135,103.0,-70.8
event_136,104.0,-70.8
event_137,103.0,-48.400000000000006
event_138,103.0,-70.8
event_139,104.0,-70.8
event_140,105.0,-70.8
event_141,104.0,-58.800000000000004
event_142,103.0,-62.0
event_143,103.0,-45.2
event_144,104.0,-54.400000000000006
event_145,104.0,-70.8
event_146,104.0,-70.8
event_147,103.0,-57.2
event_148,104.0,-70.8
event_149,104.0,-70.8
event_150,104.0,-70.8
event_151,104.0,-70.8
event_152,104.0,-70.8
event_153,103.0,-47.6
event_154,104.0,-70.8
event_155,103.0,-53.6
event_156,103.0,-70.8
event_157,104.0,-70.8
event_158,104.0,-70.8
event_159,104.0,-63.2
event_160,104.0,-64.8
event_161,104.0,-70.8
event_162,105.0,-70.8
event_163,103.0,-70.8
event_164,104.0,-70.8
event_165,103.0,-70.8
