,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
time_epoch,1613789553.7956173,1613789556.0367455,1613789558.2048693,1613789560.4089956,1613789562.6421232,1613789564.806247,1613789566.9873717,1613789569.1524956,1613789571.3196197,1613789573.4847434
0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,54.0
1,52.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0,55.0,52.0
2,54.0,52.0,52.0,51.0,54.0,53.0,53.0,52.0,53.0,51.0
3,52.0,51.0,51.0,53.0,53.0,53.0,54.0,52.0,50.0,53.0
4,52.0,54.0,52.0,51.0,54.0,53.0,52.0,52.0,55.0,51.0
5,52.0,53.0,53.0,52.0,55.0,51.0,52.0,53.0,53.0,52.0
6,52.0,54.0,51.0,54.0,52.0,53.0,53.0,53.0,49.0,52.0
7,53.0,55.0,52.0,53.0,51.0,52.0,51.0,50.0,56.0,51.0
8,52.0,54.0,53.0,52.0,55.0,51.0,53.0,51.0,51.0,52.0
9,52.0,51.0,53.0,54.0,52.0,52.0,52.0,53.0,51.0,52.0
10,52.0,54.0,53.0,53.0,53.0,52.0,52.0,50.0,52.0,52.0
11,53.0,51.0,51.0,52.0,55.0,54.0,53.0,51.0,55.0,53.0
12,53.0,53.0,54.0,50.0,53.0,51.0,52.0,52.0,53.0,53.0
13,52.0,51.0,53.0,53.0,54.0,52.0,53.0,51.0,51.0,51.0
14,53.0,53.0,53.0,52.0,53.0,53.0,54.0,51.0,55.0,52.0
15,52.0,53.0,54.0,54.0,52.0,53.0,54.0,51.0,53.0,53.0
16,52.0,54.0,53.0,54.0,53.0,54.0,53.0,51.0,52.0,52.0
17,53.0,53.0,53.0,52.0,51.0,54.0,53.0,52.0,52.0,52.0
18,54.0,54.0,53.0,51.0,52.0,53.0,53.0,52.0,53.0,52.0
19,53.0,54.0,52.0,54.0,51.0,54.0,52.0,53.0,53.0,53.0
20,52.0,51.0,51.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0
21,52.0,54.0,54.0,54.0,52.0,52.0,54.0,51.0,55.0,52.0
22,53.0,52.0,54.0,53.0,52.0,54.0,51.0,53.0,53.0,53.0
23,53.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,51.0,52.0
24,53.0,52.0,51.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0
25,52.0,53.0,52.0,50.0,53.0,52.0,54.0,53.0,52.0,53.0
26,50.0,51.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0
27,53.0,52.0,53.0,55.0,52.0,53.0,54.0,54.0,52.0,54.0
28,52.0,54.0,53.0,53.0,53.0,51.0,51.0,51.0,53.0,53.0
29,54.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0,54.0,49.0
30,53.0,52.0,52.0,53.0,53.0,50.0,52.0,50.0,51.0,51.0
31,52.0,51.0,53.0,52.0,52.0,52.0,52.0,50.0,54.0,52.0
32,54.0,52.0,52.0,52.0,54.0,52.0,53.0,52.0,54.0,53.0
33,52.0,53.0,51.0,54.0,54.0,53.0,54.0,51.0,51.0,49.0
34,54.0,52.0,54.0,52.0,51.0,51.0,52.0,52.0,52.0,53.0
35,53.0,52.0,52.0,53.0,53.0,51.0,55.0,52.0,51.0,52.0
36,53.0,52.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0
37,52.0,52.0,53.0,49.0,53.0,52.0,53.0,51.0,53.0,50.0
38,53.0,52.0,52.0,51.0,52.0,52.0,51.0,53.0,52.0,51.0
39,53.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,53.0,54.0
40,51.0,54.0,53.0,54.0,52.0,52.0,51.0,51.0,52.0,50.0
41,51.0,51.0,53.0,54.0,54.0,53.0,52.0,50.0,53.0,51.0
42,52.0,54.0,53.0,54.0,53.0,53.0,54.0,52.0,52.0,54.0
43,52.0,51.0,49.0,54.0,51.0,51.0,54.0,50.0,52.0,51.0
44,55.0,51.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0
45,52.0,54.0,52.0,50.0,53.0,52.0,51.0,52.0,53.0,52.0
46,52.0,53.0,50.0,53.0,51.0,51.0,53.0,50.0,54.0,51.0
47,53.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,51.0,54.0
48,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0
49,53.0,51.0,53.0,54.0,53.0,52.0,56.0,51.0,52.0,51.0
50,53.0,53.0,54.0,51.0,53.0,53.0,53.0,52.0,54.0,52.0
51,54.0,51.0,51.0,52.0,54.0,51.0,51.0,53.0,52.0,55.0
52,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,51.0
53,54.0,52.0,52.0,52.0,53.0,52.0,52.0,50.0,53.0,51.0
54,54.0,53.0,52.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0
55,52.0,53.0,53.0,51.0,52.0,52.0,52.0,55.0,53.0,54.0
56,53.0,51.0,56.0,53.0,52.0,52.0,52.0,50.0,54.0,51.0
57,53.0,53.0,53.0,52.0,54.0,54.0,53.0,53.0,53.0,53.0
58,53.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0
59,54.0,50.0,53.0,55.0,53.0,52.0,54.0,51.0,51.0,52.0
60,52.0,53.0,54.0,51.0,53.0,52.0,53.0,51.0,52.0,50.0
61,53.0,51.0,55.0,52.0,53.0,51.0,55.0,53.0,56.0,50.0
62,54.0,52.0,54.0,52.0,51.0,53.0,52.0,53.0,54.0,53.0
63,53.0,50.0,52.0,52.0,51.0,54.0,52.0,51.0,53.0,52.0
64,52.0,55.0,54.0,54.0,53.0,52.0,53.0,51.0,51.0,50.0
65,52.0,54.0,51.0,52.0,53.0,54.0,54.0,53.0,54.0,53.0
66,53.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,54.0,53.0
67,54.0,54.0,53.0,53.0,53.0,52.0,50.0,53.0,51.0,53.0
68,51.0,53.0,53.0,53.0,54.0,54.0,53.0,52.0,52.0,52.0
69,53.0,52.0,54.0,51.0,52.0,53.0,53.0,53.0,52.0,53.0
70,55.0,52.0,53.0,50.0,54.0,50.0,52.0,54.0,52.0,49.0
71,55.0,51.0,51.0,53.0,54.0,52.0,53.0,53.0,52.0,53.0
72,52.0,52.0,53.0,53.0,51.0,54.0,53.0,53.0,52.0,53.0
73,52.0,51.0,51.0,51.0,53.0,53.0,54.0,52.0,53.0,51.0
74,53.0,52.0,51.0,53.0,53.0,54.0,54.0,50.0,54.0,51.0
75,52.0,52.0,54.0,53.0,53.0,57.0,52.0,52.0,51.0,53.0
76,53.0,52.0,52.0,54.0,52.0,52.0,53.0,51.0,51.0,53.0
77,53.0,53.0,53.0,52.0,52.0,52.0,55.0,52.0,51.0,52.0
78,53.0,53.0,52.0,53.0,54.0,53.0,52.0,51.0,53.0,51.0
79,52.0,52.0,53.0,55.0,52.0,51.0,53.0,50.0,54.0,51.0
80,50.0,53.0,53.0,50.0,52.0,53.0,54.0,51.0,54.0,53.0
81,53.0,52.0,50.0,53.0,53.0,53.0,54.0,52.0,52.0,52.0
82,53.0,53.0,53.0,53.0,51.0,53.0,53.0,52.0,52.0,54.0
83,52.0,52.0,55.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0
84,52.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,53.0,54.0
85,54.0,49.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,52.0
86,52.0,50.0,52.0,53.0,51.0,53.0,54.0,52.0,52.0,51.0
87,53.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,54.0,52.0
88,54.0,53.0,52.0,54.0,52.0,52.0,53.0,52.0,50.0,54.0
89,52.0,52.0,52.0,54.0,54.0,55.0,55.0,51.0,50.0,53.0
90,53.0,50.0,53.0,51.0,51.0,53.0,53.0,52.0,53.0,51.0
91,53.0,52.0,52.0,52.0,54.0,53.0,53.0,52.0,52.0,53.0
92,53.0,53.0,51.0,53.0,54.0,53.0,53.0,53.0,52.0,51.0
93,53.0,53.0,53.0,54.0,52.0,53.0,52.0,53.0,53.0,52.0
94,53.0,52.0,52.0,54.0,53.0,51.0,52.0,53.0,54.0,55.0
95,51.0,53.0,52.0,55.0,53.0,49.0,51.0,53.0,53.0,53.0
96,54.0,54.0,52.0,53.0,50.0,51.0,53.0,53.0,51.0,57.0
97,53.0,50.0,51.0,53.0,54.0,52.0,52.0,52.0,54.0,54.0
98,52.0,51.0,54.0,53.0,53.0,52.0,54.0,52.0,53.0,53.0
