,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
time_epoch,1613776230.9265928,1613776233.1447196,1613776235.303843,1613776237.4699671,1613776239.637091,1613776241.7962143,1613776243.957338,1613776246.1324623,1613776248.292586,1613776250.5207136
0,54.0,52.0,51.0,53.0,54.0,53.0,51.0,52.0,54.0,52.0
1,52.0,52.0,51.0,52.0,53.0,54.0,51.0,52.0,53.0,51.0
2,53.0,53.0,51.0,51.0,53.0,53.0,51.0,52.0,52.0,52.0
3,52.0,54.0,53.0,51.0,53.0,51.0,53.0,53.0,53.0,52.0
4,53.0,53.0,52.0,50.0,53.0,52.0,51.0,52.0,52.0,52.0
5,51.0,52.0,53.0,51.0,53.0,54.0,53.0,52.0,53.0,52.0
6,51.0,53.0,53.0,51.0,51.0,54.0,53.0,52.0,54.0,52.0
7,53.0,52.0,53.0,53.0,54.0,53.0,51.0,53.0,55.0,53.0
8,51.0,53.0,53.0,53.0,52.0,53.0,51.0,52.0,54.0,50.0
9,53.0,52.0,50.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0
10,56.0,53.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,52.0
11,54.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,53.0,50.0
12,53.0,53.0,52.0,51.0,52.0,53.0,52.0,52.0,52.0,53.0
13,52.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,54.0,51.0
14,51.0,52.0,50.0,52.0,54.0,53.0,51.0,55.0,54.0,53.0
15,52.0,52.0,53.0,50.0,54.0,53.0,53.0,52.0,51.0,51.0
16,52.0,54.0,51.0,52.0,51.0,52.0,53.0,51.0,54.0,53.0
17,53.0,54.0,51.0,54.0,52.0,54.0,54.0,53.0,52.0,53.0
18,52.0,53.0,53.0,52.0,54.0,53.0,51.0,52.0,54.0,52.0
19,55.0,53.0,52.0,51.0,51.0,52.0,51.0,53.0,54.0,51.0
20,52.0,52.0,54.0,52.0,53.0,53.0,53.0,52.0,52.0,51.0
21,52.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0,51.0
22,51.0,54.0,54.0,52.0,51.0,53.0,53.0,52.0,54.0,54.0
