,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
time_epoch,1613196284.2552047,1613196284.4342148,1613196284.612225,1613196284.7902353,1613196284.9672453,1613196285.147256,1613196285.327266,1613196285.5042763,1613196285.6832862,1613196285.8602965,1613196286.0393066,1613196286.2173169,1613196286.395327,1613196286.5723372,1613196286.7513475,1613196286.9283576,1613196287.1253688,1613196287.3043792,1613196287.4813893,1613196287.6593995
0,55.0,55.0,54.0,54.0,55.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0
1,52.0,52.0,53.0,53.0,54.0,54.0,53.0,54.0,53.0,53.0,52.0,52.0,52.0,54.0,54.0,54.0,54.0,53.0,53.0,54.0
2,52.0,52.0,53.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,55.0,55.0,55.0,54.0,54.0,54.0,53.0,52.0,52.0,54.0
3,54.0,54.0,52.0,52.0,49.0,49.0,53.0,54.0,53.0,54.0,53.0,53.0,53.0,51.0,51.0,51.0,53.0,52.0,51.0,54.0
4,53.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,54.0,54.0,55.0,55.0,55.0,52.0,52.0,52.0,53.0,53.0,51.0,52.0
5,53.0,53.0,51.0,51.0,54.0,54.0,53.0,52.0,54.0,51.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,54.0,54.0,52.0
6,52.0,52.0,52.0,52.0,54.0,54.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0
7,54.0,54.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0,50.0,50.0,50.0,52.0,51.0,52.0,53.0
8,53.0,53.0,54.0,54.0,51.0,51.0,54.0,53.0,52.0,53.0,51.0,51.0,51.0,50.0,50.0,50.0,53.0,51.0,53.0,53.0
9,54.0,54.0,52.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,55.0,55.0,55.0,54.0,54.0,54.0,53.0,53.0,52.0,53.0
10,54.0,54.0,52.0,52.0,51.0,51.0,53.0,54.0,53.0,54.0,55.0,55.0,55.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0
11,53.0,53.0,53.0,53.0,51.0,51.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,51.0,51.0,51.0,53.0,52.0,54.0,53.0
12,54.0,54.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,50.0,52.0
13,54.0,54.0,52.0,52.0,50.0,50.0,54.0,52.0,53.0,52.0,50.0,50.0,50.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0
14,54.0,54.0,52.0,52.0,54.0,54.0,53.0,50.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,52.0,53.0,54.0
15,51.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,51.0,51.0,53.0,53.0,54.0,53.0
16,50.0,50.0,53.0,53.0,51.0,51.0,53.0,52.0,54.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,53.0,52.0,51.0
17,53.0,53.0,54.0,54.0,53.0,53.0,54.0,53.0,54.0,53.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,52.0,53.0
18,53.0,53.0,53.0,53.0,51.0,51.0,51.0,52.0,53.0,51.0,54.0,54.0,54.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0
19,53.0,53.0,53.0,53.0,51.0,51.0,54.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,53.0
20,51.0,51.0,54.0,54.0,53.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,51.0,52.0,54.0
21,53.0,53.0,55.0,55.0,53.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,52.0,54.0,53.0,54.0
22,54.0,54.0,53.0,53.0,53.0,53.0,54.0,53.0,54.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0
23,52.0,52.0,53.0,53.0,54.0,54.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
24,54.0,54.0,52.0,52.0,54.0,54.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,51.0
25,54.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0
26,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0
27,54.0,54.0,53.0,53.0,52.0,52.0,52.0,51.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,55.0,54.0,53.0,51.0
28,52.0,52.0,53.0,53.0,53.0,53.0,54.0,50.0,53.0,53.0,52.0,52.0,52.0,51.0,51.0,51.0,53.0,55.0,52.0,54.0
29,52.0,52.0,51.0,51.0,53.0,53.0,52.0,50.0,54.0,53.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,53.0,54.0,53.0
30,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,54.0,51.0,53.0
31,55.0,55.0,52.0,52.0,53.0,53.0,52.0,52.0,56.0,52.0,55.0,55.0,55.0,53.0,53.0,53.0,52.0,54.0,53.0,54.0
32,55.0,55.0,53.0,53.0,51.0,51.0,53.0,51.0,54.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,52.0,51.0,52.0
33,53.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,52.0,52.0,52.0,51.0
34,53.0,53.0,52.0,52.0,53.0,53.0,54.0,51.0,54.0,53.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0
35,53.0,53.0,53.0,53.0,55.0,55.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,52.0,53.0,50.0,52.0
36,54.0,54.0,52.0,52.0,52.0,52.0,53.0,50.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,50.0,53.0,53.0,52.0
37,54.0,54.0,52.0,52.0,51.0,51.0,53.0,51.0,54.0,53.0,52.0,52.0,52.0,55.0,55.0,55.0,53.0,53.0,54.0,51.0
38,53.0,53.0,53.0,53.0,50.0,50.0,55.0,50.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,50.0,53.0
39,52.0,52.0,53.0,53.0,52.0,52.0,52.0,49.0,51.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
40,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,51.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,55.0,53.0,53.0
41,53.0,53.0,53.0,53.0,52.0,52.0,51.0,51.0,52.0,54.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,55.0,51.0,53.0
42,53.0,53.0,51.0,51.0,52.0,52.0,52.0,50.0,53.0,51.0,54.0,54.0,54.0,50.0,50.0,50.0,54.0,52.0,54.0,51.0
43,54.0,54.0,53.0,53.0,55.0,55.0,52.0,51.0,53.0,53.0,51.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,51.0
44,54.0,54.0,53.0,53.0,52.0,52.0,52.0,51.0,56.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,52.0,53.0,54.0,52.0
45,53.0,53.0,55.0,55.0,53.0,53.0,54.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0,54.0
46,54.0,54.0,51.0,51.0,52.0,52.0,52.0,51.0,53.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,50.0
47,53.0,53.0,52.0,52.0,52.0,52.0,56.0,53.0,52.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,51.0
48,54.0,54.0,52.0,52.0,53.0,53.0,54.0,51.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0,54.0
49,52.0,52.0,53.0,53.0,52.0,52.0,55.0,50.0,53.0,54.0,52.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0
50,53.0,53.0,54.0,54.0,53.0,53.0,55.0,50.0,54.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,55.0,53.0,52.0,52.0
51,53.0,53.0,53.0,53.0,50.0,50.0,54.0,50.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0
