,event_0,event_1,event_2,event_3,event_4
time_epoch,1613782113.3530483,1613782115.5181723,1613782117.6822958,1613782119.8434193,1613782122.0015428
0,53.0,51.0,53.0,54.0,52.0
1,52.0,53.0,53.0,53.0,53.0
2,53.0,49.0,51.0,51.0,54.0
3,52.0,49.0,51.0,54.0,53.0
4,52.0,49.0,52.0,55.0,53.0
5,51.0,51.0,53.0,53.0,52.0
6,52.0,52.0,54.0,51.0,51.0
7,50.0,53.0,52.0,52.0,53.0
8,53.0,53.0,52.0,53.0,53.0
9,52.0,52.0,51.0,53.0,51.0
10,52.0,52.0,51.0,52.0,52.0
11,51.0,53.0,52.0,53.0,53.0
12,52.0,52.0,52.0,53.0,50.0
13,51.0,52.0,52.0,53.0,53.0
14,53.0,54.0,52.0,51.0,53.0
15,52.0,50.0,52.0,52.0,51.0
16,53.0,52.0,52.0,51.0,53.0
17,53.0,52.0,52.0,51.0,51.0
18,52.0,52.0,52.0,52.0,52.0
19,53.0,50.0,53.0,52.0,51.0
20,51.0,51.0,52.0,53.0,52.0
21,53.0,52.0,53.0,52.0,52.0
22,52.0,52.0,53.0,52.0,53.0
23,53.0,52.0,55.0,52.0,53.0
24,53.0,52.0,53.0,53.0,54.0
25,52.0,52.0,53.0,55.0,51.0
26,52.0,51.0,54.0,51.0,51.0
27,53.0,51.0,53.0,53.0,54.0
28,51.0,52.0,53.0,53.0,50.0
29,52.0,50.0,52.0,52.0,50.0
30,53.0,54.0,54.0,52.0,52.0
31,53.0,52.0,54.0,53.0,51.0
32,54.0,52.0,52.0,53.0,52.0
33,51.0,53.0,52.0,53.0,53.0
34,51.0,52.0,54.0,52.0,49.0
35,53.0,52.0,52.0,53.0,52.0
36,54.0,54.0,51.0,53.0,52.0
37,52.0,53.0,51.0,55.0,53.0
38,53.0,53.0,51.0,53.0,51.0
39,52.0,53.0,52.0,53.0,51.0
40,50.0,53.0,54.0,54.0,52.0
41,53.0,53.0,53.0,53.0,52.0
42,53.0,52.0,52.0,52.0,52.0
43,52.0,52.0,53.0,51.0,53.0
44,53.0,53.0,53.0,50.0,52.0
45,53.0,53.0,52.0,54.0,53.0
46,51.0,52.0,53.0,53.0,53.0
47,52.0,52.0,52.0,51.0,52.0
48,52.0,53.0,53.0,51.0,54.0
49,52.0,54.0,53.0,54.0,53.0
50,54.0,50.0,53.0,53.0,53.0
51,54.0,53.0,53.0,53.0,52.0
52,51.0,53.0,54.0,52.0,53.0
53,52.0,50.0,52.0,53.0,53.0
54,51.0,52.0,53.0,51.0,50.0
55,51.0,52.0,52.0,53.0,50.0
56,52.0,52.0,54.0,54.0,51.0
57,53.0,53.0,55.0,53.0,52.0
58,54.0,52.0,52.0,53.0,52.0
59,52.0,53.0,52.0,53.0,53.0
60,53.0,51.0,52.0,53.0,54.0
61,53.0,53.0,51.0,54.0,54.0
62,53.0,53.0,51.0,52.0,52.0
63,53.0,51.0,50.0,52.0,52.0
64,50.0,54.0,51.0,53.0,51.0
65,53.0,51.0,52.0,53.0,52.0
66,53.0,51.0,54.0,54.0,51.0
67,54.0,51.0,52.0,52.0,52.0
68,52.0,52.0,53.0,52.0,50.0
69,50.0,49.0,54.0,53.0,51.0
70,54.0,53.0,52.0,53.0,51.0
71,52.0,54.0,51.0,54.0,51.0
72,52.0,50.0,52.0,53.0,53.0
73,52.0,52.0,53.0,52.0,53.0
74,55.0,52.0,54.0,52.0,54.0
75,54.0,52.0,51.0,54.0,52.0
76,52.0,53.0,52.0,51.0,53.0
77,53.0,51.0,52.0,54.0,53.0
78,53.0,51.0,51.0,54.0,53.0
79,52.0,53.0,53.0,51.0,53.0
80,54.0,52.0,53.0,53.0,53.0
81,53.0,53.0,51.0,55.0,54.0
82,50.0,51.0,52.0,53.0,52.0
83,52.0,51.0,52.0,52.0,53.0
84,53.0,52.0,53.0,53.0,53.0
85,52.0,52.0,53.0,52.0,52.0
86,51.0,50.0,53.0,51.0,53.0
87,53.0,53.0,53.0,52.0,54.0
